cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,15.939,3957.192,3973.131,0
1,10.921,3917.383,3928.304,0
2,14.447,3958.151,3972.598,0
3,14.133,3915.366,3929.499,0
4,14.682,4325.970,4340.652,0
5,18.688,3931.623,3950.311,0
6,25.062,3949.384,3974.446,0
7,30.060,3940.807,3970.867,0
8,20.658,4848.543,4869.201,0
9,21.080,3942.855,3963.935,0
10,32.446,3953.895,3986.341,0
11,31.748,3958.087,3989.835,0
12,20.713,5254.378,5275.091,0
13,23.823,3952.231,3976.054,0
14,33.813,3969.032,4002.845,0
15,39.163,3945.191,3984.354,0
16,21.088,5148.679,5169.767,0
17,28.038,3971.688,3999.726,0
18,28.748,5109.414,5138.162,0
19,16.850,3966.439,3983.289,0
20,21.528,5217.384,5238.912,0
21,26.717,3974.056,4000.773,0
22,39.652,3971.048,4010.700,0
23,39.465,3974.056,4013.521,0
24,21.807,5238.313,5260.120,0
25,27.157,4146.060,4173.217,0
26,36.027,3967.560,4003.587,0
27,36.577,4124.140,4160.717,0
28,23.942,5217.001,5240.943,0
29,25.708,4126.028,4151.736,0
30,35.410,4150.413,4185.823,0
31,37.784,3963.720,4001.504,0
32,25.341,5165.735,5191.076,0
33,27.139,3968.392,3995.531,0
34,33.513,3969.192,4002.705,0
35,33.775,3969.512,4003.287,0
36,21.620,5248.906,5270.526,0
37,26.106,4247.471,4273.577,0
38,36.448,4233.167,4269.615,0
39,40.454,4221.295,4261.749,0
40,23.788,5293.258,5317.046,0
41,26.386,4237.518,4263.904,0
42,40.248,4236.367,4276.615,0
43,38.973,4237.199,4276.172,0
44,23.203,5153.063,5176.266,0
45,27.817,4250.479,4278.296,0
46,36.943,4251.151,4288.094,0
47,40.693,4225.390,4266.083,0
48,21.370,5241.385,5262.755,0
49,27.168,4234.863,4262.031,0
50,36.710,4248.655,4285.365,0
51,34.188,4228.846,4263.034,0
52,22.577,5255.274,5277.851,0
53,27.575,4657.178,4684.753,0
54,35.965,4653.274,4689.239,0
55,39.523,4656.346,4695.869,0
56,21.928,5289.259,5311.187,0
57,28.206,4650.170,4678.376,0
58,37.428,4671.866,4709.294,0
59,39.770,5043.204,5082.974,0
60,21.247,5322.763,5344.010,0
61,27.525,5033.220,5060.745,0
62,36.651,5044.036,5080.687,0
63,28.177,5045.924,5074.101,0
64,24.726,5385.581,5410.307,0
65,15.772,5011.907,5027.679,0
66,23.234,5378.605,5401.839,0
67,32.776,5037.124,5069.900,0
68,37.230,5039.300,5076.530,0
69,37.684,5050.564,5088.248,0
70,22.297,5389.069,5411.366,0
71,26.143,5034.532,5060.675,0
72,33.029,5049.988,5083.017,0
73,36.299,5039.588,5075.887,0
74,22.608,5442.767,5465.375,0
75,31.542,5585.618,5617.160,0
76,14.395,5530.097,5544.492,0
77,14.753,5531.121,5545.874,0
78,21.959,5727.638,5749.597,0
79,26.125,5595.122,5621.247,0
80,24.979,5709.077,5734.056,0
81,23.736,5581.523,5605.259,0
82,22.014,5725.878,5747.892,0
83,15.268,5519.248,5534.516,0
84,22.954,5723.958,5746.912,0
85,28.720,5583.314,5612.034,0
86,12.917,5545.777,5558.694,0
87,28.251,5597.619,5625.870,0
88,23.681,5727.190,5750.871,0
89,15.270,5541.874,5557.144,0
90,21.516,5744.695,5766.211,0
91,27.794,5586.899,5614.693,0
92,15.448,5553.201,5568.649,0
93,22.974,5597.298,5620.272,0
94,21.283,5735.895,5757.178,0
95,14.761,5738.838,5753.599,0
96,23.535,5941.212,5964.747,0
97,27.733,5816.408,5844.141,0
98,24.987,5933.755,5958.742,0
99,28.193,5808.216,5836.409,0
100,22.310,5928.955,5951.265,0
101,26.732,5805.816,5832.548,0
102,21.490,5938.011,5959.501,0
103,28.024,5808.152,5836.176,0
104,24.797,5933.116,5957.913,0
105,29.699,5803.256,5832.955,0
106,23.849,5929.723,5953.572,0
107,31.215,5804.504,5835.719,0
108,20.436,5926.139,5946.575,0
109,29.306,5807.288,5836.594,0
110,25.440,5910.235,5935.675,0
111,28.198,5799.832,5828.030,0
112,20.683,5944.572,5965.255,0
113,32.434,6377.062,6409.496,0
114,22.583,6545.739,6568.322,0
115,28.797,6460.265,6489.062,0
116,18.114,6515.275,6533.389,0
117,26.536,6463.850,6490.386,0
118,15.086,6399.943,6415.029,0
119,11.188,6397.799,6408.987,0
120,21.210,6534.155,6555.365,0
121,26.944,6464.521,6491.465,0
122,19.749,6499.562,6519.311,0
123,29.419,6463.657,6493.076,0
124,14.385,6400.199,6414.584,0
125,12.246,6406.792,6419.038,0
126,20.284,6513.355,6533.639,0
127,32.258,6464.138,6496.396,0
128,21.896,6508.266,6530.162,0
129,29.582,6430.344,6459.926,0
130,33.524,6460.713,6494.237,0
131,11.865,6400.007,6411.872,0
132,21.311,6511.978,6533.289,0
133,27.269,6250.115,6277.384,0
134,18.602,6318.022,6336.624,0
135,24.592,6253.700,6278.292,0
136,20.438,6322.278,6342.716,0
137,26.812,6256.900,6283.712,0
138,21.570,6305.477,6327.047,0
139,30.216,6254.435,6284.651,0
140,18.317,6289.349,6307.666,0
141,27.059,6253.988,6281.047,0
142,14.489,6179.233,6193.722,0
143,11.198,6175.138,6186.336,0
144,19.460,6312.133,6331.593,0
145,32.746,6265.924,6298.670,0
146,19.312,6296.388,6315.700,0
147,29.430,6243.619,6273.049,0
148,15.643,6191.906,6207.549,0
149,11.265,6182.017,6193.282,0
150,22.183,6343.238,6365.421,0
151,26.509,6246.755,6273.264,0
152,19.698,6307.333,6327.031,0
153,27.416,6243.843,6271.259,0
154,27.838,6334.854,6362.692,0
155,28.004,6260.675,6288.679,0
156,25.641,6324.294,6349.935,0
157,28.207,6238.563,6266.770,0
158,19.061,6295.012,6314.073,0
159,29.947,6251.747,6281.694,0
160,15.168,6189.666,6204.834,0
161,12.198,6182.625,6194.823,0
162,23.340,6334.501,6357.841,0
163,33.458,6246.979,6280.437,0
164,19.287,6294.469,6313.756,0
165,26.525,6246.883,6273.408,0
166,15.042,6192.995,6208.037,0
167,10.504,6183.362,6193.866,0
168,18.478,6303.429,6321.907,0
169,30.676,6251.204,6281.880,0
170,20.378,6304.197,6324.575,0
171,27.231,6254.340,6281.571,0
172,21.381,6325.446,6346.827,0
173,26.859,6245.283,6272.142,0
174,22.289,6323.013,6345.302,0
175,32.983,6256.195,6289.178,0
176,20.156,6321.093,6341.249,0
177,27.490,6263.876,6291.366,0
178,14.695,6193.635,6208.330,0
179,11.917,6179.714,6191.631,0
180,21.843,6327.814,6349.657,0
181,30.457,6269.348,6299.805,0
182,19.839,6313.189,6333.028,0
183,26.756,6252.868,6279.624,0
184,14.346,6194.242,6208.588,0
185,11.216,6182.113,6193.329,0
186,21.654,6336.677,6358.331,0
187,30.236,6262.915,6293.151,0
188,21.953,6306.565,6328.518,0
189,24.871,6249.763,6274.634,0
190,14.636,6201.923,6216.559,0
191,11.186,6191.170,6202.356,0
192,23.064,6319.205,6342.269,0
193,28.798,6251.044,6279.842,0
194,22.500,6308.197,6330.697,0
195,24.809,6249.252,6274.061,0
196,25.359,6334.982,6360.341,0
197,25.717,6259.844,6285.561,0
198,22.267,6330.373,6352.640,0
199,29.504,6251.620,6281.124,0
200,20.838,6315.909,6336.747,0
201,25.804,6260.708,6286.512,0
202,13.713,6190.562,6204.275,0
203,11.095,6179.554,6190.649,0
204,25.405,6326.630,6352.035,0
205,36.259,6253.188,6289.447,0
206,20.424,6299.205,6319.629,0
207,26.766,6271.781,6298.547,0
208,14.452,6188.034,6202.486,0
209,11.353,6185.730,6197.083,0
210,24.064,6340.709,6364.773,0
211,31.013,6256.132,6287.145,0
212,20.811,6311.301,6332.112,0
213,26.193,6261.188,6287.381,0
214,13.846,6183.106,6196.952,0
215,12.220,6176.578,6188.798,0
216,22.178,6347.526,6369.704,0
217,27.432,6249.667,6277.099,0
218,19.021,6305.477,6324.498,0
219,24.755,6259.460,6284.215,0
220,24.281,6333.414,6357.695,0
221,25.151,6256.452,6281.603,0
222,26.213,6343.558,6369.771,0
223,26.794,6256.100,6282.894,0
224,19.280,6306.597,6325.877,0
225,26.518,6247.171,6273.689,0
226,25.051,6292.837,6317.888,0
227,23.937,6241.956,6265.893,0
228,21.799,6329.286,6351.085,0
229,28.429,6242.307,6270.736,0
230,18.802,6308.165,6326.967,0
231,24.696,6250.020,6274.716,0
232,27.102,6290.757,6317.859,0
233,28.420,6250.307,6278.727,0
234,24.009,6330.534,6354.543,0
235,30.415,6269.828,6300.243,0
236,33.941,6370.727,6404.668,0
237,23.419,6275.460,6298.879,0
238,19.712,6495.114,6514.826,0
239,24.774,6477.002,6501.776,0
240,20.332,6538.251,6558.583,0
241,25.586,6466.377,6491.963,0
242,21.943,6517.739,6539.682,0
243,27.997,6463.337,6491.334,0
244,24.291,6542.923,6567.214,0
245,26.089,6473.001,6499.090,0
246,21.166,6551.564,6572.730,0
247,32.852,6468.810,6501.662,0
248,17.882,6307.045,6324.927,0
249,25.279,6258.692,6283.971,0
250,15.557,6191.426,6206.983,0
251,11.627,6191.170,6202.797,0
252,19.792,6313.350,6333.142,0
253,31.190,6261.636,6292.826,0
254,19.996,6314.917,6334.913,0
255,28.706,6250.659,6279.365,0
256,25.959,6299.429,6325.388,0
257,26.893,6244.292,6271.185,0
258,20.659,6317.157,6337.816,0
259,27.865,6236.067,6263.932,0
260,19.998,6331.238,6351.236,0
261,26.532,6266.244,6292.776,0
262,28.842,6339.398,6368.240,0
263,28.272,6262.339,6290.611,0
264,25.621,6331.718,6357.339,0
265,30.331,6244.291,6274.622,0
266,21.889,6333.701,6355.590,0
267,29.254,6253.124,6282.378,0
268,34.348,6253.028,6287.376,0
269,10.545,6191.714,6202.259,0
270,21.431,6341.286,6362.717,0
271,29.725,6238.468,6268.193,0
272,20.419,6295.845,6316.264,0
273,27.785,6270.276,6298.061,0
274,15.342,6179.042,6194.384,0
275,10.740,6172.385,6183.125,0
276,21.562,6345.382,6366.944,0
277,35.232,6269.956,6305.188,0
278,21.637,6346.214,6367.851,0
279,27.115,6258.596,6285.711,0
280,21.681,6314.149,6335.830,0
281,25.238,6246.500,6271.738,0
282,21.724,6347.654,6369.378,0
283,29.698,6259.556,6289.254,0
284,18.567,6307.493,6326.060,0
285,26.061,6267.108,6293.169,0
286,14.931,6199.074,6214.005,0
287,11.992,6195.331,6207.323,0
288,20.286,6297.349,6317.635,0
289,30.724,6248.516,6279.240,0
290,18.538,6319.653,6338.191,0
291,25.040,6261.827,6286.867,0
292,16.245,6175.298,6191.543,0
293,10.971,6179.713,6190.684,0
294,24.065,6332.517,6356.582,0
295,26.118,6255.908,6282.026,0
296,21.644,6311.877,6333.521,0
297,27.090,6241.251,6268.341,0
298,27.256,6333.029,6360.285,0
299,26.525,6255.140,6281.665,0
300,20.963,6337.382,6358.345,0
301,31.241,6262.532,6293.773,0
