cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,15.228,3950.715,3965.943,0
1,12.115,3922.074,3934.189,0
2,10.250,3909.210,3919.460,0
3,12.289,3905.657,3917.946,0
4,11.544,3915.193,3926.737,0
5,12.175,3908.377,3920.552,0
6,10.502,3906.201,3916.703,0
7,10.780,3910.906,3921.686,0
8,10.355,3908.698,3919.053,0
9,11.306,3907.546,3918.852,0
10,10.945,3906.201,3917.146,0
11,11.032,3909.881,3920.913,0
12,10.895,3902.969,3913.864,0
13,10.246,3914.137,3924.383,0
14,10.973,3904.921,3915.894,0
15,10.227,3911.994,3922.221,0
16,10.922,3915.962,3926.884,0
17,10.881,3911.770,3922.651,0
18,12.216,3897.817,3910.033,0
19,11.855,3909.050,3920.905,0
20,10.214,3899.833,3910.047,0
21,11.293,3909.145,3920.438,0
22,12.596,3903.481,3916.077,0
23,11.499,3917.561,3929.060,0
24,10.241,3908.666,3918.907,0
25,11.320,3906.522,3917.842,0
26,10.063,3913.594,3923.657,0
27,10.662,3907.162,3917.824,0
28,10.493,3907.417,3917.910,0
29,10.900,3907.993,3918.893,0
30,10.507,3911.225,3921.732,0
31,10.690,3904.281,3914.971,0
32,10.968,3908.794,3919.762,0
33,11.599,3907.354,3918.953,0
34,12.614,3915.738,3928.352,0
35,11.069,3909.050,3920.119,0
36,11.060,3910.842,3921.902,0
37,11.275,3902.553,3913.828,0
38,11.842,3916.058,3927.900,0
39,10.873,3905.337,3916.210,0
40,11.632,3909.081,3920.713,0
41,11.174,3909.114,3920.288,0
42,11.037,3908.570,3919.607,0
43,10.676,3908.858,3919.534,0
44,16.299,3920.218,3936.517,0
45,11.778,3906.329,3918.107,0
46,10.489,3905.433,3915.922,0
47,11.408,3909.497,3920.905,0
48,11.335,3910.041,3921.376,0
49,10.461,3906.362,3916.823,0
50,11.860,3906.330,3918.190,0
51,11.051,3914.906,3925.957,0
52,10.210,3908.154,3918.364,0
53,10.681,3906.937,3917.618,0
54,11.696,3909.305,3921.001,0
55,11.879,3909.817,3921.696,0
56,10.910,3912.217,3923.127,0
57,11.317,3912.185,3923.502,0
58,13.035,3918.138,3931.173,0
59,12.322,3910.394,3922.716,0
60,10.393,3907.802,3918.195,0
61,10.864,3906.810,3917.674,0
62,10.439,3913.946,3924.385,0
63,10.238,3906.201,3916.439,0
64,10.389,3915.321,3925.710,0
65,10.444,3901.529,3911.973,0
66,11.490,3906.650,3918.140,0
67,12.281,3910.362,3922.643,0
68,12.944,3911.994,3924.938,0
69,11.527,3913.562,3925.089,0
70,12.094,3903.385,3915.479,0
71,10.613,3903.577,3914.190,0
72,10.124,3912.185,3922.309,0
73,11.747,3910.489,3922.236,0
74,10.298,3898.457,3908.755,0
75,11.568,3913.786,3925.354,0
76,11.559,3909.114,3920.673,0
77,10.462,3910.650,3921.112,0
78,10.837,3904.953,3915.790,0
79,11.116,3889.689,3900.805,0
80,10.627,3908.601,3919.228,0
81,13.050,3906.457,3919.507,0
82,10.801,3906.297,3917.098,0
83,10.407,3913.690,3924.097,0
84,10.366,3902.746,3913.112,0
