cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,13.835,4680.353,4694.188,0
1,12.542,4689.026,4701.568,0
2,21.266,4800.389,4821.655,0
3,10.118,4708.674,4718.792,0
4,24.154,4770.276,4794.430,0
5,13.453,4730.947,4744.400,0
6,10.305,4707.586,4717.891,0
7,12.053,4702.210,4714.263,0
8,10.952,4690.146,4701.098,0
9,12.284,4748.516,4760.800,0
10,11.504,4702.210,4713.714,0
11,10.820,4704.066,4714.886,0
12,10.743,4696.739,4707.482,0
13,11.403,4692.130,4703.533,0
14,11.647,4677.634,4689.281,0
15,10.259,4688.546,4698.805,0
16,12.455,4689.761,4702.216,0
17,11.258,4683.298,4694.556,0
18,13.198,4697.570,4710.768,0
19,10.370,4693.698,4704.068,0
20,14.294,4698.018,4712.312,0
21,9.961,4691.170,4701.131,0
22,10.461,4688.866,4699.327,0
23,11.281,4680.321,4691.602,0
24,10.309,4672.609,4682.918,0
25,10.744,4683.490,4694.234,0
26,10.284,4686.082,4696.366,0
27,19.424,4742.659,4762.083,0
28,15.828,4744.131,4759.959,0
29,11.431,4712.099,4723.530,0
30,12.891,4711.043,4723.934,0
31,11.759,4700.130,4711.889,0
32,13.315,4693.538,4706.853,0
33,10.774,4685.986,4696.760,0
34,10.602,4684.034,4694.636,0
35,13.278,4717.539,4730.817,0
36,10.386,4685.793,4696.179,0
37,10.469,4682.050,4692.519,0
38,12.153,4687.650,4699.803,0
39,12.493,4806.885,4819.378,0
40,11.937,4694.946,4706.883,0
41,12.052,4687.042,4699.094,0
42,10.376,4691.938,4702.314,0
43,14.172,4704.450,4718.622,0
44,10.608,4699.106,4709.714,0
45,10.307,4692.898,4703.205,0
46,11.063,4686.402,4697.465,0
47,10.475,4695.938,4706.413,0
48,11.711,4683.873,4695.584,0
49,10.930,4676.354,4687.284,0
50,10.566,4685.154,4695.720,0
51,11.354,4689.698,4701.052,0
52,26.734,4774.404,4801.138,0
53,25.794,4764.740,4790.534,0
54,17.621,4735.203,4752.824,0
55,11.273,4700.514,4711.787,0
56,18.237,4720.195,4738.432,0
57,9.168,4710.851,4720.019,0
58,10.628,4687.810,4698.438,0
59,15.704,4713.923,4729.627,0
60,9.772,4695.042,4704.814,0
61,16.032,4701.858,4717.890,0
62,11.347,4690.114,4701.461,0
63,10.567,4701.698,4712.265,0
64,16.059,4701.058,4717.117,0
65,11.854,4687.426,4699.280,0
66,16.258,4699.746,4716.004,0
67,10.422,4687.458,4697.880,0
68,10.698,4688.130,4698.828,0
69,17.918,4711.234,4729.152,0
70,9.809,4695.458,4705.267,0
71,16.069,4697.538,4713.607,0
72,9.561,4687.777,4697.338,0
73,11.436,4688.258,4699.694,0
74,16.320,4705.571,4721.891,0
75,10.772,4686.434,4697.206,0
76,15.560,4693.154,4708.714,0
77,28.732,4782.084,4810.816,0
78,25.648,4771.140,4796.788,0
79,16.611,4738.627,4755.238,0
80,11.159,4711.010,4722.169,0
81,18.283,4724.803,4743.086,0
82,10.078,4699.522,4709.600,0
83,10.898,4691.586,4702.484,0
84,15.206,4702.370,4717.576,0
85,10.105,4689.410,4699.515,0
86,17.037,4688.642,4705.679,0
87,11.681,4679.682,4691.363,0
88,10.261,4687.330,4697.591,0
89,17.673,4691.330,4709.003,0
90,11.452,4685.826,4697.278,0
91,17.584,4698.690,4716.274,0
92,11.364,4685.250,4696.614,0
93,14.296,4701.378,4715.674,0
94,16.651,4709.443,4726.094,0
95,11.711,4696.322,4708.033,0
96,16.595,4706.914,4723.509,0
97,10.535,4687.041,4697.576,0
98,10.394,4687.426,4697.820,0
99,16.238,4694.626,4710.864,0
100,11.554,4688.674,4700.228,0
101,16.630,4700.674,4717.304,0
102,28.714,4795.813,4824.527,0
103,25.725,4783.077,4808.802,0
104,19.313,4736.387,4755.700,0
105,10.245,4702.786,4713.031,0
106,18.521,4705.570,4724.091,0
107,12.716,4675.106,4687.822,0
108,10.688,4676.353,4687.041,0
109,16.212,4685.729,4701.941,0
110,9.959,4677.282,4687.241,0
111,16.411,4707.491,4723.902,0
112,10.479,4673.377,4683.856,0
113,10.659,4678.913,4689.572,0
114,17.302,4691.938,4709.240,0
115,11.050,4672.897,4683.947,0
116,18.206,4684.162,4702.368,0
117,10.546,4675.073,4685.619,0
118,16.806,4685.857,4702.663,0
119,17.049,4686.178,4703.227,0
120,11.149,4679.105,4690.254,0
121,19.841,4697.282,4717.123,0
122,18.805,4707.554,4726.359,0
123,11.752,4680.514,4692.266,0
124,17.052,4699.298,4716.350,0
125,11.536,4684.289,4695.825,0
126,17.252,4687.905,4705.157,0
127,29.816,4769.476,4799.292,0
128,22.027,4775.012,4797.039,0
129,18.911,4735.363,4754.274,0
130,10.930,4704.387,4715.317,0
131,17.798,4723.395,4741.193,0
132,11.098,4698.946,4710.044,0
133,11.182,4704.386,4715.568,0
134,16.002,4701.378,4717.380,0
135,10.677,4683.042,4693.719,0
136,15.913,4703.618,4719.531,0
137,10.845,4683.521,4694.366,0
138,10.224,4688.322,4698.546,0
139,16.036,4696.930,4712.966,0
140,11.352,4689.186,4700.538,0
141,16.684,4700.130,4716.814,0
142,11.935,4693.858,4705.793,0
143,14.067,4709.027,4723.094,0
144,16.935,4699.330,4716.265,0
145,10.171,4704.514,4714.685,0
146,15.791,4709.890,4725.681,0
147,10.882,4690.754,4701.636,0
148,11.030,4691.074,4702.104,0
149,15.850,4703.138,4718.988,0
150,10.429,4697.026,4707.455,0
151,15.889,4693.282,4709.171,0
152,28.645,4792.741,4821.386,0
153,22.009,4776.548,4798.557,0
154,17.261,4740.387,4757.648,0
155,10.112,4704.930,4715.042,0
156,18.548,4717.955,4736.503,0
157,10.440,4689.762,4700.202,0
158,12.571,4703.331,4715.902,0
159,16.303,4698.274,4714.577,0
160,11.267,4689.954,4701.221,0
161,17.015,4697.346,4714.361,0
162,9.706,4678.978,4688.684,0
163,10.110,4691.458,4701.568,0
164,16.690,4694.722,4711.412,0
165,10.854,4685.409,4696.263,0
166,10.745,4704.771,4715.516,0
167,10.957,4696.130,4707.087,0
168,15.073,4709.474,4724.547,0
169,11.157,4689.218,4700.375,0
170,10.504,4698.179,4708.683,0
171,14.748,4708.771,4723.519,0
172,11.856,4689.890,4701.746,0
173,12.516,4684.225,4696.741,0
174,10.743,4679.170,4689.913,0
175,10.635,4693.666,4704.301,0
176,10.847,4694.210,4705.057,0
177,19.315,4732.771,4752.086,0
178,17.735,4734.595,4752.330,0
179,11.386,4706.083,4717.469,0
180,10.254,4701.058,4711.312,0
181,12.258,4700.034,4712.292,0
182,10.485,4686.850,4697.335,0
183,11.177,4701.666,4712.843,0
184,11.165,4698.722,4709.887,0
185,9.905,4691.042,4700.947,0
186,11.333,4688.929,4700.262,0
187,10.168,4692.450,4702.618,0
188,11.276,4684.578,4695.854,0
189,14.016,4686.018,4700.034,0
190,11.252,4691.457,4702.709,0
191,11.751,4684.930,4696.681,0
192,13.819,4705.666,4719.485,0
193,15.343,4697.250,4712.593,0
194,13.507,4697.378,4710.885,0
195,10.230,4680.610,4690.840,0
196,11.178,4693.282,4704.460,0
197,11.966,4696.098,4708.064,0
198,10.418,4689.697,4700.115,0
199,13.445,4683.426,4696.871,0
200,10.009,4671.521,4681.530,0
201,12.461,4673.217,4685.678,0
202,23.265,4751.523,4774.788,0
203,17.812,4741.924,4759.736,0
204,12.520,4698.082,4710.602,0
205,12.028,4692.418,4704.446,0
206,10.544,4682.049,4692.593,0
207,12.611,4686.114,4698.725,0
208,9.879,4680.386,4690.265,0
209,11.275,4695.874,4707.149,0
210,12.831,4679.553,4692.384,0
211,11.730,4684.546,4696.276,0
212,12.550,4680.546,4693.096,0
213,10.330,4672.161,4682.491,0
214,11.758,4689.345,4701.103,0
215,13.057,4681.154,4694.211,0
216,11.509,4682.882,4694.391,0
217,11.753,4673.665,4685.418,0
218,19.613,4696.706,4716.319,0
219,9.840,4683.170,4693.010,0
220,13.028,4688.066,4701.094,0
221,14.872,4703.842,4718.714,0
222,11.276,4678.273,4689.549,0
223,13.535,4680.066,4693.601,0
224,10.163,4683.906,4694.069,0
225,14.023,4681.762,4695.785,0
226,11.419,4691.490,4702.909,0
227,18.831,4735.203,4754.034,0
228,18.786,4739.492,4758.278,0
229,12.246,4725.283,4737.529,0
230,10.698,4696.482,4707.180,0
231,14.525,4705.507,4720.032,0
232,11.313,4699.650,4710.963,0
233,12.805,4696.162,4708.967,0
234,12.025,4687.553,4699.578,0
235,9.772,4693.410,4703.182,0
236,13.408,4685.762,4699.170,0
237,12.276,4683.042,4695.318,0
238,13.064,4692.354,4705.418,0
239,10.299,4695.234,4705.533,0
240,10.415,4690.722,4701.137,0
241,13.891,4694.402,4708.293,0
242,11.127,4680.705,4691.832,0
243,15.274,4702.979,4718.253,0
244,12.478,4695.650,4708.128,0
245,11.186,4664.065,4675.251,0
246,16.390,4719.330,4735.720,0
247,10.425,4690.786,4701.211,0
248,10.285,4688.962,4699.247,0
249,13.409,4688.642,4702.051,0
250,11.285,4678.913,4690.198,0
251,13.224,4671.874,4685.098,0
252,20.700,4744.292,4764.992,0
253,19.888,4736.899,4756.787,0
254,13.572,4718.146,4731.718,0
255,11.895,4689.058,4700.953,0
256,12.075,4685.282,4697.357,0
257,12.255,4689.794,4702.049,0
258,11.987,4682.881,4694.868,0
259,12.550,4693.698,4706.248,0
260,10.682,4688.386,4699.068,0
261,11.790,4685.058,4696.848,0
262,12.770,4685.089,4697.859,0
263,11.125,4680.226,4691.351,0
264,9.577,4679.810,4689.387,0
265,11.101,4689.666,4700.767,0
266,12.081,4685.089,4697.170,0
267,11.364,4682.370,4693.734,0
268,13.624,4696.354,4709.978,0
269,12.396,4687.586,4699.982,0
270,11.264,4682.145,4693.409,0
271,15.443,4686.786,4702.229,0
272,10.407,4674.466,4684.873,0
273,10.459,4679.905,4690.364,0
274,11.695,4684.193,4695.888,0
275,11.554,4690.114,4701.668,0
276,11.798,4680.898,4692.696,0
277,20.778,4743.428,4764.206,0
278,18.942,4744.227,4763.169,0
279,12.017,4702.691,4714.708,0
280,11.525,4695.074,4706.599,0
281,17.017,4716.483,4733.500,0
282,10.893,4694.114,4705.007,0
283,16.513,4697.954,4714.467,0
284,11.188,4688.450,4699.638,0
285,9.736,4687.010,4696.746,0
286,16.764,4693.698,4710.462,0
287,10.223,4676.706,4686.929,0
288,15.747,4703.491,4719.238,0
289,10.327,4692.386,4702.713,0
290,10.251,4677.921,4688.172,0
291,16.735,4709.442,4726.177,0
292,10.642,4679.586,4690.228,0
293,16.582,4712.067,4728.649,0
294,10.522,4695.810,4706.332,0
295,11.405,4680.130,4691.535,0
296,15.617,4695.490,4711.107,0
297,10.613,4701.282,4711.895,0
298,16.009,4694.850,4710.859,0
299,11.196,4690.050,4701.246,0
300,11.120,4680.994,4692.114,0
301,16.580,4692.866,4709.446,0
302,19.800,4742.371,4762.171,0
303,18.572,4736.547,4755.119,0
304,11.487,4702.594,4714.081,0
305,11.251,4710.530,4721.781,0
306,15.751,4706.114,4721.865,0
307,11.226,4694.562,4705.788,0
308,17.422,4705.571,4722.993,0
309,10.754,4693.666,4704.420,0
310,10.966,4694.306,4705.272,0
311,15.434,4709.442,4724.876,0
312,11.709,4693.282,4704.991,0
313,11.409,4688.130,4699.539,0
314,10.277,4688.769,4699.046,0
315,10.648,4686.050,4696.698,0
316,15.212,4689.922,4705.134,0
317,10.560,4688.770,4699.330,0
318,10.644,4691.938,4702.582,0
319,11.783,4701.155,4712.938,0
320,10.843,4694.946,4705.789,0
321,16.623,4699.266,4715.889,0
322,11.587,4682.721,4694.308,0
323,10.038,4689.570,4699.608,0
324,9.546,4702.050,4711.596,0
325,9.822,4686.562,4696.384,0
326,16.146,4689.314,4705.460,0
327,18.918,4750.435,4769.353,0
328,18.233,4764.612,4782.845,0
329,11.533,4715.363,4726.896,0
330,11.169,4701.410,4712.579,0
331,17.525,4705.186,4722.711,0
332,11.944,4683.938,4695.882,0
333,10.684,4697.250,4707.934,0
334,10.032,4690.850,4700.882,0
335,10.179,4692.962,4703.141,0
336,10.199,4676.194,4686.393,0
337,9.323,4700.418,4709.741,0
338,9.567,4680.897,4690.464,0
339,10.290,4688.450,4698.740,0
340,11.942,4682.818,4694.760,0
341,11.290,4679.074,4690.364,0
342,11.150,4685.313,4696.463,0
343,12.897,4687.810,4700.707,0
344,16.021,4698.914,4714.935,0
345,10.985,4674.209,4685.194,0
346,10.877,4681.057,4691.934,0
347,10.352,4676.194,4686.546,0
348,10.372,4675.330,4685.702,0
349,10.392,4675.137,4685.529,0
350,10.156,4666.497,4676.653,0
351,12.896,4686.145,4699.041,0
352,23.732,4746.531,4770.263,0
353,19.911,4745.316,4765.227,0
354,11.515,4713.282,4724.797,0
355,10.798,4703.139,4713.937,0
356,13.346,4706.083,4719.429,0
357,11.350,4691.522,4702.872,0
358,10.602,4690.370,4700.972,0
359,10.365,4681.634,4691.999,0
360,10.897,4692.994,4703.891,0
361,11.781,4686.402,4698.183,0
362,11.321,4680.929,4692.250,0
363,11.052,4691.938,4702.990,0
364,11.392,4691.618,4703.010,0
365,11.092,4687.970,4699.062,0
366,11.976,4680.545,4692.521,0
367,10.267,4682.818,4693.085,0
368,10.991,4681.474,4692.465,0
369,16.355,4710.371,4726.726,0
370,11.031,4690.050,4701.081,0
371,17.643,4700.706,4718.349,0
372,17.054,4703.203,4720.257,0
373,10.898,4694.658,4705.556,0
374,15.142,4707.298,4722.440,0
375,15.930,4710.338,4726.268,0
376,15.405,4708.163,4723.568,0
377,27.905,4787.365,4815.270,0
378,23.189,4764.836,4788.025,0
379,16.297,4733.571,4749.868,0
380,17.052,4724.035,4741.087,0
381,16.400,4716.451,4732.851,0
382,15.780,4710.306,4726.086,0
383,11.863,4691.778,4703.641,0
384,16.011,4709.219,4725.230,0
385,16.511,4698.882,4715.393,0
386,14.803,4704.290,4719.093,0
387,16.039,4692.386,4708.425,0
388,11.130,4680.674,4691.804,0
389,15.054,4688.130,4703.184,0
390,16.194,4690.370,4706.564,0
391,15.734,4683.137,4698.871,0
392,16.041,4689.506,4705.547,0
393,11.229,4677.602,4688.831,0
394,16.913,4698.914,4715.827,0
395,16.709,4693.410,4710.119,0
396,16.280,4692.738,4709.018,0
397,17.132,4691.330,4708.462,0
398,12.000,4675.841,4687.841,0
399,15.732,4689.665,4705.397,0
400,16.007,4700.707,4716.714,0
401,14.747,4697.730,4712.477,0
402,26.223,4766.116,4792.339,0
403,22.659,4770.980,4793.639,0
404,16.406,4726.915,4743.321,0
405,16.522,4730.499,4747.021,0
406,14.590,4724.483,4739.073,0
407,15.986,4710.178,4726.164,0
408,9.957,4692.354,4702.311,0
409,15.897,4708.866,4724.763,0
410,15.693,4701.282,4716.975,0
411,14.369,4710.786,4725.155,0
412,15.508,4706.563,4722.071,0
413,10.056,4692.610,4702.666,0
414,15.036,4708.386,4723.422,0
415,15.504,4704.418,4719.922,0
416,14.659,4705.155,4719.814,0
417,15.575,4698.722,4714.297,0
418,10.315,4690.754,4701.069,0
419,15.999,4725.666,4741.665,0
420,15.282,4699.842,4715.124,0
421,14.790,4709.442,4724.232,0
422,16.602,4704.386,4720.988,0
423,10.189,4688.802,4698.991,0
424,15.777,4707.267,4723.044,0
425,16.341,4703.106,4719.447,0
426,14.089,4699.938,4714.027,0
427,31.165,4786.245,4817.410,0
428,24.113,4780.612,4804.725,0
429,16.836,4728.323,4745.159,0
430,16.280,4722.275,4738.555,0
431,15.788,4720.962,4736.750,0
432,15.583,4708.963,4724.546,0
433,11.635,4697.122,4708.757,0
434,15.495,4709.026,4724.521,0
435,15.899,4701.538,4717.437,0
436,14.702,4705.283,4719.985,0
437,15.426,4703.298,4718.724,0
438,11.254,4677.281,4688.535,0
439,13.802,4712.450,4726.252,0
440,16.701,4701.283,4717.984,0
441,14.609,4702.402,4717.011,0
442,16.453,4703.490,4719.943,0
443,9.656,4681.858,4691.514,0
444,16.332,4705.091,4721.423,0
445,15.616,4708.930,4724.546,0
446,15.028,4701.890,4716.918,0
447,16.904,4708.514,4725.418,0
448,10.811,4692.162,4702.973,0
449,14.799,4712.259,4727.058,0
450,16.355,4692.802,4709.157,0
451,14.935,4704.482,4719.417,0
452,26.603,4786.852,4813.455,0
453,18.078,4769.668,4787.746,0
454,15.090,4734.947,4750.037,0
455,10.245,4708.387,4718.632,0
456,16.249,4715.395,4731.644,0
457,11.085,4697.570,4708.655,0
458,10.785,4696.930,4707.715,0
459,14.837,4706.530,4721.367,0
460,11.464,4690.850,4702.314,0
461,14.684,4701.026,4715.710,0
462,11.248,4686.497,4697.745,0
463,11.555,4692.578,4704.133,0
464,15.415,4695.618,4711.033,0
465,20.651,4758.916,4779.567,0
466,16.863,4739.523,4756.386,0
467,9.842,4707.683,4717.525,0
468,10.886,4689.282,4700.168,0
469,16.410,4713.731,4730.141,0
470,10.542,4692.194,4702.736,0
471,15.426,4705.250,4720.676,0
472,10.613,4690.818,4701.431,0
473,11.977,4696.962,4708.939,0
474,15.229,4697.858,4713.087,0
475,9.808,4687.106,4696.914,0
476,15.492,4701.666,4717.158,0
477,23.800,4784.773,4808.573,0
478,23.596,4796.965,4820.561,0
479,16.096,4724.994,4741.090,0
480,12.179,4711.459,4723.638,0
481,16.839,4719.011,4735.850,0
482,10.619,4703.682,4714.301,0
483,10.894,4692.674,4703.568,0
484,15.458,4711.555,4727.013,0
