cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,13.035,13374.962,13387.997,0
1,19.373,13469.430,13488.803,0
2,17.840,13392.115,13409.955,0
3,24.563,13532.695,13557.258,0
4,18.070,13452.948,13471.018,0
5,19.416,13412.756,13432.172,0
6,17.979,13411.667,13429.646,0
7,17.502,13395.059,13412.561,0
8,24.961,13506.262,13531.223,0
9,16.675,13437.876,13454.551,0
10,16.742,13388.083,13404.825,0
11,17.833,13414.131,13431.964,0
12,17.035,13377.843,13394.878,0
13,32.622,13552.568,13585.190,0
14,21.393,13461.237,13482.630,0
15,16.755,13390.323,13407.078,0
16,22.518,13412.820,13435.338,0
17,16.985,13411.635,13428.620,0
18,33.948,13568.536,13602.484,0
19,19.454,13451.093,13470.547,0
20,17.281,13400.883,13418.164,0
21,24.260,13430.964,13455.224,0
22,16.870,13392.755,13409.625,0
23,31.689,13569.752,13601.441,0
24,18.700,13445.780,13464.480,0
25,17.550,13420.468,13438.018,0
26,16.849,13457.365,13474.214,0
27,17.364,13394.931,13412.295,0
28,30.455,13566.936,13597.391,0
29,19.065,13462.037,13481.102,0
30,15.868,13424.340,13440.208,0
31,22.495,13437.908,13460.403,0
32,18.625,13375.123,13393.748,0
33,31.300,13573.656,13604.956,0
34,22.023,13511.478,13533.501,0
35,17.833,13420.596,13438.429,0
36,17.836,13426.516,13444.352,0
37,21.327,13410.451,13431.778,0
38,28.786,13559.991,13588.777,0
39,21.428,13497.206,13518.634,0
40,18.903,13435.732,13454.635,0
41,20.474,13439.572,13460.046,0
42,20.220,13413.652,13433.872,0
43,26.943,13562.904,13589.847,0
44,19.010,13454.484,13473.494,0
45,19.141,13457.492,13476.633,0
46,18.823,13414.388,13433.211,0
47,20.810,13396.051,13416.861,0
48,29.453,13560.535,13589.988,0
49,21.711,13466.965,13488.676,0
50,21.426,13473.205,13494.631,0
51,18.997,13441.076,13460.073,0
52,19.415,13419.732,13439.147,0
53,28.506,13580.152,13608.658,0
54,21.725,13446.612,13468.337,0
55,21.632,13472.405,13494.037,0
56,17.570,13436.724,13454.294,0
57,17.893,13413.491,13431.384,0
58,30.728,13569.816,13600.544,0
59,20.394,13453.461,13473.855,0
60,21.261,13426.452,13447.713,0
61,20.144,13439.060,13459.204,0
62,17.842,13427.796,13445.638,0
63,31.157,13559.672,13590.829,0
64,22.456,13464.277,13486.733,0
65,19.835,13446.676,13466.511,0
66,21.341,13460.789,13482.130,0
67,18.624,13442.068,13460.692,0
68,27.907,13553.399,13581.306,0
69,29.094,13720.252,13749.346,0
70,19.432,13502.454,13521.886,0
71,18.123,13487.829,13505.952,0
72,18.093,13446.325,13464.418,0
73,31.472,13638.522,13669.994,0
74,24.627,13523.318,13547.945,0
75,19.093,13463.669,13482.762,0
76,17.880,13465.781,13483.661,0
77,19.355,13419.763,13439.118,0
78,29.822,13566.328,13596.150,0
79,22.912,13454.005,13476.917,0
80,18.339,13414.867,13433.206,0
81,21.190,13455.732,13476.922,0
82,18.056,13409.652,13427.708,0
83,31.947,13575.608,13607.555,0
84,20.654,13487.253,13507.907,0
85,18.512,13485.078,13503.590,0
86,20.851,13478.389,13499.240,0
87,20.470,13419.347,13439.817,0
88,28.793,13574.072,13602.865,0
89,18.619,13483.222,13501.841,0
90,17.758,13422.452,13440.210,0
91,18.112,13433.013,13451.125,0
92,18.019,13425.332,13443.351,0
93,29.094,13569.208,13598.302,0
94,22.025,13460.692,13482.717,0
95,17.867,13447.445,13465.312,0
96,20.142,13459.957,13480.099,0
97,17.009,13430.644,13447.653,0
98,32.628,13606.617,13639.245,0
99,20.438,13454.773,13475.211,0
100,17.433,13410.707,13428.140,0
101,24.636,13475.221,13499.857,0
102,17.758,13413.844,13431.602,0
103,30.401,13598.425,13628.826,0
104,18.787,13434.069,13452.856,0
105,34.471,13569.015,13603.486,0
106,24.425,13472.693,13497.118,0
107,19.116,13411.315,13430.431,0
108,31.983,13547.127,13579.110,0
109,16.177,13478.421,13494.598,0
110,14.259,13436.181,13450.440,0
111,31.319,13511.798,13543.117,0
112,18.073,13429.332,13447.405,0
113,30.140,13539.671,13569.811,0
114,17.918,13433.908,13451.826,0
115,23.745,13456.565,13480.310,0
116,20.388,13443.220,13463.608,0
117,23.046,13416.500,13439.546,0
118,27.113,13556.152,13583.265,0
119,23.276,13448.628,13471.904,0
120,23.471,13486.965,13510.436,0
121,23.857,13435.700,13459.557,0
122,22.548,13431.476,13454.024,0
123,32.663,13530.775,13563.438,0
124,21.465,13436.788,13458.253,0
125,22.652,13419.092,13441.744,0
126,23.615,13425.651,13449.266,0
127,22.209,13410.932,13433.141,0
128,32.292,13540.663,13572.955,0
129,22.087,13436.020,13458.107,0
130,21.065,13437.332,13458.397,0
131,24.332,13434.036,13458.368,0
132,22.575,13411.411,13433.986,0
133,34.450,13526.038,13560.488,0
134,23.220,13448.757,13471.977,0
135,22.551,13414.483,13437.034,0
136,22.521,13428.052,13450.573,0
137,21.980,13450.741,13472.721,0
138,32.735,13499.926,13532.661,0
139,24.194,13453.364,13477.558,0
140,23.396,13398.579,13421.975,0
141,23.495,13446.804,13470.299,0
142,22.858,13426.739,13449.597,0
143,32.012,13535.607,13567.619,0
144,23.567,13489.269,13512.836,0
145,21.874,13411.731,13433.605,0
146,21.908,13426.836,13448.744,0
147,32.535,13499.798,13532.333,0
148,31.514,13541.175,13572.689,0
149,20.060,13453.205,13473.265,0
150,21.279,13413.235,13434.514,0
151,22.082,13438.868,13460.950,0
152,24.228,13449.941,13474.169,0
153,30.695,13499.190,13529.885,0
154,20.458,13418.323,13438.781,0
155,18.540,13409.844,13428.384,0
156,21.071,13415.027,13436.098,0
157,21.810,13442.068,13463.878,0
158,28.117,13507.958,13536.075,0
159,19.735,13423.060,13442.795,0
160,18.106,13408.435,13426.541,0
161,18.332,13425.364,13443.696,0
162,18.367,13443.316,13461.683,0
163,31.938,13532.087,13564.025,0
164,19.204,13430.484,13449.688,0
165,19.079,13379.955,13399.034,0
166,23.466,13711.964,13735.430,0
167,22.156,13459.861,13482.017,0
168,41.936,13675.706,13717.642,0
169,20.914,13475.765,13496.679,0
170,14.708,13408.052,13422.760,0
171,22.615,13428.020,13450.635,0
172,19.642,13404.307,13423.949,0
173,34.173,13582.424,13616.597,0
174,18.943,13439.124,13458.067,0
175,18.338,13397.363,13415.701,0
176,18.884,13440.277,13459.161,0
