token,dur_ns
0,24238483
1,24255573
2,24244147
3,24250548
4,24257012
5,24240596
6,24250932
7,24236083
8,24244468
9,24263604
10,24241556
11,24243796
12,24241876
13,24248371
14,24265237
15,24242707
16,24237268
17,24235892
18,24235411
19,24229139
20,24223220
21,24236019
22,24242164
23,24241460
24,24245363
25,24260085
26,24241107
27,24254324
28,24333078
29,24259669
30,24263796
31,24259700
32,24271348
33,24252788
34,24256501
35,24251988
36,24240947
37,24256020
38,24241140
39,24251732
40,24251444
41,24101424
42,24084272
43,24144913
44,24136721
45,24137937
46,24126225
47,24123024
48,24130865
49,24136433
50,24141905
51,24128529
52,24131729
53,24153137
54,24136593
55,24140978
56,24144049
57,24130801
58,24146769
59,24126129
60,24147921
61,24138193
62,24128433
63,24132945
64,24130737
65,24139377
66,24123952
67,24146034
68,24133904
69,24136497
70,24222452
71,24158769
72,24144689
73,24143826
74,24146001
75,24136849
76,24147569
77,24138993
78,24185395
79,24183826
80,24143697
81,24134769
82,24156754
83,24131281
84,24151313
85,24138737
86,24135793
87,24136145
88,24128785
89,24137809
90,24120785
91,24130320
92,24118257
93,24133553
94,24127057
95,24142513
96,24121233
97,24117584
98,24121713
99,24143249
100,24137969
101,24138833
102,24139473
103,24134769
104,24135921
105,24127121
106,24112688
107,24133489
108,24126097
109,24148593
110,24140017
111,24195635
112,24137777
113,24247892
114,24149297
115,24143730
116,24143153
117,24157393
118,24145714
119,24140657
120,24138449
121,24136753
122,24126449
123,24136145
124,24136657
125,24142769
126,24164146
127,24154321
128,24144626
129,24129009
130,24162033
131,24158194
132,24165330
133,24161553
134,24144146
135,24163761
136,24170770
137,24157266
138,24171218
139,24164914
140,24148497
141,24146929
142,28146873
143,25480020
144,24345111
145,24276852
146,24265749
147,24348758
148,24286197
149,24267381
150,24253364
151,24268724
152,24320086
153,24271828
154,24283925
155,24264245
156,24254772
157,24245428
158,24250228
159,24247604
160,24235283
161,24255061
162,24252084
163,24265588
164,24249268
165,24245044
166,24246004
167,24263348
168,24244276
169,24254964
170,24258324
171,24264565
172,24408344
173,24248116
174,24252372
175,24247316
176,24241908
177,24248468
178,24273620
179,24260597
180,24248404
181,24247188
182,24243443
183,24238740
184,24246356
185,24254612
186,24242644
187,24244148
188,24257876
189,24255732
190,24320950
191,24267189
192,24262964
193,24317718
194,24256340
195,24262004
196,24260757
197,24252596
198,24275956
199,24261749
200,24254676
201,24254644
202,24254612
203,24271125
204,24242452
205,24257300
206,24240852
207,24240980
208,24259476
209,24271541
210,24254452
211,24246932
212,24245300
213,24244883
214,24264053
215,24262324
216,24269013
217,24271668
218,24241652
219,24244628
220,24253300
221,24263125
222,24266740
223,24255476
224,24256917
225,24270708
226,24236564
227,24238484
228,24257716
229,24250772
230,24251604
231,24248660
232,24263540
233,24262741
234,24256308
235,24303669
236,24260885
237,24247092
238,24249556
239,24267732
240,24273749
241,24265908
242,24247445
243,24248500
244,24251028
245,24284117
246,24258740
247,24251156
248,24254900
249,24277557
250,24259252
251,24253588
252,24257781
253,24250868
254,24246484
255,24265108
256,24270517
257,24260084
258,24267765
259,24260724
260,24259796
261,24265909
262,24265172
263,24267925
264,24244244
265,24256372
266,24270229
267,24272148
268,24272437
269,24261524
270,24255573
271,24289077
272,24243092
273,24269268
274,24264085
275,24268500
276,24312566
277,24276149
278,24271444
279,24263381
280,24284405
281,24277493
282,24247092
283,24257876
284,24269076
285,24271253
286,24278005
287,24253428
288,24273589
289,24281333
290,24288405
291,24247060
292,24262356
293,24256725
294,24257844
295,24256468
296,24259924
297,24258644
298,24257748
299,24249108
300,24284501
301,24282389
302,24260821
303,24255732
304,24267028
305,24253749
306,24260084
307,24249172
308,24274165
309,24255924
310,24251124
311,24257652
312,24256213
313,24257236
314,24268885
315,24268468
316,24278677
317,24320438
318,24249364
319,24299541
320,24270869
321,24280949
322,24254804
323,24250964
324,24259605
325,24245620
326,24251316
327,24243700
328,24236468
329,24269588
330,24241492
331,24269653
332,24265332
333,24240756
334,24265525
335,24263476
336,24243316
337,24261941
338,24239988
339,24255732
340,24258740
341,24263957
342,24257428
343,24244916
344,24235828
345,24243604
346,24267540
347,24247764
348,24251253
349,24324982
350,24303925
351,24266997
352,24267476
353,24264885
354,24269684
355,24246677
356,24261940
357,24247764
358,24369719
359,24295222
360,24276212
361,24304150
362,24297013
363,24264245
364,24262548
365,24256277
366,24255508
367,24268053
368,24264820
369,24258996
370,24252437
371,24254836
372,24256948
373,24278997
374,24250836
375,24269301
376,24267829
377,24296501
378,24239508
379,24271765
380,24249556
381,24245716
382,24258420
383,24249588
384,24244596
385,24267093
386,24247476
387,24259476
388,24275637
389,24272021
390,24249844
391,24262325
392,24284565
393,24254484
394,24272533
395,24282165
396,24261044
397,24269973
398,28233851
399,25142699
400,24413337
401,24350615
402,24350326
403,24359607
404,24332567
405,24319542
406,24323382
407,24315030
408,24351254
409,24342231
410,24327254
411,24319094
412,24342999
413,24335510
414,24353751
415,24343543
416,24348406
417,24328375
418,24329526
419,24320054
420,24319606
421,24323958
422,24332022
423,24328278
424,24347415
425,24332311
426,24341334
427,24333718
428,24346135
429,24324982
430,24323318
431,24325686
432,24334103
433,24321974
434,24331830
435,24325366
436,24317238
437,24323702
438,24346071
439,24340663
440,24383959
441,24329142
442,24328727
443,24323766
444,24347127
445,24326966
446,24314198
447,24321686
448,24327606
449,24330262
450,24368343
451,24324695
452,24312341
453,24337239
454,24329782
455,24337399
456,24326678
457,24319382
458,24325558
459,24325974
460,24320918
461,24321462
462,24329143
463,24344822
464,24349367
465,24345911
466,24332502
467,24332246
468,24330455
469,24333846
470,24339159
471,24318582
472,24343830
473,24324214
474,24342391
475,24330646
476,24332791
477,24330006
478,24329814
479,24324950
480,24323159
481,24391447
482,24380344
483,24361815
484,24355543
485,24343927
486,24351383
487,24337686
488,24329206
489,24322775
490,24342902
491,24332311
492,24327926
493,24348695
494,24311381
495,24339831
496,24334614
497,24325783
498,24350550
499,24331767
