cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,25.739,36949.791,36975.530,0
1,66.329,37118.532,37184.861,0
2,80.678,37220.776,37301.454,0
3,31.058,36990.913,37021.971,0
4,47.232,37047.778,37095.010,0
5,57.261,37056.131,37113.392,0
6,73.691,37095.587,37169.278,0
7,32.199,36945.599,36977.798,0
8,47.284,37028.034,37075.318,0
9,57.665,37057.411,37115.076,0
10,73.519,37119.300,37192.819,0
11,25.755,36972.704,36998.459,0
12,44.456,37001.121,37045.577,0
13,48.341,37073.123,37121.464,0
14,67.843,37046.626,37114.469,0
15,32.335,36975.200,37007.535,0
16,44.029,36965.087,37009.116,0
17,52.650,37061.762,37114.412,0
18,66.327,37043.554,37109.881,0
19,32.323,36974.689,37007.012,0
20,33.937,36932.991,36966.928,0
21,48.478,37023.842,37072.320,0
22,62.795,37018.466,37081.261,0
23,35.640,36931.487,36967.127,0
24,33.125,36971.040,37004.165,0
25,46.674,37012.641,37059.315,0
26,67.552,37042.050,37109.602,0
27,35.468,37000.161,37035.629,0
28,32.921,36926.655,36959.576,0
29,51.047,37016.129,37067.176,0
30,72.340,37017.506,37089.846,0
31,30.176,36963.680,36993.856,0
32,31.501,36984.705,37016.206,0
33,63.675,37033.154,37096.829,0
34,48.936,37074.723,37123.659,0
35,37.140,36997.345,37034.485,0
36,28.865,36936.127,36964.992,0
37,67.535,37041.538,37109.073,0
38,66.940,37038.882,37105.822,0
39,27.112,36971.840,36998.952,0
40,29.109,36979.105,37008.214,0
41,59.267,37078.083,37137.350,0
42,52.080,37040.674,37092.754,0
43,35.389,37136.324,37171.713,0
44,35.786,36942.495,36978.281,0
45,65.048,37081.955,37147.003,0
46,51.268,37029.506,37080.774,0
47,35.921,37118.404,37154.325,0
48,29.566,36983.616,37013.182,0
49,50.923,37060.611,37111.534,0
50,68.057,37054.114,37122.171,0
51,40.613,37116.804,37157.417,0
52,39.506,37014.753,37054.259,0
53,63.392,37133.540,37196.932,0
54,76.461,37065.923,37142.384,0
55,33.177,36975.008,37008.185,0
56,40.038,37009.217,37049.255,0
57,68.980,37051.074,37120.054,0
58,69.249,37067.651,37136.900,0
59,33.709,37727.157,37760.866,0
60,42.394,37016.066,37058.460,0
61,65.480,37057.378,37122.858,0
62,73.557,37060.899,37134.456,0
63,34.401,36971.456,37005.857,0
64,31.758,36968.160,36999.918,0
65,62.908,37067.267,37130.175,0
66,50.153,37072.995,37123.148,0
67,29.877,36953.984,36983.861,0
68,38.242,36993.697,37031.939,0
69,67.056,37056.803,37123.859,0
70,68.541,37050.498,37119.039,0
71,30.409,36946.464,36976.873,0
72,38.102,36982.433,37020.535,0
73,65.508,37039.490,37104.998,0
74,63.921,37081.859,37145.780,0
75,29.725,36958.208,36987.933,0
76,34.762,36995.841,37030.603,0
77,57.720,37045.890,37103.610,0
78,65.605,37029.506,37095.111,0
79,28.689,37001.185,37029.874,0
80,31.326,36968.576,36999.902,0
81,56.588,37069.763,37126.351,0
82,69.209,37079.587,37148.796,0
83,31.909,36978.144,37010.053,0
84,22.386,36990.560,37012.946,0
85,55.328,37095.939,37151.267,0
86,66.733,37025.346,37092.079,0
87,27.161,36954.080,36981.241,0
88,30.214,37107.620,37137.834,0
89,62.484,37019.809,37082.293,0
90,49.985,37041.218,37091.203,0
91,27.053,36929.247,36956.300,0
92,30.298,36973.088,37003.386,0
93,68.392,37002.017,37070.409,0
94,65.813,37061.026,37126.839,0
95,28.737,36935.743,36964.480,0
96,33.198,36991.073,37024.271,0
97,67.740,37000.641,37068.381,0
98,49.160,37057.155,37106.315,0
99,35.573,36967.552,37003.125,0
100,35.714,36972.864,37008.578,0
101,62.224,37010.337,37072.561,0
102,50.044,37033.954,37083.998,0
103,32.553,36939.359,36971.912,0
104,34.134,36968.704,37002.838,0
105,66.148,37033.729,37099.877,0
106,51.440,37015.489,37066.929,0
107,33.085,36912.254,36945.339,0
108,39.082,36979.616,37018.698,0
109,65.335,37026.306,37091.641,0
110,49.860,37077.731,37127.591,0
111,32.976,36968.288,37001.264,0
112,36.253,36936.480,36972.733,0
113,60.523,37024.802,37085.325,0
114,75.192,37045.443,37120.635,0
115,31.524,36951.520,36983.044,0
116,40.561,36972.353,37012.914,0
117,35.518,36962.944,36998.462,0
118,70.764,37019.554,37090.318,0
119,35.768,36977.568,37013.336,0
120,37.765,36981.088,37018.853,0
121,37.042,36966.752,37003.794,0
122,98.785,37051.522,37150.307,0
123,35.404,37004.897,37040.301,0
124,37.177,36963.072,37000.249,0
125,29.702,36910.078,36939.780,0
126,46.931,37076.611,37123.542,0
127,28.127,36906.975,36935.102,0
128,38.189,36973.120,37011.309,0
129,31.481,37043.171,37074.652,0
130,46.823,37021.953,37068.776,0
131,28.147,36902.078,36930.225,0
132,35.296,36949.152,36984.448,0
133,21.677,36935.871,36957.548,0
134,43.738,37034.050,37077.788,0
135,26.183,36934.143,36960.326,0
136,41.012,36957.376,36998.388,0
137,24.929,36896.286,36921.215,0
138,47.246,37070.179,37117.425,0
139,28.731,36976.480,37005.211,0
140,33.960,36983.680,37017.640,0
141,30.549,36975.264,37005.813,0
142,72.675,37059.906,37132.581,0
143,28.526,36996.033,37024.559,0
144,34.875,36996.129,37031.004,0
145,28.296,36939.327,36967.623,0
146,75.670,37107.108,37182.778,0
147,31.010,36958.336,36989.346,0
148,38.287,37026.786,37065.073,0
149,76.701,37076.707,37153.408,0
150,67.114,37095.299,37162.413,0
151,26.422,36977.600,37004.022,0
152,43.139,37002.913,37046.052,0
153,55.376,36993.697,37049.073,0
154,76.958,37052.962,37129.920,0
155,33.673,36991.905,37025.578,0
156,42.775,37047.010,37089.785,0
157,64.804,37023.618,37088.422,0
158,80.241,37055.299,37135.540,0
159,33.661,36978.976,37012.637,0
160,42.922,36988.993,37031.915,0
161,38.679,36942.463,36981.142,0
162,64.549,37024.417,37088.966,0
163,40.369,36919.519,36959.888,0
164,52.062,36996.737,37048.799,0
165,45.195,36981.792,37026.987,0
