cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,15.595,20822.497,20838.092,0
1,18.160,21126.537,21144.697,0
2,31.317,21181.867,21213.184,0
3,14.266,21135.625,21149.891,0
4,14.367,21131.529,21145.896,0
5,40.069,21245.356,21285.425,0
6,17.289,21158.986,21176.275,0
7,31.695,21190.187,21221.882,0
8,19.987,21165.483,21185.470,0
9,13.016,21133.322,21146.338,0
10,24.318,21186.795,21211.113,0
11,15.458,21132.970,21148.428,0
12,33.928,21204.363,21238.291,0
13,20.845,21160.618,21181.463,0
14,16.818,21158.890,21175.708,0
15,24.855,21174.218,21199.073,0
16,14.364,21152.938,21167.302,0
17,28.673,21193.131,21221.804,0
18,18.470,21153.866,21172.336,0
19,11.307,21137.865,21149.172,0
20,26.800,21179.243,21206.043,0
21,21.877,21151.306,21173.183,0
22,17.402,21149.002,21166.404,0
23,17.471,21138.506,21155.977,0
24,16.324,21135.273,21151.597,0
25,28.617,21219.948,21248.565,0
26,19.342,21153.450,21172.792,0
27,19.795,21262.861,21282.656,0
28,19.000,21171.115,21190.115,0
29,20.765,21161.195,21181.960,0
30,23.842,21195.564,21219.406,0
31,18.119,21148.394,21166.513,0
32,18.444,21236.557,21255.001,0
33,20.497,21134.186,21154.683,0
34,15.670,21133.770,21149.440,0
35,26.972,21173.738,21200.710,0
36,18.688,21151.690,21170.378,0
37,17.925,21157.067,21174.992,0
38,17.578,21135.274,21152.852,0
39,14.479,21129.674,21144.153,0
40,26.325,21172.522,21198.847,0
41,19.834,21147.817,21167.651,0
42,15.262,21131.850,21147.112,0
43,27.268,21186.795,21214.063,0
44,16.328,21156.971,21173.299,0
45,23.662,21182.443,21206.105,0
46,18.451,21156.522,21174.973,0
47,17.784,21146.697,21164.481,0
48,19.293,21155.978,21175.271,0
49,18.370,21148.169,21166.539,0
50,28.263,21191.979,21220.242,0
51,20.332,21165.098,21185.430,0
52,20.721,21154.474,21175.195,0
53,20.502,21163.434,21183.936,0
54,23.003,21143.369,21166.372,0
55,28.704,21195.211,21223.915,0
56,17.445,21173.290,21190.735,0
57,21.162,21153.898,21175.060,0
58,31.855,21200.491,21232.346,0
59,23.796,21182.379,21206.175,0
60,27.321,21235.788,21263.109,0
61,23.550,21168.170,21191.720,0
62,19.715,21155.882,21175.597,0
63,25.192,21200.267,21225.459,0
64,26.093,21166.666,21192.759,0
65,28.178,21204.235,21232.413,0
66,23.191,21177.962,21201.153,0
67,23.548,21155.914,21179.462,0
68,20.736,21157.067,21177.803,0
69,22.822,21146.537,21169.359,0
70,31.723,21193.003,21224.726,0
71,21.487,21167.723,21189.210,0
72,22.068,21151.114,21173.182,0
73,18.361,21198.444,21216.805,0
74,18.558,21140.426,21158.984,0
75,31.940,21199.851,21231.791,0
76,23.240,21159.339,21182.579,0
77,19.277,21151.114,21170.391,0
78,22.386,21160.747,21183.133,0
79,22.807,21150.986,21173.793,0
80,32.413,21194.219,21226.632,0
81,24.961,21165.355,21190.316,0
82,18.790,21152.778,21171.568,0
83,17.547,21165.866,21183.413,0
84,32.144,21191.372,21223.516,0
85,31.317,21220.588,21251.905,0
86,22.746,21173.675,21196.421,0
87,16.447,21163.018,21179.465,0
88,17.508,21170.122,21187.630,0
89,23.529,21141.706,21165.235,0
90,29.870,21197.195,21227.065,0
91,19.219,21162.698,21181.917,0
92,21.112,21157.130,21178.242,0
93,20.573,21157.034,21177.607,0
94,29.058,21209.356,21238.414,0
95,30.919,21228.396,21259.315,0
