cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,45.735,5543.062,5588.797,0
1,26.753,5442.898,5469.651,0
2,39.707,5590.615,5630.322,0
3,16.981,5432.978,5449.959,0
4,13.487,5377.456,5390.943,0
5,14.697,5364.528,5379.225,0
6,18.211,5365.360,5383.571,0
7,23.517,5385.841,5409.358,0
8,13.111,5346.288,5359.399,0
9,14.769,5494.516,5509.285,0
10,11.947,5344.048,5355.995,0
11,14.309,5355.984,5370.293,0
12,23.263,5383.761,5407.024,0
13,13.913,5357.968,5371.881,0
14,17.555,5355.632,5373.187,0
15,12.941,5364.273,5377.214,0
16,13.223,5341.392,5354.615,0
17,20.642,5386.609,5407.251,0
18,13.467,5351.216,5364.683,0
19,16.790,5386.865,5403.655,0
20,36.336,5472.051,5508.387,0
21,14.218,5413.233,5427.451,0
22,22.084,5402.193,5424.277,0
23,12.222,5348.368,5360.590,0
24,11.160,5330.543,5341.703,0
25,12.178,5323.919,5336.097,0
26,12.044,5353.968,5366.012,0
27,19.622,5371.345,5390.967,0
28,14.816,5345.808,5360.624,0
29,11.962,5304.239,5316.201,0
30,14.356,5321.551,5335.907,0
31,11.758,5308.175,5319.933,0
32,21.064,5351.248,5372.312,0
33,12.386,5340.464,5352.850,0
34,12.668,5333.936,5346.604,0
35,12.342,5314.607,5326.949,0
36,11.696,5319.536,5331.232,0
37,20.139,5340.239,5360.378,0
38,10.788,5328.848,5339.636,0
39,18.303,5337.935,5356.238,0
40,17.305,5323.023,5340.328,0
41,13.843,5322.223,5336.066,0
42,24.813,5433.650,5458.463,0
43,34.535,5504.948,5539.483,0
44,19.617,5415.538,5435.155,0
45,11.387,5360.368,5371.755,0
46,11.445,5354.192,5365.637,0
47,20.143,5367.089,5387.232,0
48,17.481,5360.432,5377.913,0
49,25.315,5391.313,5416.628,0
50,13.213,5340.400,5353.613,0
51,12.247,5368.721,5380.968,0
52,27.986,5448.210,5476.196,0
53,22.956,5385.488,5408.444,0
54,11.685,5352.784,5364.469,0
55,12.127,5320.592,5332.719,0
56,11.961,5298.479,5310.440,0
57,17.940,5329.263,5347.203,0
58,17.358,5322.735,5340.093,0
59,10.760,5324.815,5335.575,0
60,13.634,5322.703,5336.337,0
61,12.892,5315.791,5328.683,0
62,18.486,5324.975,5343.461,0
63,17.264,5345.712,5362.976,0
64,11.082,5280.462,5291.544,0
65,14.884,5320.847,5335.731,0
66,12.286,5288.398,5300.684,0
67,18.840,5308.399,5327.239,0
68,17.650,5312.719,5330.369,0
69,10.956,5303.343,5314.299,0
70,35.207,5463.283,5498.490,0
71,14.560,5374.417,5388.977,0
72,13.594,5351.952,5365.546,0
73,20.213,5344.143,5364.356,0
74,13.806,5328.240,5342.046,0
75,12.584,5323.376,5335.960,0
76,11.874,5317.232,5329.106,0
77,12.605,5301.198,5313.803,0
78,18.871,5319.471,5338.342,0
79,11.857,5279.086,5290.943,0
80,12.651,5291.502,5304.153,0
81,13.861,5290.990,5304.851,0
82,13.631,5283.982,5297.613,0
83,18.361,5332.559,5350.920,0
84,12.819,5300.719,5313.538,0
85,12.717,5285.646,5298.363,0
86,12.167,5294.478,5306.645,0
87,11.553,5291.406,5302.959,0
88,18.843,5319.695,5338.538,0
89,14.613,5334.544,5349.157,0
90,16.943,5299.439,5316.382,0
91,12.553,5311.215,5323.768,0
92,11.811,5315.375,5327.186,0
93,18.270,5336.943,5355.213,0
94,12.279,5305.199,5317.478,0
95,13.810,5333.487,5347.297,0
96,15.436,5323.951,5339.387,0
97,14.022,5301.550,5315.572,0
98,20.768,5311.279,5332.047,0
99,13.050,5306.158,5319.208,0
100,13.428,5296.750,5310.178,0
101,14.126,5287.470,5301.596,0
102,13.224,5299.214,5312.438,0
103,36.035,5432.242,5468.277,0
104,16.860,5353.776,5370.636,0
105,12.470,5336.912,5349.382,0
106,12.400,5313.327,5325.727,0
107,12.074,5293.487,5305.561,0
108,21.348,5331.952,5353.300,0
109,13.054,5303.151,5316.205,0
110,11.640,5299.695,5311.335,0
111,15.762,5298.927,5314.689,0
112,13.804,5305.903,5319.707,0
113,20.103,5323.599,5343.702,0
114,14.337,5298.606,5312.943,0
115,10.810,5276.846,5287.656,0
116,12.757,5287.246,5300.003,0
117,10.927,5290.606,5301.533,0
118,20.649,5315.503,5336.152,0
119,15.491,5315.503,5330.994,0
120,31.261,5408.466,5439.727,0
121,26.423,5388.561,5414.984,0
122,12.081,5337.743,5349.824,0
123,21.547,5357.872,5379.419,0
124,12.453,5334.032,5346.485,0
125,11.999,5316.143,5328.142,0
126,11.705,5322.063,5333.768,0
127,12.499,5307.407,5319.906,0
128,19.341,5347.024,5366.365,0
129,19.207,5321.456,5340.663,0
130,13.441,5297.999,5311.440,0
131,13.499,5306.383,5319.882,0
132,13.525,5288.655,5302.180,0
133,24.560,5404.945,5429.505,0
134,14.410,5341.647,5356.057,0
135,14.244,5316.559,5330.803,0
136,12.446,5318.735,5331.181,0
137,13.112,5304.654,5317.766,0
138,18.866,5354.256,5373.122,0
139,16.492,5313.711,5330.203,0
140,12.614,5291.854,5304.468,0
141,11.424,5286.222,5297.646,0
142,12.602,5281.070,5293.672,0
143,20.884,5328.784,5349.668,0
144,13.742,5314.351,5328.093,0
145,13.256,5295.951,5309.207,0
146,14.338,5341.136,5355.474,0
147,15.036,5309.103,5324.139,0
148,19.190,5335.312,5354.502,0
149,12.560,5313.199,5325.759,0
150,13.066,5302.287,5315.353,0
151,14.340,5295.151,5309.491,0
152,13.823,5278.029,5291.852,0
153,18.873,5325.775,5344.648,0
154,33.171,5405.298,5438.469,0
155,14.765,5357.040,5371.805,0
156,12.423,5326.991,5339.414,0
157,13.089,5315.151,5328.240,0
158,18.331,5321.551,5339.882,0
159,12.501,5302.670,5315.171,0
160,12.303,5300.558,5312.861,0
161,12.777,5323.311,5336.088,0
162,12.003,5304.623,5316.626,0
163,17.053,5315.471,5332.524,0
164,13.239,5318.543,5331.782,0
165,11.889,5290.702,5302.591,0
166,13.899,5289.295,5303.194,0
167,15.461,5302.735,5318.196,0
168,19.551,5336.880,5356.431,0
169,12.249,5290.767,5303.016,0
170,24.628,5461.747,5486.375,0
171,14.190,5359.760,5373.950,0
172,20.232,5356.240,5376.472,0
173,20.354,5367.920,5388.274,0
174,12.060,5324.911,5336.971,0
175,12.278,5311.471,5323.749,0
176,11.600,5296.366,5307.966,0
177,15.178,5289.838,5305.016,0
178,18.020,5325.583,5343.603,0
179,11.166,5325.423,5336.589,0
180,11.896,5287.662,5299.558,0
181,12.050,5291.630,5303.680,0
182,12.300,5318.607,5330.907,0
183,19.430,5329.552,5348.982,0
184,12.576,5283.982,5296.558,0
185,13.274,5296.335,5309.609,0
186,13.748,5310.895,5324.643,0
187,12.494,5289.231,5301.725,0
188,20.105,5321.391,5341.496,0
189,12.322,5298.319,5310.641,0
190,11.900,5283.055,5294.955,0
191,12.086,5285.231,5297.317,0
192,13.425,5296.174,5309.599,0
193,22.379,5324.047,5346.426,0
194,13.125,5310.191,5323.316,0
195,14.975,5281.774,5296.749,0
196,13.177,5298.606,5311.783,0
197,13.011,5325.295,5338.306,0
198,24.973,5346.704,5371.677,0
199,14.055,5326.415,5340.470,0
200,14.465,5309.551,5324.016,0
201,13.019,5284.302,5297.321,0
202,12.917,5281.518,5294.435,0
203,19.375,5325.232,5344.607,0
204,16.489,5311.695,5328.184,0
205,32.612,5382.577,5415.189,0
206,14.525,5344.528,5359.053,0
207,13.271,5331.600,5344.871,0
208,17.682,5343.183,5360.865,0
209,14.091,5314.031,5328.122,0
210,11.621,5310.799,5322.420,0
211,11.520,5295.118,5306.638,0
212,12.666,5291.790,5304.456,0
213,18.036,5317.263,5335.299,0
214,13.134,5323.407,5336.541,0
215,11.048,5297.710,5308.758,0
216,12.450,5318.927,5331.377,0
217,12.476,5311.983,5324.459,0
218,18.102,5341.328,5359.430,0
219,12.688,5306.351,5319.039,0
