cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,19.594,8821.106,8840.700,0
1,17.843,8785.041,8802.884,0
2,25.085,8815.409,8840.494,0
3,13.318,8759.600,8772.918,0
4,11.983,8671.278,8683.261,0
5,17.464,8739.376,8756.840,0
6,11.713,8747.760,8759.473,0
7,15.594,8779.441,8795.035,0
8,9.876,8816.593,8826.469,0
9,10.461,8722.799,8733.260,0
10,14.918,8679.086,8694.004,0
11,10.255,8731.024,8741.279,0
12,13.465,8778.288,8791.753,0
13,26.018,8792.817,8818.835,0
14,14.539,8691.310,8705.849,0
15,21.332,8753.841,8775.173,0
16,12.573,8710.191,8722.764,0
17,16.455,8720.527,8736.982,0
18,15.440,8713.231,8728.671,0
19,12.729,8883.028,8895.757,0
20,50.788,9012.503,9063.291,0
21,20.268,8859.059,8879.327,0
22,20.949,8773.041,8793.990,0
23,12.831,8779.952,8792.783,0
24,10.696,8683.310,8694.006,0
25,16.625,8724.784,8741.409,0
26,10.746,8737.616,8748.362,0
27,23.780,8738.192,8761.972,0
28,10.189,8705.103,8715.292,0
29,16.758,8695.503,8712.261,0
30,15.584,8695.982,8711.566,0
31,10.441,8695.662,8706.103,0
32,15.090,8685.070,8700.160,0
33,9.115,8703.823,8712.938,0
34,10.629,8694.190,8704.819,0
35,16.430,8708.975,8725.405,0
36,9.335,8722.223,8731.558,0
37,14.881,8681.390,8696.271,0
38,36.491,8865.043,8901.534,0
39,23.923,8795.474,8819.397,0
40,21.117,8736.719,8757.836,0
41,11.686,8744.880,8756.566,0
42,17.199,8733.264,8750.463,0
43,13.081,8677.294,8690.375,0
44,9.410,8702.479,8711.889,0
45,16.523,8843.379,8859.902,0
46,20.821,8770.993,8791.814,0
47,17.566,8766.577,8784.143,0
48,10.855,8738.832,8749.687,0
49,10.257,8727.759,8738.016,0
50,15.546,8693.679,8709.225,0
51,11.203,8713.615,8724.818,0
52,15.533,8724.719,8740.252,0
53,13.462,8710.543,8724.005,0
54,11.872,8690.606,8702.478,0
55,14.121,8699.311,8713.432,0
56,9.874,8691.055,8700.929,0
57,14.940,8691.790,8706.730,0
58,13.029,8702.351,8715.380,0
59,8.974,8643.789,8652.763,0
60,16.792,8685.198,8701.990,0
61,12.385,8714.735,8727.120,0
62,14.218,8688.687,8702.905,0
63,9.172,8664.813,8673.985,0
64,35.326,8809.297,8844.623,0
65,22.279,8755.312,8777.591,0
66,18.352,8718.767,8737.119,0
67,17.498,8754.032,8771.530,0
68,15.075,8665.870,8680.945,0
69,12.940,8716.943,8729.883,0
70,15.318,8769.680,8784.998,0
71,14.399,8741.808,8756.207,0
72,17.833,8711.087,8728.920,0
73,10.962,8714.159,8725.121,0
74,9.595,8654.382,8663.977,0
75,15.301,8728.655,8743.956,0
76,9.550,8699.279,8708.829,0
77,14.808,8705.903,8720.711,0
78,10.209,8673.454,8683.663,0
79,9.994,8730.192,8740.186,0
80,17.268,8674.382,8691.650,0
81,9.949,8697.583,8707.532,0
82,16.007,8688.270,8704.277,0
83,9.712,8699.407,8709.119,0
84,9.658,8695.086,8704.744,0
85,21.699,8723.152,8744.851,0
86,9.196,8656.046,8665.242,0
87,15.510,8688.654,8704.164,0
88,10.815,8701.615,8712.430,0
89,33.673,8790.546,8824.219,0
90,21.139,8800.849,8821.988,0
91,14.556,8743.472,8758.028,0
92,18.118,8744.623,8762.741,0
93,16.047,8673.262,8689.309,0
94,10.808,8731.184,8741.992,0
95,15.714,8775.505,8791.219,0
96,15.435,8735.216,8750.651,0
97,16.757,8730.768,8747.525,0
98,10.846,8721.648,8732.494,0
99,10.312,8672.174,8682.486,0
100,15.153,8725.008,8740.161,0
101,9.339,8699.918,8709.257,0
102,15.780,8685.007,8700.787,0
103,8.686,8710.927,8719.613,0
104,13.175,8714.735,8727.910,0
105,16.449,8703.215,8719.664,0
106,9.898,8686.223,8696.121,0
107,14.740,8686.702,8701.442,0
108,10.013,8668.430,8678.443,0
109,9.511,8653.965,8663.476,0
110,16.176,8720.208,8736.384,0
111,10.266,8703.023,8713.289,0
112,15.171,8704.783,8719.954,0
113,8.941,8650.989,8659.930,0
114,10.806,8681.038,8691.844,0
115,36.321,8792.625,8828.946,0
116,13.609,8714.640,8728.249,0
117,26.611,8731.632,8758.243,0
118,15.389,8709.167,8724.556,0
119,10.310,8761.104,8771.414,0
120,14.512,8806.513,8821.025,0
121,13.433,8751.760,8765.193,0
122,18.371,8737.584,8755.955,0
123,9.836,8706.191,8716.027,0
124,10.454,8679.438,8689.892,0
125,19.136,8717.679,8736.815,0
126,10.857,8695.087,8705.944,0
127,10.451,8696.878,8707.329,0
128,10.652,8669.966,8680.618,0
