cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,15.424,4690.136,4705.560,0
1,17.089,4689.944,4707.033,0
2,13.249,4694.808,4708.057,0
3,16.802,4719.544,4736.346,0
4,15.554,4694.040,4709.594,0
5,17.123,4722.488,4739.611,0
6,21.059,4715.513,4736.572,0
7,15.203,4719.545,4734.748,0
8,28.708,4787.835,4816.543,0
9,16.452,4716.889,4733.341,0
10,15.429,4704.152,4719.581,0
11,16.517,4720.793,4737.310,0
12,16.486,4697.784,4714.270,0
13,17.574,4736.954,4754.528,0
14,17.511,4713.720,4731.231,0
15,18.695,4734.266,4752.961,0
16,20.904,4779.354,4800.258,0
17,19.080,4758.426,4777.506,0
18,13.449,4722.521,4735.970,0
19,18.121,4730.425,4748.546,0
20,14.634,4703.032,4717.666,0
21,17.194,4739.993,4757.187,0
22,16.939,4712.696,4729.635,0
23,16.875,4716.793,4733.668,0
24,26.092,4752.761,4778.853,0
25,21.900,4717.241,4739.141,0
26,15.724,4711.129,4726.853,0
27,14.573,4722.361,4736.934,0
28,14.733,4703.129,4717.862,0
29,25.806,4827.868,4853.674,0
30,15.726,4733.850,4749.576,0
31,16.047,4723.609,4739.656,0
32,24.496,4746.681,4771.177,0
33,31.408,4808.091,4839.499,0
34,16.400,4742.106,4758.506,0
35,16.977,4747.001,4763.978,0
36,15.249,4698.745,4713.994,0
37,18.674,4738.073,4756.747,0
38,17.362,4721.017,4738.379,0
39,16.403,4718.937,4735.340,0
40,26.451,4752.218,4778.669,0
41,17.044,4720.121,4737.165,0
42,19.124,4709.049,4728.173,0
43,12.917,4728.569,4741.486,0
44,14.741,4695.000,4709.741,0
45,18.102,4721.625,4739.727,0
46,14.006,4712.217,4726.223,0
47,16.119,4728.217,4744.336,0
48,26.967,4761.786,4788.753,0
49,17.336,4723.993,4741.329,0
50,16.408,4706.521,4722.929,0
51,16.281,4719.832,4736.113,0
52,15.993,4691.128,4707.121,0
53,18.618,4732.217,4750.835,0
54,13.690,4702.232,4715.922,0
55,17.115,4719.928,4737.043,0
56,26.427,4773.947,4800.374,0
57,15.516,4718.328,4733.844,0
58,14.908,4701.112,4716.020,0
59,15.997,4727.001,4742.998,0
60,14.973,4706.457,4721.430,0
61,18.654,4724.825,4743.479,0
62,13.854,4701.592,4715.446,0
63,15.199,4718.392,4733.591,0
64,23.295,4744.634,4767.929,0
65,16.896,4708.344,4725.240,0
66,15.904,4702.072,4717.976,0
67,16.577,4728.089,4744.666,0
68,16.257,4691.416,4707.673,0
69,18.530,4731.161,4749.691,0
70,15.970,4700.825,4716.795,0
71,15.459,4728.473,4743.932,0
72,24.195,4754.778,4778.973,0
73,14.948,4713.112,4728.060,0
74,31.941,4798.842,4830.783,0
75,17.253,4748.633,4765.886,0
76,18.149,4715.897,4734.046,0
77,17.222,4725.625,4742.847,0
78,14.246,4712.761,4727.007,0
79,15.335,4729.817,4745.152,0
80,21.959,4748.154,4770.113,0
81,15.816,4709.656,4725.472,0
82,15.176,4714.937,4730.113,0
83,35.081,4956.543,4991.624,0
84,35.434,4941.118,4976.552,0
85,24.298,4865.245,4889.543,0
86,14.666,4764.346,4779.012,0
87,17.003,4763.450,4780.453,0
88,21.004,4768.922,4789.926,0
89,17.612,4757.690,4775.302,0
90,14.668,4722.681,4737.349,0
91,17.805,4740.761,4758.566,0
92,18.094,4693.496,4711.590,0
93,14.478,4717.465,4731.943,0
94,14.447,4718.936,4733.383,0
95,14.159,4725.081,4739.240,0
96,23.120,4743.225,4766.345,0
97,18.960,4708.473,4727.433,0
98,19.217,4816.667,4835.884,0
99,43.186,4949.887,4993.073,0
100,30.642,4919.614,4950.256,0
101,60.499,5297.064,5357.563,0
102,71.252,5312.680,5383.932,0
103,45.780,5140.932,5186.712,0
104,46.645,5016.544,5063.189,0
105,50.997,5155.524,5206.521,0
106,68.406,5302.632,5371.038,0
107,52.566,5146.852,5199.418,0
108,21.654,4801.115,4822.769,0
109,19.351,4810.235,4829.586,0
110,19.319,4759.066,4778.385,0
111,17.848,4767.802,4785.650,0
112,22.232,4784.603,4806.835,0
113,21.913,4743.289,4765.202,0
114,23.097,4729.786,4752.883,0
115,21.274,4773.274,4794.548,0
116,20.826,4735.930,4756.756,0
117,17.787,4755.738,4773.525,0
118,19.643,4741.658,4761.301,0
