cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,12.160,6537.896,6550.056,0
1,13.250,6541.287,6554.537,0
2,11.843,6538.823,6550.666,0
3,11.236,6541.736,6552.972,0
4,11.238,6534.663,6545.901,0
5,11.815,6538.887,6550.702,0
6,13.864,6540.648,6554.512,0
7,12.714,6542.695,6555.409,0
8,11.243,6542.280,6553.523,0
9,11.404,6545.512,6556.916,0
10,11.982,6541.799,6553.781,0
11,13.007,6535.880,6548.887,0
12,13.232,6534.728,6547.960,0
13,16.210,6542.631,6558.841,0
14,13.971,6538.152,6552.123,0
15,14.229,6537.287,6551.516,0
16,11.606,6538.791,6550.397,0
17,13.783,6538.952,6552.735,0
18,16.409,6548.935,6565.344,0
19,12.506,6538.503,6551.009,0
20,13.531,6540.200,6553.731,0
21,19.261,6559.560,6578.821,0
22,18.238,6557.480,6575.718,0
23,10.111,6547.080,6557.191,0
24,12.289,6541.639,6553.928,0
25,9.890,6544.008,6553.898,0
26,12.547,6541.832,6554.379,0
27,13.413,6539.111,6552.524,0
28,13.702,6540.072,6553.774,0
29,25.672,6583.144,6608.816,0
30,12.873,6559.016,6571.889,0
31,9.642,6545.640,6555.282,0
32,10.700,6551.463,6562.163,0
33,10.381,6542.183,6552.564,0
34,13.742,6543.432,6557.174,0
35,13.776,6540.167,6553.943,0
36,17.169,6549.384,6566.553,0
37,11.346,6545.640,6556.986,0
38,13.620,6544.039,6557.659,0
39,13.013,6539.464,6552.477,0
40,10.966,6540.552,6551.518,0
41,11.448,6541.799,6553.247,0
42,14.457,6552.392,6566.849,0
43,12.635,6544.391,6557.026,0
44,13.724,6539.496,6553.220,0
45,21.630,6586.824,6608.454,0
46,13.279,6554.888,6568.167,0
47,10.144,6550.536,6560.680,0
48,11.873,6546.792,6558.665,0
49,12.899,6551.016,6563.915,0
50,14.084,6553.064,6567.148,0
51,14.086,6543.527,6557.613,0
52,12.359,6538.983,6551.342,0
53,12.712,6544.392,6557.104,0
54,18.122,6545.896,6564.018,0
55,10.763,6537.991,6548.754,0
56,12.589,6543.175,6555.764,0
57,13.134,6536.263,6549.397,0
58,11.759,6543.752,6555.511,0
59,13.393,6538.279,6551.672,0
60,11.762,6547.368,6559.130,0
61,11.827,6557.480,6569.307,0
62,17.909,6579.112,6597.021,0
63,10.774,6554.152,6564.926,0
64,13.880,6550.919,6564.799,0
65,16.665,6545.256,6561.921,0
66,11.258,6547.368,6558.626,0
67,9.788,6542.823,6552.611,0
68,11.805,6547.560,6559.365,0
69,11.518,6534.856,6546.374,0
70,27.616,6581.449,6609.065,0
71,11.841,6549.928,6561.769,0
72,13.091,6547.367,6560.458,0
73,12.740,6553.960,6566.700,0
74,12.677,6549.448,6562.125,0
75,12.071,6544.871,6556.942,0
76,14.184,6541.416,6555.600,0
77,14.633,6547.144,6561.777,0
78,25.579,6580.585,6606.164,0
79,13.836,6553.672,6567.508,0
80,12.558,6542.375,6554.933,0
81,13.391,6542.504,6555.895,0
82,12.496,6542.152,6554.648,0
83,14.130,6540.295,6554.425,0
84,12.307,6543.656,6555.963,0
85,13.269,6542.983,6556.252,0
86,23.798,6584.169,6607.967,0
87,9.815,6557.608,6567.423,0
88,11.385,6557.384,6568.769,0
89,12.794,6546.312,6559.106,0
90,12.091,6547.592,6559.683,0
91,14.237,6545.480,6559.717,0
92,14.878,6541.704,6556.582,0
93,14.592,6533.671,6548.263,0
94,21.665,6576.713,6598.378,0
95,12.706,6552.520,6565.226,0
96,14.916,6550.664,6565.580,0
97,14.309,6543.272,6557.581,0
98,13.351,6543.815,6557.166,0
99,9.512,6537.991,6547.503,0
100,13.897,6541.288,6555.185,0
101,12.299,6539.175,6551.474,0
102,21.420,6608.746,6630.166,0
103,18.958,6580.360,6599.318,0
104,12.655,6558.280,6570.935,0
105,13.520,6556.232,6569.752,0
106,12.498,6556.136,6568.634,0
107,13.843,6545.288,6559.131,0
108,12.501,6546.471,6558.972,0
109,10.646,6543.656,6554.302,0
110,10.711,6540.040,6550.751,0
111,12.921,6532.583,6545.504,0
112,13.722,6533.736,6547.458,0
113,12.700,6540.103,6552.803,0
114,15.837,6540.968,6556.805,0
115,11.678,6540.040,6551.718,0
116,12.192,6543.847,6556.039,0
117,12.417,6542.376,6554.793,0
118,18.883,6546.215,6565.098,0
119,13.892,6539.175,6553.067,0
120,13.733,6540.776,6554.509,0
121,12.839,6536.103,6548.942,0
122,12.840,6547.016,6559.856,0
123,13.098,6541.319,6554.417,0
124,13.035,6534.439,6547.474,0
125,11.916,6531.016,6542.932,0
126,15.214,6537.959,6553.173,0
127,24.272,6592.296,6616.568,0
128,14.481,6566.696,6581.177,0
129,12.882,6561.800,6574.682,0
130,13.300,6544.743,6558.043,0
131,11.253,6544.039,6555.292,0
132,12.822,6541.160,6553.982,0
133,9.624,6550.951,6560.575,0
134,14.521,6548.456,6562.977,0
135,12.315,6539.175,6551.490,0
136,14.716,6540.456,6555.172,0
137,12.893,6540.744,6553.637,0
138,11.775,6534.855,6546.630,0
139,11.648,6540.936,6552.584,0
140,11.074,6534.343,6545.417,0
141,13.859,6537.543,6551.402,0
142,12.580,6537.480,6550.060,0
143,11.494,6555.368,6566.862,0
144,13.063,6546.280,6559.343,0
145,13.097,6543.239,6556.336,0
146,12.938,6538.568,6551.506,0
147,12.812,6536.423,6549.235,0
148,13.325,6543.976,6557.301,0
149,13.358,6542.440,6555.798,0
150,17.296,6549.576,6566.872,0
151,12.753,6536.456,6549.209,0
152,12.627,6542.727,6555.354,0
153,11.636,6537.383,6549.019,0
154,11.925,6540.360,6552.285,0
155,11.127,6537.191,6548.318,0
156,12.312,6536.968,6549.280,0
157,13.690,6537.703,6551.393,0
158,13.243,6546.888,6560.131,0
159,10.460,6542.824,6553.284,0
160,10.718,6542.343,6553.061,0
161,11.327,6541.704,6553.031,0
162,11.809,6546.567,6558.376,0
163,11.714,6542.056,6553.770,0
164,11.396,6538.759,6550.155,0
165,14.245,6547.368,6561.613,0
166,16.647,6548.679,6565.326,0
167,13.192,6541.864,6555.056,0
168,14.377,6545.352,6559.729,0
169,14.219,6539.815,6554.034,0
170,12.140,6540.840,6552.980,0
171,12.494,6544.263,6556.757,0
172,14.255,6541.992,6556.247,0
173,15.409,6547.207,6562.616,0
174,12.818,6537.703,6550.521,0
175,13.843,6537.160,6551.003,0
176,10.581,6543.047,6553.628,0
177,14.326,6536.040,6550.366,0
178,12.792,6540.679,6553.471,0
179,13.369,6536.520,6549.889,0
180,12.155,6537.543,6549.698,0
181,12.252,6538.183,6550.435,0
182,16.926,6546.375,6563.301,0
183,27.007,6603.913,6630.920,0
184,19.552,6583.849,6603.401,0
185,20.930,6564.232,6585.162,0
186,18.723,6563.656,6582.379,0
187,12.197,6550.375,6562.572,0
188,12.294,6538.311,6550.605,0
189,11.943,6539.816,6551.759,0
190,18.921,6548.936,6567.857,0
191,16.682,6540.392,6557.074,0
192,13.580,6538.791,6552.371,0
193,14.733,6536.808,6551.541,0
194,15.119,6547.271,6562.390,0
195,10.864,6544.552,6555.416,0
196,13.490,6547.015,6560.505,0
197,13.523,6536.583,6550.106,0
198,13.908,6549.160,6563.068,0
199,13.046,6539.463,6552.509,0
200,12.343,6538.952,6551.295,0
201,13.369,6538.471,6551.840,0
202,12.762,6538.568,6551.330,0
203,13.020,6543.879,6556.899,0
204,13.469,6539.976,6553.445,0
205,13.023,6533.031,6546.054,0
206,14.944,6536.039,6550.983,0
207,11.457,6534.536,6545.993,0
208,14.979,6538.535,6553.514,0
209,31.781,6613.033,6644.814,0
210,16.998,6564.840,6581.838,0
211,12.775,6552.584,6565.359,0
212,12.457,6543.207,6555.664,0
213,13.834,6542.120,6555.954,0
214,19.116,6550.407,6569.523,0
215,10.829,6544.168,6554.997,0
216,13.486,6539.496,6552.982,0
217,14.128,6541.479,6555.607,0
218,11.121,6535.816,6546.937,0
219,9.619,6542.311,6551.930,0
220,13.556,6542.952,6556.508,0
221,15.734,6541.831,6557.565,0
222,19.447,6545.800,6565.247,0
223,12.985,6542.279,6555.264,0
224,13.242,6541.896,6555.138,0
225,11.739,6538.216,6549.955,0
226,12.093,6538.887,6550.980,0
227,12.734,6538.856,6551.590,0
228,13.792,6537.351,6551.143,0
229,22.306,6564.456,6586.762,0
230,17.283,6572.264,6589.547,0
231,12.676,6565.992,6578.668,0
232,12.070,6553.096,6565.166,0
233,18.343,6563.144,6581.487,0
234,13.129,6548.263,6561.392,0
235,14.954,6550.408,6565.362,0
236,12.748,6549.095,6561.843,0
237,13.325,6558.536,6571.861,0
238,12.718,6551.816,6564.534,0
239,17.232,6558.536,6575.768,0
240,17.009,6568.393,6585.402,0
241,12.979,6551.912,6564.891,0
242,13.716,6547.720,6561.436,0
243,14.486,6552.424,6566.910,0
244,24.919,6593.161,6618.080,0
245,11.257,6559.240,6570.497,0
246,16.570,6556.488,6573.058,0
247,10.107,6543.528,6553.635,0
248,13.277,6552.296,6565.573,0
249,15.519,6544.679,6560.198,0
250,13.408,6551.944,6565.352,0
251,16.993,6550.472,6567.465,0
252,12.195,6546.952,6559.147,0
253,12.356,6549.032,6561.388,0
254,12.486,6553.064,6565.550,0
255,13.895,6548.840,6562.735,0
256,14.057,6546.279,6560.336,0
257,13.802,6541.992,6555.794,0
258,13.580,6543.303,6556.883,0
259,11.309,6543.784,6555.093,0
260,11.567,6541.991,6553.558,0
261,13.680,6549.192,6562.872,0
262,15.442,6545.479,6560.921,0
263,14.355,6552.296,6566.651,0
264,12.564,6553.736,6566.300,0
265,12.726,6547.432,6560.158,0
266,10.615,6545.800,6556.415,0
267,10.009,6545.735,6555.744,0
268,11.738,6540.296,6552.034,0
269,11.964,6542.215,6554.179,0
270,11.901,6542.280,6554.181,0
271,13.407,6541.095,6554.502,0
272,16.128,6542.920,6559.048,0
273,13.410,6538.983,6552.393,0
274,13.603,6555.400,6569.003,0
275,11.621,6544.967,6556.588,0
276,11.750,6544.232,6555.982,0
277,12.072,6537.287,6549.359,0
278,18.153,6553.448,6571.601,0
279,14.731,6544.167,6558.898,0
280,13.740,6928.177,6941.917,0
281,32.974,6794.094,6827.068,0
282,17.519,6618.218,6635.737,0
283,14.000,6573.641,6587.641,0
284,15.538,6552.904,6568.442,0
285,15.443,6545.448,6560.891,0
286,13.557,6541.415,6554.972,0
287,12.310,6544.040,6556.350,0
288,10.008,6536.935,6546.943,0
289,11.129,6541.416,6552.545,0
290,11.323,6541.191,6552.514,0
291,12.860,6541.320,6554.180,0
292,14.494,6538.535,6553.029,0
293,12.031,6537.480,6549.511,0
294,14.433,6538.119,6552.552,0
295,12.642,6537.064,6549.706,0
296,13.284,6537.959,6551.243,0
297,12.677,6535.688,6548.365,0
298,12.903,6536.199,6549.102,0
299,11.944,6538.536,6550.480,0
300,12.810,6542.631,6555.441,0
301,12.299,6531.911,6544.210,0
302,10.349,6534.983,6545.332,0
303,10.094,6536.135,6546.229,0
304,12.112,6544.583,6556.695,0
305,11.473,6535.591,6547.064,0
306,13.523,6538.055,6551.578,0
307,10.484,6536.103,6546.587,0
308,15.286,6540.039,6555.325,0
309,10.935,6537.191,6548.126,0
310,13.817,6539.527,6553.344,0
311,15.386,6540.200,6555.586,0
312,14.748,6540.071,6554.819,0
313,13.853,6540.008,6553.861,0
314,11.294,6534.856,6546.150,0
315,11.712,6554.056,6565.768,0
316,11.393,6547.816,6559.209,0
317,13.475,6539.688,6553.163,0
318,11.492,6538.408,6549.900,0
319,11.494,6540.071,6551.565,0
320,12.039,6540.072,6552.111,0
321,14.153,6545.224,6559.377,0
322,11.946,6539.080,6551.026,0
323,10.028,6536.839,6546.867,0
324,13.101,6541.576,6554.677,0
325,13.679,6540.648,6554.327,0
326,16.017,6539.079,6555.096,0
327,16.946,6540.008,6556.954,0
328,16.724,6547.399,6564.123,0
329,12.597,6542.568,6555.165,0
330,12.598,6542.408,6555.006,0
331,10.808,6543.655,6554.463,0
332,10.201,6543.496,6553.697,0
333,13.531,6539.559,6553.090,0
334,11.644,6538.696,6550.340,0
335,15.518,6536.807,6552.325,0
336,17.248,6542.375,6559.623,0
337,14.529,6534.695,6549.224,0
338,14.723,6539.143,6553.866,0
339,10.340,6540.199,6550.539,0
340,12.901,6550.088,6562.989,0
341,13.223,6545.704,6558.927,0
342,17.833,6543.271,6561.104,0
343,21.898,6558.344,6580.242,0
344,13.772,6545.223,6558.995,0
345,13.581,6545.352,6558.933,0
346,13.391,6543.239,6556.630,0
347,16.112,6542.920,6559.032,0
348,14.386,6535.623,6550.009,0
349,14.707,6537.032,6551.739,0
350,13.973,6535.943,6549.916,0
351,13.846,6536.296,6550.142,0
352,13.784,6537.383,6551.167,0
353,15.097,6535.688,6550.785,0
354,13.499,6539.431,6552.930,0
355,15.004,6539.624,6554.628,0
356,13.822,6535.047,6548.869,0
