token,dur_ns
0,27892299
1,27893642
2,27857642
3,27855593
4,27878794
5,27883658
6,27887563
7,27888522
8,27897546
9,27889227
10,27899530
11,27875018
12,27871754
13,27887306
14,27940364
15,27867210
16,27872650
17,27887338
18,27890890
19,27878570
20,27865994
21,27883114
22,27857418
23,27877130
24,27883498
25,27873706
26,27861674
27,27859849
28,27876042
29,27853994
30,27850281
31,27879882
32,27885514
33,27924012
34,27894826
35,27919403
36,27884394
37,27881130
38,27873674
39,27901995
40,27911883
41,27893450
42,27879530
43,27894699
44,27838697
45,27896586
46,27873386
47,27873546
48,27902443
49,27879754
50,27879114
51,27886698
52,27888619
53,27870442
54,27860873
55,27851370
56,27878026
57,27867593
58,27917483
59,27892555
60,27868074
61,27858505
62,27863946
63,27865130
64,27875498
65,27871465
66,27849418
67,27865257
68,27918348
69,27913579
70,27863273
71,27892587
72,27890602
73,27880746
74,27900459
75,27892586
76,27889994
77,27842122
78,27877834
79,27885002
80,27863594
81,27856681
82,27867114
83,27865770
84,27848841
85,27868266
86,27883082
87,27878634
88,27865610
89,27860777
90,27868810
91,27865610
92,27897354
93,27867850
94,27875626
95,27855594
96,27873897
97,27863370
98,27872426
99,27884202
100,27868074
101,27859146
102,27870473
103,27874890
104,27894699
105,27935371
106,27904235
107,27888810
108,27845738
109,27846921
110,27846153
111,27865162
112,27876138
113,27858857
114,27855306
115,27866506
116,27864585
117,27866314
118,27847721
119,27849386
120,27843881
121,27863113
122,27863818
123,27854634
124,27868201
125,27888971
126,27869930
127,27911850
128,27899275
129,27886154
130,27901291
131,27944908
132,27926539
133,27916075
134,27923147
135,27910155
136,27888970
137,27912363
138,27963981
139,27926539
140,27931051
141,27937868
142,32265530
143,29644344
144,28138928
145,28048879
146,28049838
147,28028814
148,28027630
149,28039086
150,28022126
151,28021742
152,28009869
153,28033966
154,28028590
155,28030126
156,28025454
157,28024494
158,28047566
159,28016462
160,28015149
161,28031886
162,28009902
163,28005101
164,27998349
165,28006637
166,28016302
167,28003597
168,28021934
169,28042382
170,28041550
171,28027598
172,28009166
173,28036078
174,27998925
175,27960108
176,27969964
177,27961069
178,27995149
179,27940523
180,27945580
181,27948108
182,27935563
183,27930636
184,27955532
185,27939980
186,27953003
187,27963597
188,27945771
189,27937164
190,27956076
191,27946892
192,27932683
193,27944748
194,27954188
195,27981453
196,27922635
197,27941580
198,27954412
199,27942411
200,27942540
201,27940044
202,27923243
203,27951884
204,27936491
205,27945804
206,27937868
207,27941291
208,27958861
209,27929291
210,27950316
211,27967564
212,27968973
213,27966956
214,27964428
215,27949580
216,27973612
217,27944908
218,27942508
219,27924235
220,27955468
221,27962124
222,27952716
223,27950028
224,27964877
225,27979820
226,27973869
227,27994317
