cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,14.434,32126.401,32140.835,0
1,21.035,32797.234,32818.269,0
2,20.308,32804.594,32824.902,0
3,10.525,32770.865,32781.390,0
4,13.797,32862.516,32876.313,0
5,28.495,32841.043,32869.538,0
6,18.999,32801.778,32820.777,0
7,17.728,32803.858,32821.586,0
8,39.401,33071.417,33110.818,0
9,20.530,32867.635,32888.165,0
10,14.458,32816.211,32830.669,0
11,29.027,32807.859,32836.886,0
12,19.180,32758.673,32777.853,0
13,16.085,32807.410,32823.495,0
14,27.006,32823.794,32850.800,0
15,20.326,32778.322,32798.648,0
16,19.151,32780.977,32800.128,0
17,26.936,32788.818,32815.754,0
18,22.304,32767.730,32790.034,0
19,20.265,32792.082,32812.347,0
20,25.106,32802.866,32827.972,0
21,19.898,32831.475,32851.373,0
22,19.491,32770.737,32790.228,0
23,28.044,32784.466,32812.510,0
24,21.781,32759.728,32781.509,0
25,14.045,32796.114,32810.159,0
26,23.142,32808.786,32831.928,0
27,20.142,32742.225,32762.367,0
28,18.935,32782.514,32801.449,0
29,20.672,32877.716,32898.388,0
30,21.672,32759.313,32780.985,0
31,13.713,32807.282,32820.995,0
32,20.954,32773.137,32794.091,0
33,23.042,32756.081,32779.123,0
34,18.251,32772.913,32791.164,0
35,20.627,32794.642,32815.269,0
36,18.652,32755.409,32774.061,0
37,13.508,32803.282,32816.790,0
38,18.541,32795.666,32814.207,0
39,17.749,32765.393,32783.142,0
40,21.758,32795.250,32817.008,0
41,23.655,32805.266,32828.921,0
42,21.743,32744.177,32765.920,0
43,18.935,32797.330,32816.265,0
44,25.664,32798.674,32824.338,0
45,21.704,32763.953,32785.657,0
46,20.369,32845.715,32866.084,0
47,23.673,32754.321,32777.994,0
48,18.754,32776.561,32795.315,0
49,14.410,32785.298,32799.708,0
50,24.563,32816.882,32841.445,0
51,21.531,32770.737,32792.268,0
52,20.484,32810.226,32830.710,0
53,27.020,32771.121,32798.141,0
54,21.652,32788.498,32810.150,0
55,21.341,32741.680,32763.021,0
56,25.221,32787.442,32812.663,0
57,20.494,32811.890,32832.384,0
58,21.782,32790.066,32811.848,0
59,25.823,32780.785,32806.608,0
60,19.207,32727.568,32746.775,0
61,19.759,32808.786,32828.545,0
62,25.272,32774.609,32799.881,0
63,22.976,32756.657,32779.633,0
64,18.952,32765.681,32784.633,0
65,26.609,32791.345,32817.954,0
66,22.009,32732.848,32754.857,0
67,22.849,32789.106,32811.955,0
68,24.073,32797.330,32821.403,0
69,20.498,32832.146,32852.644,0
70,20.026,32773.137,32793.163,0
71,27.650,32791.026,32818.676,0
72,20.810,32759.153,32779.963,0
73,21.587,32797.810,32819.397,0
74,25.307,32801.714,32827.021,0
75,21.475,32784.146,32805.621,0
76,20.971,32804.530,32825.501,0
77,22.964,32800.914,32823.878,0
78,13.628,32765.361,32778.989,0
79,16.644,32782.481,32799.125,0
