cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,12.648,6639.988,6652.636,0
1,13.314,6639.187,6652.501,0
2,14.459,6632.084,6646.543,0
3,15.285,6635.923,6651.208,0
4,12.846,6629.395,6642.241,0
5,15.175,6642.644,6657.819,0
6,13.217,6631.635,6644.852,0
7,13.594,6626.324,6639.918,0
8,15.604,6641.267,6656.871,0
9,14.285,6631.315,6645.600,0
10,13.862,6629.076,6642.938,0
11,14.527,6624.212,6638.739,0
12,13.305,6632.883,6646.188,0
13,15.186,6637.556,6652.742,0
14,13.003,6634.420,6647.423,0
15,11.556,6652.661,6664.217,0
16,15.454,6642.964,6658.418,0
17,14.839,6630.932,6645.771,0
18,11.856,6625.747,6637.603,0
19,13.993,6633.204,6647.197,0
20,14.082,6624.980,6639.062,0
21,18.076,6644.564,6662.640,0
22,10.869,6628.947,6639.816,0
23,12.878,6638.196,6651.074,0
24,14.695,6644.084,6658.779,0
25,14.176,6639.860,6654.036,0
26,12.441,6628.308,6640.749,0
27,14.226,6627.796,6642.022,0
28,12.075,6624.212,6636.287,0
29,16.228,6641.716,6657.944,0
30,13.309,6629.300,6642.609,0
31,13.334,6633.300,6646.634,0
32,15.407,6647.220,6662.627,0
33,11.656,6634.068,6645.724,0
34,9.217,6643.764,6652.981,0
35,12.474,6631.924,6644.398,0
36,13.139,6636.596,6649.735,0
37,15.372,6637.748,6653.120,0
38,13.029,6634.995,6648.024,0
39,14.878,6628.275,6643.153,0
40,18.807,6655.060,6673.867,0
41,12.719,6630.996,6643.715,0
42,13.224,6635.444,6648.668,0
43,13.697,6624.339,6638.036,0
44,11.930,6625.971,6637.901,0
45,14.930,6644.244,6659.174,0
46,12.043,6628.596,6640.639,0
47,11.972,6631.924,6643.896,0
48,16.573,6640.660,6657.233,0
49,12.949,6626.932,6639.881,0
50,11.054,6632.340,6643.394,0
51,12.871,6634.099,6646.970,0
52,13.951,6631.348,6645.299,0
53,14.744,6638.772,6653.516,0
54,15.729,6627.443,6643.172,0
55,11.657,6624.884,6636.541,0
56,15.586,6644.692,6660.278,0
57,14.171,6630.995,6645.166,0
58,11.091,6628.083,6639.174,0
59,12.300,6628.563,6640.863,0
60,11.556,6624.179,6635.735,0
