cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,13.218,4206.477,4219.695,0
1,23.502,4295.887,4319.389,0
2,11.417,4224.814,4236.231,0
3,14.469,4211.917,4226.386,0
4,19.057,4245.614,4264.671,0
5,18.556,4238.126,4256.682,0
6,16.104,4220.205,4236.309,0
7,25.556,4286.575,4312.131,0
8,16.671,4232.302,4248.973,0
9,18.667,4240.142,4258.809,0
10,11.062,4221.678,4232.740,0
11,13.090,4213.037,4226.127,0
12,20.462,4246.638,4267.100,0
13,13.306,4219.565,4232.871,0
14,14.181,4211.693,4225.874,0
15,14.641,4227.822,4242.463,0
16,15.709,4229.101,4244.810,0
17,19.784,4224.622,4244.406,0
18,13.076,4215.693,4228.769,0
19,13.919,4216.046,4229.965,0
20,19.083,4251.599,4270.682,0
21,17.815,4241.230,4259.045,0
22,16.290,4221.262,4237.552,0
23,16.398,4219.150,4235.548,0
24,14.266,4221.869,4236.135,0
25,17.573,4235.822,4253.395,0
26,13.585,4227.566,4241.151,0
27,14.685,4226.189,4240.874,0
28,17.864,4233.070,4250.934,0
29,12.692,4225.709,4238.401,0
30,14.495,4212.302,4226.797,0
31,13.739,4222.414,4236.153,0
32,14.551,4215.437,4229.988,0
33,19.554,4225.454,4245.008,0
34,13.454,4223.758,4237.212,0
35,13.626,4207.373,4220.999,0
36,19.109,4253.359,4272.468,0
37,20.401,4240.526,4260.927,0
38,14.748,4229.198,4243.946,0
39,14.312,4223.310,4237.622,0
40,13.812,4219.853,4233.665,0
41,16.255,4230.638,4246.893,0
42,13.387,4218.093,4231.480,0
43,15.798,4204.174,4219.972,0
44,19.490,4236.302,4255.792,0
45,20.334,4285.999,4306.333,0
46,14.617,4228.974,4243.591,0
47,15.941,4216.589,4232.530,0
48,24.465,4282.031,4306.496,0
49,19.036,4245.838,4264.874,0
50,12.359,4228.750,4241.109,0
51,13.811,4221.422,4235.233,0
52,18.623,4250.094,4268.717,0
53,15.146,4233.198,4248.344,0
54,14.070,4224.493,4238.563,0
55,13.121,4211.662,4224.783,0
56,14.349,4210.125,4224.474,0
57,19.257,4226.253,4245.510,0
58,10.212,4211.149,4221.361,0
59,13.808,4222.637,4236.445,0
60,20.603,4246.350,4266.953,0
61,12.935,4221.709,4234.644,0
62,14.898,4214.542,4229.440,0
63,13.374,4215.661,4229.035,0
64,20.522,4268.846,4289.368,0
65,19.093,4247.822,4266.915,0
66,11.584,4227.982,4239.566,0
67,14.924,4224.174,4239.098,0
68,18.296,4245.902,4264.198,0
69,18.883,4234.734,4253.617,0
70,14.351,4219.405,4233.756,0
71,14.586,4231.502,4246.088,0
72,16.166,4221.453,4237.619,0
73,21.425,4236.910,4258.335,0
74,12.797,4220.141,4232.938,0
75,12.616,4222.606,4235.222,0
76,16.980,4236.878,4253.858,0
77,12.511,4219.150,4231.661,0
78,14.347,4214.701,4229.048,0
79,14.454,4212.846,4227.300,0
80,13.506,4211.597,4225.103,0
81,18.157,4230.798,4248.955,0
82,13.657,4230.894,4244.551,0
83,14.596,4225.902,4240.498,0
84,19.280,4242.094,4261.374,0
85,18.459,4237.358,4255.817,0
86,13.575,4213.645,4227.220,0
87,13.490,4215.086,4228.576,0
88,15.614,4210.189,4225.803,0
89,16.489,4236.494,4252.983,0
90,16.149,4236.782,4252.931,0
91,13.792,4220.654,4234.446,0
92,17.868,4246.158,4264.026,0
93,15.191,4213.998,4229.189,0
94,15.203,4214.925,4230.128,0
95,13.134,4212.461,4225.595,0
96,14.714,4211.469,4226.183,0
97,16.837,4224.654,4241.491,0
98,14.481,4228.813,4243.294,0
99,13.852,4221.198,4235.050,0
100,20.456,4243.726,4264.182,0
101,17.171,4242.606,4259.777,0
