cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,13.313,46021.915,46035.228,0
1,14.727,46583.370,46598.097,0
2,24.270,46633.066,46657.336,0
3,21.588,46633.578,46655.166,0
4,14.810,46581.737,46596.547,0
5,16.640,46614.122,46630.762,0
6,18.215,46634.410,46652.625,0
7,17.453,46599.465,46616.918,0
8,20.787,46644.299,46665.086,0
9,17.529,46627.691,46645.220,0
10,16.511,46656.044,46672.555,0
11,20.198,46612.298,46632.496,0
12,16.716,46612.234,46628.950,0
13,17.202,46563.049,46580.251,0
14,24.057,46653.131,46677.188,0
15,19.615,46617.482,46637.097,0
16,15.877,46599.178,46615.055,0
17,23.083,46649.196,46672.279,0
18,19.762,46555.560,46575.322,0
19,17.176,46611.914,46629.090,0
20,21.726,46616.298,46638.024,0
21,18.340,46679.148,46697.488,0
22,17.323,46606.922,46624.245,0
23,18.641,46611.274,46629.915,0
24,22.775,46633.387,46656.162,0
25,17.630,46609.578,46627.208,0
26,21.060,46626.634,46647.694,0
27,15.594,46598.410,46614.004,0
28,16.336,46568.329,46584.665,0
29,18.039,46603.722,46621.761,0
30,16.317,46620.074,46636.391,0
31,17.347,46619.275,46636.622,0
32,18.954,46642.411,46661.365,0
33,17.104,46607.562,46624.666,0
34,17.718,46569.289,46587.007,0
35,18.237,46658.251,46676.488,0
36,17.795,46596.266,46614.061,0
37,18.601,46562.857,46581.458,0
38,20.080,46564.264,46584.344,0
39,20.918,46597.802,46618.720,0
40,15.516,46592.234,46607.750,0
41,15.586,46580.330,46595.916,0
42,17.225,46610.442,46627.667,0
43,18.447,46608.778,46627.225,0
44,19.477,46573.578,46593.055,0
45,21.916,46672.683,46694.599,0
46,17.794,46581.897,46599.691,0
47,16.008,46593.514,46609.522,0
48,15.279,46588.745,46604.024,0
49,16.085,46650.475,46666.560,0
50,23.803,46619.467,46643.270,0
51,32.962,46694.892,46727.854,0
52,17.864,46588.841,46606.705,0
53,20.302,46622.059,46642.361,0
54,20.853,46592.233,46613.086,0
55,18.107,46606.666,46624.773,0
56,19.329,46590.602,46609.931,0
57,19.080,46611.178,46630.258,0
58,17.774,46590.378,46608.152,0
59,18.132,46612.907,46631.039,0
60,15.515,46658.795,46674.310,0
