cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,13.411,3927.776,3941.187,0
1,10.697,3896.799,3907.496,0
2,9.998,3892.863,3902.861,0
3,11.124,3896.894,3908.018,0
4,9.689,3892.831,3902.520,0
5,10.334,3886.111,3896.445,0
6,9.988,3880.062,3890.050,0
7,12.361,3884.799,3897.160,0
8,11.279,3884.094,3895.373,0
9,10.356,3893.439,3903.795,0
10,10.746,3892.126,3902.872,0
11,10.719,3883.422,3894.141,0
12,9.892,3886.399,3896.291,0
13,10.954,3888.190,3899.144,0
14,10.607,3885.087,3895.694,0
15,9.909,3888.414,3898.323,0
16,10.362,3886.430,3896.792,0
17,10.655,3881.279,3891.934,0
18,11.109,3894.431,3905.540,0
19,11.114,3886.559,3897.673,0
20,9.584,3878.174,3887.758,0
21,10.837,3891.487,3902.324,0
22,11.195,3889.438,3900.633,0
23,11.456,3884.190,3895.646,0
24,9.381,3890.815,3900.196,0
25,11.339,3885.406,3896.745,0
26,10.032,3888.063,3898.095,0
27,9.430,3888.158,3897.588,0
28,10.875,3885.598,3896.473,0
29,10.464,3886.623,3897.087,0
30,9.734,3889.502,3899.236,0
31,10.475,3886.911,3897.386,0
32,10.321,3881.470,3891.791,0
33,9.974,3889.919,3899.893,0
34,10.299,3886.623,3896.922,0
35,10.433,3884.926,3895.359,0
36,9.638,3893.855,3903.493,0
37,11.756,3888.414,3900.170,0
38,9.841,3887.327,3897.168,0
39,12.087,3894.558,3906.645,0
40,10.620,3893.695,3904.315,0
41,10.433,3891.743,3902.176,0
42,9.863,3887.550,3897.413,0
43,12.076,3890.399,3902.475,0
44,10.002,3890.462,3900.464,0
45,9.815,3893.407,3903.222,0
46,9.916,3883.679,3893.595,0
47,11.074,3884.574,3895.648,0
48,9.735,3889.759,3899.494,0
49,10.797,3886.942,3897.739,0
50,10.514,3883.806,3894.320,0
51,11.256,3886.846,3898.102,0
52,10.749,3882.238,3892.987,0
53,9.922,3892.575,3902.497,0
54,10.472,3893.886,3904.358,0
55,10.093,3883.358,3893.451,0
56,9.810,3882.847,3892.657,0
57,9.784,3886.430,3896.214,0
58,10.301,3884.830,3895.131,0
59,10.562,3881.407,3891.969,0
60,9.992,3888.030,3898.022,0
61,10.669,3887.614,3898.283,0
62,9.522,3889.023,3898.545,0
63,9.624,3884.862,3894.486,0
64,10.013,3881.534,3891.547,0
65,10.498,3884.895,3895.393,0
66,10.280,3881.374,3891.654,0
67,10.413,3891.071,3901.484,0
68,9.650,3877.374,3887.024,0
69,9.560,3884.254,3893.814,0
70,10.045,3886.142,3896.187,0
71,9.986,3889.855,3899.841,0
72,10.024,3898.143,3908.167,0
73,12.173,3894.175,3906.348,0
74,10.162,3879.807,3889.969,0
