cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,13.550,3948.816,3962.366,0
1,10.058,3898.574,3908.632,0
2,9.989,3909.551,3919.540,0
3,9.889,3901.230,3911.119,0
4,11.196,3896.367,3907.563,0
5,10.968,3882.030,3892.998,0
6,10.227,3889.711,3899.938,0
7,10.351,3903.151,3913.502,0
8,9.578,3886.639,3896.217,0
9,9.894,3892.430,3902.324,0
10,9.889,3884.847,3894.736,0
11,10.653,3898.638,3909.291,0
12,10.296,3891.087,3901.383,0
13,10.708,3897.358,3908.066,0
14,10.479,3896.879,3907.358,0
15,10.155,3895.278,3905.433,0
16,11.175,3894.254,3905.429,0
17,10.914,3890.030,3900.944,0
18,10.462,3899.918,3910.380,0
19,10.393,3890.734,3901.127,0
20,10.165,3890.510,3900.675,0
21,9.744,3890.126,3899.870,0
22,10.092,3885.710,3895.802,0
23,10.791,3895.855,3906.646,0
24,9.635,3890.446,3900.081,0
25,10.302,3889.774,3900.076,0
26,10.650,3889.550,3900.200,0
27,10.293,3894.094,3904.387,0
28,10.737,3890.126,3900.863,0
29,10.668,3887.406,3898.074,0
30,10.152,3889.454,3899.606,0
31,10.787,3893.998,3904.785,0
32,10.527,3883.854,3894.381,0
33,10.586,3891.246,3901.832,0
34,10.774,3888.654,3899.428,0
35,11.441,3898.223,3909.664,0
36,10.509,3898.958,3909.467,0
37,10.056,3885.550,3895.606,0
38,10.340,3891.534,3901.874,0
39,10.143,3890.094,3900.237,0
40,11.355,3891.630,3902.985,0
41,10.102,3896.047,3906.149,0
42,10.290,4130.357,4140.647,0
43,10.573,4153.558,4164.131,0
44,11.081,4158.709,4169.790,0
45,9.956,4166.166,4176.122,0
46,10.176,4148.693,4158.869,0
47,10.619,4147.062,4157.681,0
48,8.951,4163.446,4172.397,0
49,10.898,4157.974,4168.872,0
50,9.646,4152.821,4162.467,0
51,10.889,4166.134,4177.023,0
52,10.341,4168.374,4178.715,0
53,10.496,4156.758,4167.254,0
54,10.236,4152.245,4162.481,0
55,9.815,4318.234,4328.049,0
56,10.035,4554.305,4564.340,0
57,10.094,4549.313,4559.407,0
58,10.218,4555.521,4565.739,0
59,10.021,4543.809,4553.830,0
60,9.216,4548.705,4557.921,0
61,9.532,4551.809,4561.341,0
62,10.808,4551.329,4562.137,0
63,10.131,4558.081,4568.212,0
64,12.303,4555.297,4567.600,0
65,10.890,4560.161,4571.051,0
66,10.342,4560.385,4570.727,0
67,10.113,4552.033,4562.146,0
68,10.108,4556.354,4566.462,0
69,9.592,4550.593,4560.185,0
70,11.220,4548.288,4559.508,0
71,11.055,4554.241,4565.296,0
72,10.154,4553.474,4563.628,0
73,9.766,4560.609,4570.375,0
74,11.138,4548.736,4559.874,0
75,10.013,4671.748,4681.761,0
76,11.097,5078.095,5089.192,0
77,10.452,5086.224,5096.676,0
78,9.487,5073.648,5083.135,0
79,10.827,5064.048,5074.875,0
80,10.470,5071.440,5081.910,0
81,9.826,5068.816,5078.642,0
82,9.917,5081.585,5091.502,0
83,9.625,5095.856,5105.481,0
84,9.780,5068.624,5078.404,0
85,9.872,5066.864,5076.736,0
86,10.059,5074.416,5084.475,0
87,9.703,5086.416,5096.119,0
88,11.298,5079.600,5090.898,0
89,11.326,5092.976,5104.302,0
90,9.433,5079.632,5089.065,0
91,10.549,5093.520,5104.069,0
92,9.456,5072.944,5082.400,0
93,9.676,5095.088,5104.764,0
94,9.959,5069.712,5079.671,0
95,12.707,5090.512,5103.219,0
96,9.822,5085.873,5095.695,0
97,11.226,5080.784,5092.010,0
98,9.525,5075.248,5084.773,0
99,10.385,5078.672,5089.057,0
100,9.420,5071.664,5081.084,0
101,11.240,5092.208,5103.448,0
102,9.507,5064.560,5074.067,0
103,10.687,5090.224,5100.911,0
104,9.722,5064.400,5074.122,0
105,11.222,5086.896,5098.118,0
106,9.521,5076.432,5085.953,0
107,10.605,5451.418,5462.023,0
108,10.440,5766.756,5777.196,0
109,9.636,5776.868,5786.504,0
110,9.599,5773.220,5782.819,0
111,10.651,5776.324,5786.975,0
112,10.998,5781.124,5792.122,0
113,9.810,5772.740,5782.550,0
114,10.413,5773.668,5784.081,0
115,10.825,5771.396,5782.221,0
116,10.628,5765.380,5776.008,0
117,10.560,5766.019,5776.579,0
118,10.459,5773.316,5783.775,0
119,9.495,5773.668,5783.163,0
120,10.034,5763.428,5773.462,0
121,10.446,5772.420,5782.866,0
122,10.217,5779.428,5789.645,0
123,9.637,5767.299,5776.936,0
124,10.464,5766.276,5776.740,0
125,9.308,5772.132,5781.440,0
126,10.327,5770.116,5780.443,0
127,10.131,5769.763,5779.894,0
128,9.582,5765.284,5774.866,0
129,10.890,5776.900,5787.790,0
130,10.917,5774.564,5785.481,0
131,9.953,5776.036,5785.989,0
132,10.076,5766.372,5776.448,0
133,10.840,5774.820,5785.660,0
134,10.419,5761.572,5771.991,0
135,10.927,5769.731,5780.658,0
136,10.794,5776.132,5786.926,0
137,10.758,5768.707,5779.465,0
138,11.137,5766.372,5777.509,0
139,10.781,5772.643,5783.424,0
140,9.720,5769.988,5779.708,0
141,11.572,5771.171,5782.743,0
142,10.671,5769.412,5780.083,0
143,9.995,5766.947,5776.942,0
144,10.342,5769.572,5779.914,0
145,11.042,5768.195,5779.237,0
146,10.301,5774.212,5784.513,0
147,10.425,5763.811,5774.236,0
148,9.812,5772.740,5782.552,0
149,9.840,5762.019,5771.859,0
150,10.539,5768.644,5779.183,0
151,10.311,5766.403,5776.714,0
152,10.466,5773.060,5783.526,0
153,10.718,5768.547,5779.265,0
154,10.809,5759.683,5770.492,0
155,10.581,5768.099,5778.680,0
156,11.440,5762.723,5774.163,0
157,11.308,5776.195,5787.503,0
158,9.287,5773.796,5783.083,0
159,10.947,5758.435,5769.382,0
160,10.142,5765.891,5776.033,0
161,10.938,5766.627,5777.565,0
162,9.717,5758.819,5768.536,0
163,10.224,5766.500,5776.724,0
164,9.132,5766.787,5775.919,0
165,11.367,5773.252,5784.619,0
166,9.667,5768.035,5777.702,0
167,9.854,5773.604,5783.458,0
168,10.362,5773.988,5784.350,0
169,9.973,5767.076,5777.049,0
170,9.681,5776.260,5785.941,0
171,11.340,5770.436,5781.776,0
172,10.920,5761.603,5772.523,0
173,10.243,5764.612,5774.855,0
174,9.887,5768.419,5778.306,0
175,10.234,5756.067,5766.301,0
176,9.718,5781.796,5791.514,0
177,10.545,5767.140,5777.685,0
178,10.413,5780.388,5790.801,0
179,10.024,5772.580,5782.604,0
180,11.492,5765.219,5776.711,0
181,10.399,5765.348,5775.747,0
182,9.467,5764.899,5774.366,0
183,10.710,5766.948,5777.658,0
184,10.706,5765.059,5775.765,0
185,10.061,5773.348,5783.409,0
186,10.281,5766.179,5776.460,0
187,10.212,5768.644,5778.856,0
188,10.016,5768.067,5778.083,0
189,10.715,5771.492,5782.207,0
190,10.359,5777.507,5787.866,0
191,11.410,5785.956,5797.366,0
192,10.126,5764.707,5774.833,0
193,10.313,5775.140,5785.453,0
194,9.605,5768.355,5777.960,0
195,10.720,5771.876,5782.596,0
196,10.652,5770.435,5781.087,0
197,9.527,5767.588,5777.115,0
198,10.739,5776.835,5787.574,0
199,10.670,5763.459,5774.129,0
200,10.506,5773.987,5784.493,0
201,12.389,5774.692,5787.081,0
202,10.401,5765.827,5776.228,0
203,9.532,5771.620,5781.152,0
204,9.623,5770.628,5780.251,0
205,10.931,5773.764,5784.695,0
206,9.966,5777.476,5787.442,0
207,10.602,5781.636,5792.238,0
208,10.437,5775.012,5785.449,0
209,10.145,5765.539,5775.684,0
210,10.844,5775.908,5786.752,0
211,11.512,5766.435,5777.947,0
212,9.715,5772.452,5782.167,0
213,9.967,5771.971,5781.938,0
214,9.898,5765.796,5775.694,0
215,10.534,5781.828,5792.362,0
216,10.817,5765.412,5776.229,0
217,11.325,5765.315,5776.640,0
218,10.424,6628.860,6639.284,0
219,10.004,6763.552,6773.556,0
220,10.927,6741.951,6752.878,0
221,10.795,6760.607,6771.402,0
222,9.830,6753.120,6762.950,0
223,10.434,6759.487,6769.921,0
224,9.981,6773.920,6783.901,0
225,11.289,6760.927,6772.216,0
226,9.588,6751.328,6760.916,0
227,10.576,6749.631,6760.207,0
228,11.019,6753.184,6764.203,0
229,9.895,6751.615,6761.510,0
230,9.538,6762.432,6771.970,0
231,11.646,6757.279,6768.925,0
232,11.033,6753.600,6764.633,0
233,10.101,6746.751,6756.852,0
234,9.552,6753.951,6763.503,0
235,10.572,6755.903,6766.475,0
