cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,15.113,3981.132,3996.245,0
1,18.329,3951.564,3969.893,0
2,11.626,3931.403,3943.029,0
3,12.794,3973.036,3985.830,0
4,18.219,4112.816,4131.035,0
5,10.395,3943.980,3954.375,0
6,14.124,4446.841,4460.965,0
7,17.340,4955.943,4973.283,0
8,19.373,5210.574,5229.947,0
9,28.382,3959.020,3987.402,0
10,12.942,3987.693,4000.635,0
11,26.431,5878.144,5904.575,0
12,21.071,5246.735,5267.806,0
13,27.840,3974.060,4001.900,0
14,11.344,3987.149,3998.493,0
15,21.825,5334.897,5356.722,0
16,11.985,3923.947,3935.932,0
17,21.410,6132.967,6154.377,0
18,23.698,6815.418,6839.116,0
19,35.683,3973.357,4009.040,0
20,12.659,3979.917,3992.576,0
21,21.028,5227.790,5248.818,0
22,11.220,3948.748,3959.968,0
23,22.373,6266.315,6288.688,0
24,23.542,6923.164,6946.706,0
25,38.182,3977.677,4015.859,0
26,11.990,3978.189,3990.179,0
27,22.951,5162.637,5185.588,0
28,22.072,6250.506,6272.578,0
29,35.560,3973.421,4008.981,0
30,10.616,3971.405,3982.021,0
31,22.825,5273.808,5296.633,0
32,11.385,3929.227,3940.612,0
33,22.698,6225.546,6248.244,0
34,26.651,6758.520,6785.171,0
35,37.612,3960.812,3998.424,0
36,12.987,3979.501,3992.488,0
37,26.348,6243.499,6269.847,0
38,25.277,6833.402,6858.679,0
39,38.126,4230.387,4268.513,0
40,10.781,4221.268,4232.049,0
41,26.510,6396.783,6423.293,0
42,23.679,7057.536,7081.215,0
43,39.888,4221.811,4261.699,0
44,11.744,4248.627,4260.371,0
45,20.752,6261.003,6281.755,0
46,24.033,6777.081,6801.114,0
47,40.050,4223.411,4263.461,0
48,13.090,4248.916,4262.006,0
49,25.011,6412.622,6437.633,0
50,22.691,6996.351,7019.042,0
51,25.364,6084.709,6110.073,0
52,25.028,6686.134,6711.162,0
53,40.405,4216.051,4256.456,0
54,10.917,4663.647,4674.564,0
55,23.030,6928.252,6951.282,0
56,21.606,6081.958,6103.564,0
57,31.735,4631.390,4663.125,0
58,10.407,4634.910,4645.317,0
59,25.208,6935.037,6960.245,0
60,21.160,6035.205,6056.365,0
61,38.649,4633.118,4671.767,0
62,12.489,4655.071,4667.560,0
63,22.554,5292.848,5315.402,0
64,11.722,4570.045,4581.767,0
65,20.571,6186.600,6207.171,0
66,27.948,7033.087,7061.035,0
67,39.548,4643.615,4683.163,0
68,11.884,4652.927,4664.811,0
69,24.797,6258.059,6282.856,0
70,23.277,6975.615,6998.892,0
71,41.374,4645.439,4686.813,0
72,11.758,4650.783,4662.541,0
73,26.015,6456.336,6482.351,0
74,26.512,7077.408,7103.920,0
75,39.521,5161.868,5201.389,0
76,13.040,5222.127,5235.167,0
77,22.977,5361.650,5384.627,0
78,10.385,5214.702,5225.087,0
79,22.306,5435.508,5457.814,0
80,10.162,5098.187,5108.349,0
81,20.867,6496.689,6517.556,0
82,31.988,5149.164,5181.152,0
83,11.620,5187.533,5199.153,0
84,26.357,6550.706,6577.063,0
85,12.549,5119.884,5132.433,0
86,23.350,6709.975,6733.325,0
87,41.031,5132.108,5173.139,0
88,11.094,5212.143,5223.237,0
89,23.751,6344.269,6368.020,0
90,26.008,6824.506,6850.514,0
91,42.793,5169.197,5211.990,0
92,11.577,5219.438,5231.015,0
93,23.977,5467.861,5491.838,0
94,10.138,5096.554,5106.692,0
95,23.626,6169.961,6193.587,0
96,25.435,7135.651,7161.086,0
97,41.644,5200.782,5242.426,0
98,11.292,5209.038,5220.330,0
99,23.245,5457.908,5481.153,0
100,10.653,5104.779,5115.432,0
101,20.238,6344.652,6364.890,0
102,24.222,7121.410,7145.632,0
103,36.751,5114.379,5151.130,0
104,12.639,5227.054,5239.693,0
105,28.304,6102.758,6131.062,0
106,12.736,5804.606,5817.342,0
107,22.609,6388.174,6410.783,0
108,25.409,7293.319,7318.728,0
109,28.882,6146.983,6175.865,0
110,24.962,6954.334,6979.296,0
111,23.571,6511.537,6535.108,0
112,25.091,7116.130,7141.221,0
113,39.508,5866.304,5905.812,0
114,11.876,5896.865,5908.741,0
115,24.117,6383.406,6407.523,0
116,24.325,6889.660,6913.985,0
117,37.110,5829.887,5866.997,0
118,10.950,5893.409,5904.359,0
119,24.887,6303.084,6327.971,0
120,24.936,6999.006,7023.942,0
121,41.464,5859.808,5901.272,0
122,11.784,5835.071,5846.855,0
123,22.169,6330.444,6352.613,0
124,25.066,7022.879,7047.945,0
125,42.715,5871.744,5914.459,0
126,11.626,5899.713,5911.339,0
127,25.115,6181.257,6206.372,0
128,24.844,7198.820,7223.664,0
129,39.517,5821.982,5861.499,0
130,12.460,5898.785,5911.245,0
131,22.173,6532.370,6554.543,0
132,23.534,7081.313,7104.847,0
133,42.463,5864.383,5906.846,0
134,10.190,5886.337,5896.527,0
135,32.799,6097.511,6130.310,0
136,10.415,5798.718,5809.133,0
137,21.248,6614.676,6635.924,0
138,24.785,7356.456,7381.241,0
139,42.498,5872.352,5914.850,0
140,12.145,5884.769,5896.914,0
141,24.802,6351.501,6376.303,0
142,30.067,7005.919,7035.986,0
143,24.227,6486.737,6510.964,0
144,31.252,7244.229,7275.481,0
145,42.789,5876.096,5918.885,0
146,11.124,5887.041,5898.165,0
147,23.653,6528.402,6552.055,0
148,24.310,6881.883,6906.193,0
149,41.927,5877.984,5919.911,0
150,10.262,5891.393,5901.655,0
151,22.311,6372.238,6394.549,0
152,25.272,6877.147,6902.419,0
153,42.153,5865.504,5907.657,0
154,12.089,5824.958,5837.047,0
155,23.753,6579.700,6603.453,0
156,24.122,7207.908,7232.030,0
157,25.162,6444.432,6469.594,0
158,26.971,7170.659,7197.630,0
159,42.892,5869.632,5912.524,0
160,11.676,5845.055,5856.731,0
161,25.164,6855.035,6880.199,0
162,21.213,6532.338,6553.551,0
163,36.590,5865.408,5901.998,0
164,10.046,5889.984,5900.030,0
165,23.439,6492.912,6516.351,0
166,25.343,6638.325,6663.668,0
167,22.223,6231.338,6253.561,0
168,24.992,7200.804,7225.796,0
169,43.697,5869.664,5913.361,0
170,10.305,5899.456,5909.761,0
171,28.530,7092.289,7120.819,0
172,22.530,6452.688,6475.218,0
