cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,13.694,3956.765,3970.459,0
1,13.402,3957.853,3971.255,0
2,19.222,3925.468,3944.690,0
3,12.177,3950.141,3962.318,0
4,25.806,4042.719,4068.525,0
5,21.161,4677.204,4698.365,0
6,24.773,3915.516,3940.289,0
7,11.905,3952.733,3964.638,0
8,26.429,4882.266,4908.695,0
9,20.857,5404.682,5425.539,0
10,23.381,5601.585,5624.966,0
11,36.209,3930.972,3967.181,0
12,11.628,3949.341,3960.969,0
13,24.648,4579.569,4604.217,0
14,10.820,3929.948,3940.768,0
15,21.632,5973.820,5995.452,0
16,24.060,6672.946,6697.006,0
17,37.528,3935.228,3972.756,0
18,12.403,3959.101,3971.504,0
19,24.335,4757.399,4781.734,0
20,12.619,3917.115,3929.734,0
21,20.615,5811.511,5832.126,0
22,23.971,6708.084,6732.055,0
23,21.503,5923.803,5945.306,0
24,25.210,6607.953,6633.163,0
25,29.558,7253.957,7283.515,0
26,47.251,3933.948,3981.199,0
27,10.669,3986.718,3997.387,0
28,36.778,6193.443,6230.221,0
29,11.589,3919.228,3930.817,0
30,23.329,6628.721,6652.050,0
31,31.325,7388.777,7420.102,0
32,46.553,3931.932,3978.485,0
33,12.596,3991.102,4003.698,0
34,25.840,6091.297,6117.137,0
35,11.211,3920.476,3931.687,0
36,23.880,6354.856,6378.736,0
37,29.732,7246.628,7276.360,0
38,45.152,3931.004,3976.156,0
39,10.843,3999.646,4010.489,0
40,31.319,7332.039,7363.358,0
41,25.107,6462.508,6487.615,0
42,38.511,3918.107,3956.618,0
43,9.994,3967.773,3977.767,0
44,27.622,6130.946,6158.568,0
45,11.105,3921.180,3932.285,0
46,24.733,6735.605,6760.338,0
47,28.409,7025.822,7054.231,0
48,38.805,3921.084,3959.889,0
49,13.168,3977.118,3990.286,0
50,25.996,6129.666,6155.662,0
51,11.624,3929.340,3940.964,0
52,23.588,6621.841,6645.429,0
53,29.472,7133.633,7163.105,0
54,40.636,3921.628,3962.264,0
55,10.231,3985.438,3995.669,0
56,29.299,6033.183,6062.482,0
57,12.174,3910.044,3922.218,0
58,24.363,6333.320,6357.683,0
59,28.422,7274.758,7303.180,0
60,41.987,3930.812,3972.799,0
61,11.389,3977.662,3989.051,0
62,28.218,5998.301,6026.519,0
63,11.349,3926.460,3937.809,0
64,23.569,6697.044,6720.613,0
65,30.413,7306.247,7336.660,0
66,46.185,3926.524,3972.709,0
67,10.756,3973.758,3984.514,0
68,29.600,6137.506,6167.106,0
69,11.164,3917.275,3928.439,0
70,22.520,6397.962,6420.482,0
71,28.852,7073.375,7102.227,0
72,39.664,3927.900,3967.564,0
73,10.859,3967.677,3978.536,0
74,26.951,6100.833,6127.784,0
75,11.042,3916.668,3927.710,0
76,22.206,6749.077,6771.283,0
77,30.554,7236.069,7266.623,0
78,43.703,3938.972,3982.675,0
79,12.209,3977.886,3990.095,0
80,28.142,6041.918,6070.060,0
81,10.889,3920.124,3931.013,0
82,24.229,6448.940,6473.169,0
83,30.529,6976.892,7007.421,0
84,38.653,3929.916,3968.569,0
85,13.240,3970.877,3984.117,0
86,28.564,6088.961,6117.525,0
87,11.567,3921.020,3932.587,0
88,22.316,6386.217,6408.533,0
89,25.799,7277.574,7303.373,0
90,40.580,3926.300,3966.880,0
91,12.351,3991.294,4003.645,0
92,27.099,6089.088,6116.187,0
93,14.262,3952.765,3967.027,0
94,21.298,6194.500,6215.798,0
95,32.334,7134.114,7166.448,0
96,38.602,3935.805,3974.407,0
97,12.453,4005.055,4017.508,0
98,25.761,7158.850,7184.611,0
99,23.677,6528.686,6552.363,0
100,37.721,3926.716,3964.437,0
101,11.156,3988.638,3999.794,0
102,26.352,6107.873,6134.225,0
103,11.468,3920.540,3932.008,0
104,22.568,6801.239,6823.807,0
105,30.692,7524.270,7554.962,0
106,47.392,3956.957,4004.349,0
107,11.803,4006.014,4017.817,0
108,24.727,5787.831,5812.558,0
109,11.186,3926.204,3937.390,0
110,24.591,6380.041,6404.632,0
111,31.403,7001.213,7032.616,0
112,36.871,3923.931,3960.802,0
113,10.369,3993.983,4004.352,0
114,27.902,6052.479,6080.381,0
115,10.681,3925.500,3936.181,0
116,23.861,6289.191,6313.052,0
117,28.465,7269.382,7297.847,0
118,46.637,3935.165,3981.802,0
119,13.160,3992.798,4005.958,0
120,26.212,6014.846,6041.058,0
121,11.904,3928.028,3939.932,0
122,22.140,6290.150,6312.290,0
123,27.448,6901.946,6929.394,0
124,43.572,3932.956,3976.528,0
125,11.375,3979.421,3990.796,0
126,28.139,7275.301,7303.440,0
127,24.550,6476.493,6501.043,0
128,32.994,3921.596,3954.590,0
129,10.237,3978.654,3988.891,0
130,28.698,6120.673,6149.371,0
131,10.837,3919.611,3930.448,0
132,23.761,6573.039,6596.800,0
133,31.917,7244.645,7276.562,0
134,42.217,3926.908,3969.125,0
135,11.076,3967.965,3979.041,0
136,27.936,6168.066,6196.002,0
137,11.419,3922.108,3933.527,0
138,23.319,6407.178,6430.497,0
139,28.691,6925.499,6954.190,0
140,40.751,3920.028,3960.779,0
141,10.794,3985.630,3996.424,0
142,27.366,6041.439,6068.805,0
143,13.217,3917.980,3931.197,0
144,23.229,5849.721,5872.950,0
145,27.353,7602.032,7629.385,0
146,44.917,3944.829,3989.746,0
147,13.040,3976.701,3989.741,0
148,25.996,6061.023,6087.019,0
149,12.391,3911.740,3924.131,0
150,23.715,6561.904,6585.619,0
151,28.383,7034.974,7063.357,0
152,37.083,3930.716,3967.799,0
153,10.998,3978.142,3989.140,0
154,30.098,7328.680,7358.778,0
155,26.702,6407.850,6434.552,0
156,37.546,3934.364,3971.910,0
157,10.245,3989.982,4000.227,0
158,28.641,7403.434,7432.075,0
159,24.285,6454.379,6478.664,0
160,38.329,3935.964,3974.293,0
161,10.900,3979.901,3990.801,0
162,27.504,6062.047,6089.551,0
163,11.019,3917.916,3928.935,0
164,23.943,6333.704,6357.647,0
165,30.563,7137.409,7167.972,0
166,40.959,3934.652,3975.611,0
167,11.834,3995.710,4007.544,0
168,27.510,6122.177,6149.687,0
169,11.441,3918.972,3930.413,0
170,26.541,6380.266,6406.807,0
171,26.505,7260.389,7286.894,0
172,41.317,3916.380,3957.697,0
173,11.616,4001.886,4013.502,0
174,28.988,7409.226,7438.214,0
175,23.672,6474.508,6498.180,0
176,36.852,3930.044,3966.896,0
177,10.223,3982.077,3992.300,0
178,36.299,6117.857,6154.156,0
179,10.630,3919.420,3930.050,0
180,25.378,6422.475,6447.853,0
181,27.998,7096.576,7124.574,0
182,39.162,3935.068,3974.230,0
183,11.509,3984.862,3996.371,0
184,26.481,6123.137,6149.618,0
185,11.500,3922.716,3934.216,0
186,22.120,6416.139,6438.259,0
187,30.372,7506.957,7537.329,0
188,45.601,3924.219,3969.820,0
189,14.203,3986.846,4001.049,0
190,29.271,6159.043,6188.314,0
191,11.635,3913.179,3924.814,0
192,24.847,6654.642,6679.489,0
193,29.963,7045.470,7075.433,0
194,41.255,3952.572,3993.827,0
195,13.505,4000.863,4014.368,0
196,26.781,6043.199,6069.980,0
197,12.697,3918.619,3931.316,0
198,22.549,6408.138,6430.687,0
199,28.561,7212.163,7240.724,0
200,40.045,3927.324,3967.369,0
201,12.488,3999.358,4011.846,0
202,25.476,6078.880,6104.356,0
203,12.959,3916.028,3928.987,0
204,24.411,6371.689,6396.100,0
205,28.503,7056.799,7085.302,0
206,42.227,3931.804,3974.031,0
207,13.486,3981.629,3995.115,0
208,26.922,6577.199,6604.121,0
209,12.005,3933.596,3945.601,0
210,24.993,6156.387,6181.380,0
211,30.493,7497.069,7527.562,0
212,41.753,3934.652,3976.405,0
213,10.644,3993.758,4004.402,0
214,26.224,5658.323,5684.547,0
215,11.339,3915.676,3927.015,0
216,21.479,5499.054,5520.533,0
217,27.523,6419.563,6447.086,0
218,32.607,3933.276,3965.883,0
219,12.474,3968.477,3980.951,0
220,23.734,5895.930,5919.664,0
221,11.729,3899.708,3911.437,0
222,23.245,6453.196,6476.441,0
223,36.682,3924.764,3961.446,0
224,10.724,3975.166,3985.890,0
225,26.849,4802.647,4829.496,0
226,11.260,3903.323,3914.583,0
227,22.104,5960.860,5982.964,0
228,25.043,6484.173,6509.216,0
229,25.999,7505.165,7531.164,0
230,46.731,3921.820,3968.551,0
231,11.270,3970.365,3981.635,0
232,26.178,5890.490,5916.668,0
233,11.165,3905.435,3916.600,0
234,23.609,6530.990,6554.599,0
235,26.037,7093.152,7119.189,0
236,40.497,3936.380,3976.877,0
237,10.252,3993.694,4003.946,0
238,25.448,6155.394,6180.842,0
239,11.139,3914.651,3925.790,0
240,22.783,6220.580,6243.363,0
241,28.539,7092.383,7120.922,0
242,44.535,3915.995,3960.530,0
243,13.105,3984.926,3998.031,0
244,25.357,6049.183,6074.540,0
245,11.625,3900.955,3912.580,0
246,22.757,6341.992,6364.749,0
247,30.336,7063.231,7093.567,0
248,43.100,3947.837,3990.937,0
249,13.303,3999.422,4012.725,0
250,30.707,7149.442,7180.149,0
251,23.759,6284.230,6307.989,0
252,39.339,3923.292,3962.631,0
253,11.686,3998.654,4010.340,0
254,35.106,6118.081,6153.187,0
255,12.285,3921.468,3933.753,0
256,12.984,3983.678,3996.662,0
257,27.157,4734.325,4761.482,0
258,10.928,3903.035,3913.963,0
259,21.260,5878.745,5900.005,0
260,25.479,6694.260,6719.739,0
261,23.139,5750.933,5774.072,0
262,37.951,3920.764,3958.715,0
263,10.074,4007.070,4017.144,0
264,29.494,6163.971,6193.465,0
265,12.145,3925.980,3938.125,0
266,23.373,6318.983,6342.356,0
267,28.201,7209.283,7237.484,0
268,39.845,3929.660,3969.505,0
269,10.239,3993.727,4003.966,0
270,27.452,6125.505,6152.957,0
271,12.631,3922.812,3935.443,0
272,23.123,6595.664,6618.787,0
273,28.367,7028.701,7057.068,0
274,42.187,3932.348,3974.535,0
275,11.717,3988.158,3999.875,0
276,27.233,7470.476,7497.709,0
277,24.861,6419.019,6443.880,0
278,38.137,3935.420,3973.557,0
279,10.484,3992.094,4002.578,0
280,27.376,6102.240,6129.616,0
281,11.243,3923.644,3934.887,0
282,25.607,6656.914,6682.521,0
283,29.219,7104.800,7134.019,0
284,44.031,3928.412,3972.443,0
