cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,12.880,3947.730,3960.610,0
1,11.152,3912.177,3923.329,0
2,12.721,3901.488,3914.209,0
3,10.929,3898.576,3909.505,0
4,10.065,3900.272,3910.337,0
5,11.729,3898.641,3910.370,0
6,10.386,3891.120,3901.506,0
7,11.122,3898.096,3909.218,0
8,11.218,3900.784,3912.002,0
9,11.410,3897.105,3908.515,0
10,10.546,3901.361,3911.907,0
11,10.515,3892.432,3902.947,0
12,11.571,3897.552,3909.123,0
13,10.483,3899.537,3910.020,0
14,12.371,3901.777,3914.148,0
15,10.324,3897.872,3908.196,0
16,11.604,3901.680,3913.284,0
17,13.012,3914.737,3927.749,0
18,12.180,3893.137,3905.317,0
19,12.565,3906.768,3919.333,0
20,11.733,3900.016,3911.749,0
21,12.149,3898.609,3910.758,0
22,11.093,3892.561,3903.654,0
23,11.542,3900.688,3912.230,0
24,11.606,3893.552,3905.158,0
25,11.862,3898.352,3910.214,0
26,10.678,3891.280,3901.958,0
27,10.263,3894.256,3904.519,0
28,10.871,3902.736,3913.607,0
29,10.423,3896.016,3906.439,0
30,10.423,3896.177,3906.600,0
31,12.120,3895.184,3907.304,0
32,13.048,3898.416,3911.464,0
33,11.224,3896.656,3907.880,0
34,10.456,3893.904,3904.360,0
35,10.584,3896.721,3907.305,0
36,11.321,3892.240,3903.561,0
37,10.489,3897.776,3908.265,0
38,10.681,3890.544,3901.225,0
39,11.065,3901.745,3912.810,0
40,10.362,3895.760,3906.122,0
41,11.706,3899.408,3911.114,0
42,10.234,3899.697,3909.931,0
43,9.978,3893.809,3903.787,0
44,11.803,3898.352,3910.155,0
45,10.363,3901.168,3911.531,0
46,12.507,3898.577,3911.084,0
47,11.483,3894.193,3905.676,0
48,10.876,3897.616,3908.492,0
49,10.684,3890.160,3900.844,0
50,12.828,3897.296,3910.124,0
51,12.572,3894.033,3906.605,0
52,10.877,3894.640,3905.517,0
53,11.453,3898.544,3909.997,0
54,11.229,3895.952,3907.181,0
55,11.453,3910.577,3922.030,0
56,12.990,3890.896,3903.886,0
57,12.606,3901.296,3913.902,0
58,9.758,3899.472,3909.230,0
59,13.342,3897.297,3910.639,0
60,12.223,3891.920,3904.143,0
61,11.487,3900.272,3911.759,0
62,10.847,3896.336,3907.183,0
63,11.007,3897.617,3908.624,0
64,9.983,3896.913,3906.896,0
65,11.296,3896.976,3908.272,0
66,10.592,3893.488,3904.080,0
67,11.456,3900.401,3911.857,0
68,10.464,3889.073,3899.537,0
69,10.593,3900.816,3911.409,0
70,11.393,3897.232,3908.625,0
71,10.721,3901.265,3911.986,0
72,11.777,3901.041,3912.818,0
73,10.722,3898.320,3909.042,0
74,11.618,3898.544,3910.162,0
75,10.114,3900.689,3910.803,0
76,21.539,3938.929,3960.468,0
77,12.515,3913.328,3925.843,0
78,11.107,3912.529,3923.636,0
79,11.715,3891.824,3903.539,0
80,12.355,3894.673,3907.028,0
81,10.916,3897.296,3908.212,0
82,9.764,3899.504,3909.268,0
83,11.524,3901.553,3913.077,0
84,12.004,3904.753,3916.757,0
85,10.725,3902.800,3913.525,0
86,11.269,3898.288,3909.557,0
87,10.629,3901.520,3912.149,0
88,10.629,3906.481,3917.110,0
89,10.886,3893.648,3904.534,0
90,10.086,3893.648,3903.734,0
91,12.838,3897.712,3910.550,0
92,10.982,3896.017,3906.999,0
93,11.943,3906.160,3918.103,0
94,10.983,3899.600,3910.583,0
95,11.463,3898.000,3909.463,0
96,10.119,3889.648,3899.767,0
97,10.951,3896.081,3907.032,0
98,10.984,3895.856,3906.840,0
99,12.200,3907.153,3919.353,0
100,11.528,3902.897,3914.425,0
101,11.144,3893.713,3904.857,0
102,11.401,3904.528,3915.929,0
103,11.305,3900.336,3911.641,0
104,10.697,3889.648,3900.345,0
105,16.074,3919.121,3935.195,0
106,11.626,3904.592,3916.218,0
107,10.602,3886.352,3896.954,0
108,10.826,3905.393,3916.219,0
109,9.834,3895.153,3904.987,0
110,11.531,3901.968,3913.499,0
111,11.211,3891.920,3903.131,0
112,10.443,3888.656,3899.099,0
113,11.051,3902.577,3913.628,0
114,12.908,3900.272,3913.180,0
115,11.148,3893.456,3904.604,0
116,11.404,3889.072,3900.476,0
117,12.012,3898.801,3910.813,0
118,10.605,3900.528,3911.133,0
119,11.053,3901.680,3912.733,0
120,11.629,3902.449,3914.078,0
121,10.221,3892.240,3902.461,0
122,12.718,3892.592,3905.310,0
123,10.958,3903.568,3914.526,0
124,10.606,3899.184,3909.790,0
125,13.198,3899.313,3912.511,0
126,10.798,3892.785,3903.583,0
127,11.823,3906.032,3917.855,0
128,11.631,3896.400,3908.031,0
129,12.207,3906.897,3919.104,0
130,10.703,3896.881,3907.584,0
131,11.248,3891.600,3902.848,0
132,11.440,3888.560,3900.000,0
133,10.992,3898.321,3909.313,0
134,12.048,3897.521,3909.569,0
135,11.089,3892.080,3903.169,0
136,10.257,3903.888,3914.145,0
137,11.249,3898.449,3909.698,0
138,10.545,3890.193,3900.738,0
139,10.034,3894.640,3904.674,0
140,11.890,3893.168,3905.058,0
141,11.922,3898.513,3910.435,0
142,10.098,3887.088,3897.186,0
143,11.219,3892.432,3903.651,0
144,9.715,3888.816,3898.531,0
145,10.803,3908.273,3919.076,0
146,10.739,3888.944,3899.683,0
147,10.004,3893.552,3903.556,0
148,9.972,3900.592,3910.564,0
149,11.476,3899.888,3911.364,0
150,11.380,3906.737,3918.117,0
151,10.613,3901.744,3912.357,0
152,11.317,3893.264,3904.581,0
153,10.549,3892.112,3902.661,0
154,9.877,3896.433,3906.310,0
155,11.350,3896.880,3908.230,0
156,11.926,3893.680,3905.606,0
157,10.934,3892.304,3903.238,0
158,12.054,3901.425,3913.479,0
159,10.646,3897.841,3908.487,0
160,10.711,3893.840,3904.551,0
161,11.383,3894.512,3905.895,0
162,10.551,3892.240,3902.791,0
163,10.135,3900.305,3910.440,0
164,11.096,3895.728,3906.824,0
165,10.168,3894.800,3904.968,0
166,10.200,3893.456,3903.656,0
167,10.840,3905.777,3916.617,0
168,12.857,3886.864,3899.721,0
169,10.521,3898.512,3909.033,0
170,11.481,3902.033,3913.514,0
171,10.329,3893.009,3903.338,0
172,10.074,3901.904,3911.978,0
173,10.842,3901.424,3912.266,0
174,10.810,3896.176,3906.986,0
175,10.426,3897.777,3908.203,0
176,11.643,3903.376,3915.019,0
177,10.779,3892.656,3903.435,0
178,10.747,3900.529,3911.276,0
179,20.764,3939.537,3960.301,0
180,12.476,3904.144,3916.620,0
181,10.332,3910.289,3920.621,0
182,11.132,3908.369,3919.501,0
183,10.588,3900.337,3910.925,0
184,10.845,3895.664,3906.509,0
185,12.701,3898.096,3910.797,0
186,11.869,3898.032,3909.901,0
187,10.621,3891.760,3902.381,0
188,10.974,3893.968,3904.942,0
189,11.230,3899.952,3911.182,0
190,11.262,3892.304,3903.566,0
191,11.518,3896.881,3908.399,0
192,10.751,3898.512,3909.263,0
193,10.335,3899.024,3909.359,0
194,11.743,3905.873,3917.616,0
195,10.847,3891.728,3902.575,0
196,10.879,3898.961,3909.840,0
197,11.072,3895.664,3906.736,0
198,11.456,3900.976,3912.432,0
199,10.496,3904.081,3914.577,0
200,11.200,3899.089,3910.289,0
201,10.689,3895.984,3906.673,0
202,10.721,3898.800,3909.521,0
203,11.553,3899.825,3911.378,0
204,13.058,3906.896,3919.954,0
205,10.434,3897.104,3907.538,0
206,11.842,3896.432,3908.274,0
207,10.882,3898.097,3908.979,0
208,9.794,3896.433,3906.227,0
209,11.555,3887.632,3899.187,0
210,10.275,3903.888,3914.163,0
211,10.691,3891.952,3902.643,0
212,11.619,3898.737,3910.356,0
213,10.788,3903.792,3914.580,0
214,10.116,3893.296,3903.412,0
215,11.492,3898.705,3910.197,0
216,11.300,3902.961,3914.261,0
217,11.877,3899.024,3910.901,0
218,12.581,3911.057,3923.638,0
219,11.749,3895.024,3906.773,0
220,10.661,3899.793,3910.454,0
221,11.366,3902.800,3914.166,0
222,11.270,3902.736,3914.006,0
223,10.022,3891.568,3901.590,0
224,11.590,3898.097,3909.687,0
225,10.535,3889.776,3900.311,0
226,10.343,3895.408,3905.751,0
227,12.007,3896.208,3908.215,0
228,11.719,3899.217,3910.936,0
229,10.024,3895.568,3905.592,0
230,11.848,3889.744,3901.592,0
231,10.632,3897.552,3908.184,0
232,11.112,3897.169,3908.281,0
233,11.337,3907.344,3918.681,0
234,11.113,3897.616,3908.729,0
235,11.305,3903.729,3915.034,0
236,10.761,3889.488,3900.249,0
237,10.345,3896.785,3907.130,0
238,10.794,3897.424,3908.218,0
239,10.666,3884.336,3895.002,0
240,10.442,3898.001,3908.443,0
241,11.050,3897.105,3908.155,0
242,11.147,3902.640,3913.787,0
243,10.859,3900.784,3911.643,0
244,11.019,3898.289,3909.308,0
245,10.891,3900.241,3911.132,0
246,9.804,3901.808,3911.612,0
247,10.028,3896.624,3906.652,0
248,11.564,3897.489,3909.053,0
249,11.468,3901.681,3913.149,0
250,10.797,3902.608,3913.405,0
251,11.053,3898.416,3909.469,0
252,10.637,3906.577,3917.214,0
253,11.181,3899.985,3911.166,0
254,12.110,3890.608,3902.718,0
255,10.926,3893.840,3904.766,0
256,10.510,3894.896,3905.406,0
257,12.366,3896.465,3908.831,0
258,10.191,3898.992,3909.183,0
259,10.895,3888.912,3899.807,0
260,11.855,3896.144,3907.999,0
261,12.783,3892.753,3905.536,0
262,10.288,3898.128,3908.416,0
263,11.408,3890.832,3902.240,0
264,11.440,3896.208,3907.648,0
265,10.480,3901.937,3912.417,0
266,12.561,3892.720,3905.281,0
267,10.545,3895.920,3906.465,0
268,11.025,3892.208,3903.233,0
269,10.641,3902.609,3913.250,0
270,11.058,3899.760,3910.818,0
271,10.674,3895.696,3906.370,0
272,11.506,3899.728,3911.234,0
273,10.674,3899.953,3910.627,0
274,10.387,3897.136,3907.523,0
275,12.915,3895.376,3908.291,0
276,11.539,3895.632,3907.171,0
277,10.195,3889.712,3899.907,0
278,11.796,3893.680,3905.476,0
279,11.124,3894.768,3905.892,0
280,10.132,3892.688,3902.820,0
281,19.701,3936.337,3956.038,0
282,11.605,3915.216,3926.821,0
283,11.285,3901.104,3912.389,0
284,11.925,3897.712,3909.637,0
285,12.693,3905.777,3918.470,0
286,11.894,3895.152,3907.046,0
287,11.926,3906.640,3918.566,0
288,12.182,3891.472,3903.654,0
289,10.550,3895.088,3905.638,0
290,10.678,3903.185,3913.863,0
291,11.767,3902.608,3914.375,0
292,10.839,3898.096,3908.935,0
293,11.255,3896.433,3907.688,0
294,11.127,3895.921,3907.048,0
295,10.552,3901.552,3912.104,0
296,10.520,3898.384,3908.904,0
297,12.696,3902.641,3915.337,0
298,10.040,3907.121,3917.161,0
299,10.105,3893.872,3903.977,0
300,10.713,3902.416,3913.129,0
301,10.201,3903.121,3913.322,0
302,10.425,3896.561,3906.986,0
303,10.234,3901.776,3912.010,0
304,10.714,3901.072,3911.786,0
305,10.650,3890.768,3901.418,0
306,10.426,3891.409,3901.835,0
307,10.011,3899.344,3909.355,0
308,10.971,3900.208,3911.179,0
309,10.843,3899.825,3910.668,0
310,10.011,3902.929,3912.940,0
311,11.004,3893.776,3904.780,0
312,10.396,3900.016,3910.412,0
313,11.676,3898.320,3909.996,0
314,10.844,3891.633,3902.477,0
315,10.013,3893.200,3903.213,0
316,10.493,3902.064,3912.557,0
317,10.909,3899.824,3910.733,0
318,11.869,3894.225,3906.094,0
319,11.198,3896.688,3907.886,0
320,12.414,3898.416,3910.830,0
321,11.230,3904.369,3915.599,0
322,10.238,3898.705,3908.943,0
323,10.431,3892.272,3902.703,0
324,11.519,3895.056,3906.575,0
325,11.807,3890.480,3902.287,0
326,11.007,3892.400,3903.407,0
327,12.256,3892.944,3905.200,0
328,11.392,3897.168,3908.560,0
329,11.264,3899.472,3910.736,0
330,9.888,3892.560,3902.448,0
331,10.529,3898.352,3908.881,0
332,12.097,3891.248,3903.345,0
333,11.329,3894.800,3906.129,0
334,11.841,3901.585,3913.426,0
335,10.497,3893.489,3903.986,0
336,10.306,3893.456,3903.762,0
337,9.666,3890.032,3899.698,0
338,11.234,3894.929,3906.163,0
339,10.402,3896.049,3906.451,0
340,10.947,3900.176,3911.123,0
341,11.523,3886.960,3898.483,0
342,10.755,3895.024,3905.779,0
343,10.915,3897.457,3908.372,0
344,10.724,3890.832,3901.556,0
345,11.012,3900.816,3911.828,0
346,10.756,3893.328,3904.084,0
347,10.788,3887.408,3898.196,0
348,11.237,3893.456,3904.693,0
349,10.565,3896.944,3907.509,0
350,11.877,3901.489,3913.366,0
351,10.405,3904.849,3915.254,0
352,10.662,3899.824,3910.486,0
353,10.566,3893.168,3903.734,0
354,10.470,3899.537,3910.007,0
355,10.086,3899.569,3909.655,0
356,11.239,3894.480,3905.719,0
357,10.759,3892.528,3903.287,0
358,10.471,3894.672,3905.143,0
359,11.271,3900.721,3911.992,0
360,10.888,3898.096,3908.984,0
361,11.144,3900.144,3911.288,0
362,11.560,3893.968,3905.528,0
363,12.840,3897.105,3909.945,0
364,11.273,3893.840,3905.113,0
365,10.409,3898.352,3908.761,0
366,10.889,3895.472,3906.361,0
367,10.313,3895.537,3905.850,0
368,12.330,3890.480,3902.810,0
369,12.330,3889.200,3901.530,0
370,11.018,3898.352,3909.370,0
371,10.666,3887.664,3898.330,0
372,10.827,3894.896,3905.723,0
373,9.707,3900.496,3910.203,0
374,11.019,3901.969,3912.988,0
375,10.699,3892.177,3902.876,0
376,10.828,3891.408,3902.236,0
377,11.756,3897.776,3909.532,0
378,10.668,3894.544,3905.212,0
379,10.252,3893.969,3904.221,0
380,11.917,3900.464,3912.381,0
381,10.701,3899.568,3910.269,0
382,10.381,3901.425,3911.806,0
383,10.637,3903.281,3913.918,0
384,12.014,3891.728,3903.742,0
385,10.446,3899.440,3909.886,0
386,10.862,3910.321,3921.183,0
387,10.638,3892.080,3902.718,0
388,10.799,3895.952,3906.751,0
389,10.895,3900.048,3910.943,0
390,11.503,3894.480,3905.983,0
391,10.543,3890.704,3901.247,0
392,12.272,3894.064,3906.336,0
393,10.000,3900.816,3910.816,0
394,10.416,3899.856,3910.272,0
395,11.568,3892.496,3904.064,0
396,10.929,3893.744,3904.673,0
397,9.905,3898.896,3908.801,0
398,11.441,3892.496,3903.937,0
399,11.345,3901.489,3912.834,0
400,10.706,3894.032,3904.738,0
401,10.578,3907.120,3917.698,0
402,10.930,3895.056,3905.986,0
403,10.642,3905.809,3916.451,0
404,11.475,3901.424,3912.899,0
405,10.899,3893.264,3904.163,0
406,10.259,3904.529,3914.788,0
407,11.891,3903.217,3915.108,0
408,11.123,3892.753,3903.876,0
409,10.452,3896.432,3906.884,0
410,11.028,3899.664,3910.692,0
411,10.804,3891.536,3902.340,0
412,10.036,3894.961,3904.997,0
413,10.421,3897.040,3907.461,0
414,12.277,3895.184,3907.461,0
415,11.221,3902.993,3914.214,0
416,10.261,3894.929,3905.190,0
417,10.614,3892.432,3903.046,0
418,9.654,3900.272,3909.926,0
419,11.350,3907.537,3918.887,0
420,11.222,3906.417,3917.639,0
421,11.063,3894.256,3905.319,0
422,10.935,3890.352,3901.287,0
423,10.807,3893.328,3904.135,0
424,11.255,3897.201,3908.456,0
425,11.448,3893.904,3905.352,0
426,10.520,3900.816,3911.336,0
427,10.296,3899.249,3909.545,0
428,10.648,3895.153,3905.801,0
429,11.289,3894.736,3906.025,0
430,10.521,3901.680,3912.201,0
431,13.145,3892.336,3905.481,0
432,11.193,3896.625,3907.818,0
433,9.914,3892.208,3902.122,0
434,11.226,3890.608,3901.834,0
435,10.938,3888.944,3899.882,0
436,10.778,3894.737,3905.515,0
437,10.939,3894.864,3905.803,0
438,10.619,3899.920,3910.539,0
439,11.227,3886.864,3898.091,0
440,11.387,3896.465,3907.852,0
441,10.940,3892.752,3903.692,0
442,9.788,3902.288,3912.076,0
443,11.548,3901.841,3913.389,0
444,10.012,3894.609,3904.621,0
445,10.813,3896.528,3907.341,0
446,10.941,3896.272,3907.213,0
447,11.357,3895.856,3907.213,0
448,9.853,3897.809,3907.662,0
449,11.870,3892.112,3903.982,0
450,11.134,3894.160,3905.294,0
451,10.942,3895.344,3906.286,0
452,11.230,3891.697,3902.927,0
453,11.071,3891.088,3902.159,0
454,10.207,3900.944,3911.151,0
455,12.415,3893.616,3906.031,0
456,11.551,3891.697,3903.248,0
457,10.688,3893.808,3904.496,0
458,13.248,3894.832,3908.080,0
459,12.256,3894.256,3906.512,0
460,9.664,3904.817,3914.481,0
461,12.033,3904.752,3916.785,0
462,12.865,3894.256,3907.121,0
463,11.041,3901.265,3912.306,0
464,10.977,3893.617,3904.594,0
465,11.010,3898.064,3909.074,0
466,11.266,3897.264,3908.530,0
467,12.226,3897.680,3909.906,0
468,11.938,3900.817,3912.755,0
469,11.747,3894.800,3906.547,0
470,11.363,3899.472,3910.835,0
471,10.947,3897.904,3908.851,0
472,9.891,3899.569,3909.460,0
473,10.692,3888.816,3899.508,0
474,10.660,3899.248,3909.908,0
475,10.820,3904.689,3915.509,0
476,11.364,3894.961,3906.325,0
477,10.725,3904.720,3915.445,0
478,11.141,3892.496,3903.637,0
479,10.437,3892.272,3902.709,0
480,10.341,3893.489,3903.830,0
481,10.054,3901.680,3911.734,0
482,10.406,3890.000,3900.406,0
483,11.974,3903.473,3915.447,0
484,10.502,3898.257,3908.759,0
485,12.327,3896.624,3908.951,0
486,10.951,3902.480,3913.431,0
487,10.503,3895.152,3905.655,0
488,11.399,3899.793,3911.192,0
489,11.208,3898.480,3909.688,0
490,10.216,3891.120,3901.336,0
491,11.560,3893.360,3904.920,0
492,10.984,3900.209,3911.193,0
493,10.505,3887.312,3897.817,0
494,11.529,3893.008,3904.537,0
495,10.473,3897.040,3907.513,0
496,10.665,3903.729,3914.394,0
497,10.634,3893.776,3904.410,0
498,10.538,3899.184,3909.722,0
499,11.370,3904.305,3915.675,0
500,12.106,3895.409,3907.515,0
501,11.691,3901.968,3913.659,0
502,9.547,3900.944,3910.491,0
503,10.763,3899.504,3910.267,0
504,10.667,3899.857,3910.524,0
505,9.931,3896.369,3906.300,0
506,10.892,3899.792,3910.684,0
507,11.116,3895.600,3906.716,0
508,11.084,3899.185,3910.269,0
509,10.765,3882.543,3893.308,0
510,11.437,3895.440,3906.877,0
511,10.701,3893.840,3904.541,0
512,12.685,3889.616,3902.301,0
513,10.029,3890.257,3900.286,0
514,11.150,3892.656,3903.806,0
515,12.110,3901.520,3913.630,0
516,11.534,3890.320,3901.854,0
517,10.030,3887.889,3897.919,0
518,10.799,3897.040,3907.839,0
519,11.343,3893.968,3905.311,0
520,10.863,3909.393,3920.256,0
521,11.119,3895.729,3906.848,0
522,10.960,3899.792,3910.752,0
523,10.576,3897.584,3908.160,0
524,11.440,3897.745,3909.185,0
525,10.448,3896.785,3907.233,0
526,9.713,3899.440,3909.153,0
527,11.313,3892.720,3904.033,0
528,10.705,3901.681,3912.386,0
529,10.673,3896.593,3907.266,0
530,11.698,3893.776,3905.474,0
531,10.290,3891.440,3901.730,0
532,10.450,3898.193,3908.643,0
533,11.922,3885.777,3897.699,0
534,11.347,3900.976,3912.323,0
535,10.099,3896.816,3906.915,0
536,10.483,3902.641,3913.124,0
537,10.547,3895.921,3906.468,0
538,10.580,3896.624,3907.204,0
539,11.188,3893.872,3905.060,0
540,10.420,3899.089,3909.509,0
541,12.052,3893.681,3905.733,0
542,10.453,3891.056,3901.509,0
543,10.485,3893.392,3903.877,0
544,8.917,3902.577,3911.494,0
545,11.317,3895.665,3906.982,0
546,9.942,3897.168,3907.110,0
547,10.710,3892.624,3903.334,0
548,11.894,3898.577,3910.471,0
549,10.742,3892.369,3903.111,0
550,11.511,3896.368,3907.879,0
551,12.311,3892.432,3904.743,0
552,10.359,3898.193,3908.552,0
553,11.159,3902.353,3913.512,0
554,10.968,3886.960,3897.928,0
555,9.976,3899.600,3909.576,0
556,10.296,3892.944,3903.240,0
557,11.128,3897.265,3908.393,0
558,10.841,3900.656,3911.497,0
559,10.553,3894.928,3905.481,0
560,11.289,3896.433,3907.722,0
561,11.193,3902.545,3913.738,0
562,10.394,3899.568,3909.962,0
563,11.738,3902.544,3914.282,0
564,11.034,3890.288,3901.322,0
565,9.786,3897.777,3907.563,0
566,10.523,3896.560,3907.083,0
567,10.587,3901.168,3911.755,0
568,11.099,3897.489,3908.588,0
569,11.323,3904.433,3915.756,0
570,11.996,3907.504,3919.500,0
571,10.812,3894.896,3905.708,0
572,12.252,3898.097,3910.349,0
573,10.524,3908.785,3919.309,0
574,10.973,3895.408,3906.381,0
575,10.621,3893.168,3903.789,0
576,10.493,3891.824,3902.317,0
577,11.677,3896.177,3907.854,0
578,10.718,3895.728,3906.446,0
579,11.038,3902.384,3913.422,0
580,9.982,3904.401,3914.383,0
581,10.366,3906.961,3917.327,0
582,10.431,3898.928,3909.359,0
583,11.487,3897.040,3908.527,0
584,10.527,3902.929,3913.456,0
585,12.031,3892.209,3904.240,0
586,10.752,3897.872,3908.624,0
587,10.656,3900.720,3911.376,0
588,10.656,3910.801,3921.457,0
589,18.369,3946.673,3965.042,0
590,11.169,3908.432,3919.601,0
591,10.369,3908.049,3918.418,0
592,9.889,3902.481,3912.370,0
593,12.321,3894.449,3906.770,0
594,10.018,3896.080,3906.098,0
595,10.658,3895.888,3906.546,0
596,11.042,3904.657,3915.699,0
597,10.818,3903.281,3914.099,0
598,9.667,3897.456,3907.123,0
599,11.619,3902.608,3914.227,0
