cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,37.766,4130.024,4167.790,0
1,31.150,4015.588,4046.738,0
2,34.551,4017.636,4052.187,0
3,24.224,3973.922,3998.146,0
4,11.944,3918.465,3930.409,0
5,10.993,3921.697,3932.690,0
6,18.362,3996.899,4015.261,0
7,33.603,4027.813,4061.416,0
8,37.356,4042.629,4079.985,0
9,37.045,4024.100,4061.145,0
10,30.238,4001.219,4031.457,0
11,31.430,3983.043,4014.473,0
12,10.670,3942.306,3952.976,0
13,18.424,4053.413,4071.837,0
14,27.681,4013.188,4040.869,0
15,22.025,4015.524,4037.549,0
16,30.002,4021.797,4051.799,0
17,29.115,4028.133,4057.248,0
18,40.484,4032.485,4072.969,0
19,33.261,4030.660,4063.921,0
20,32.598,4008.419,4041.017,0
21,40.063,4019.172,4059.235,0
22,31.143,4030.117,4061.260,0
23,31.600,4031.364,4062.964,0
24,17.080,4039.301,4056.381,0
25,31.778,4021.892,4053.670,0
26,26.474,4053.573,4080.047,0
27,37.427,4037.093,4074.520,0
28,42.748,4037.221,4079.969,0
29,32.933,4013.668,4046.601,0
30,27.213,4030.693,4057.906,0
31,33.270,4029.317,4062.587,0
32,23.999,4026.084,4050.083,0
33,29.736,4016.804,4046.540,0
34,22.896,4020.197,4043.093,0
35,37.818,4036.324,4074.142,0
36,35.938,4055.270,4091.208,0
37,34.411,4032.325,4066.736,0
38,33.780,4025.284,4059.064,0
39,34.173,4029.988,4064.161,0
40,22.981,4001.092,4024.073,0
41,17.550,4006.531,4024.081,0
42,31.223,4033.221,4064.444,0
43,37.216,4035.109,4072.325,0
44,30.697,4030.180,4060.877,0
45,31.281,4018.468,4049.749,0
46,33.306,4015.044,4048.350,0
47,11.682,3959.426,3971.108,0
48,18.667,3979.075,3997.742,0
49,35.381,4006.307,4041.688,0
50,25.117,3986.307,4011.424,0
51,17.414,3996.547,4013.961,0
52,37.391,4032.165,4069.556,0
53,42.168,4038.661,4080.829,0
54,39.617,4027.236,4066.853,0
55,29.833,4014.276,4044.109,0
56,30.418,4036.901,4067.319,0
57,22.267,4020.164,4042.431,0
58,27.492,4018.724,4046.216,0
59,22.028,3970.915,3992.943,0
60,12.181,3911.072,3923.253,0
61,11.773,3893.664,3905.437,0
62,11.142,3891.936,3903.078,0
63,10.927,3920.961,3931.888,0
64,17.272,3996.387,4013.659,0
65,34.241,4034.533,4068.774,0
66,54.187,4091.910,4146.097,0
67,37.587,4012.548,4050.135,0
68,36.988,4006.116,4043.104,0
69,30.884,4017.604,4048.488,0
70,18.605,4073.766,4092.371,0
71,36.566,4032.421,4068.987,0
72,35.231,4011.812,4047.043,0
73,36.488,4026.692,4063.180,0
74,44.113,4050.437,4094.550,0
75,35.289,4010.308,4045.597,0
76,30.914,4019.012,4049.926,0
77,31.947,4027.588,4059.535,0
78,24.627,4033.381,4058.008,0
79,30.300,4020.869,4051.169,0
80,24.965,4035.493,4060.458,0
81,36.750,4036.837,4073.587,0
82,41.719,4048.453,4090.172,0
83,39.040,4032.292,4071.332,0
84,33.224,4034.693,4067.917,0
85,31.761,4021.892,4053.653,0
86,25.113,4022.565,4047.678,0
87,36.579,4050.949,4087.528,0
88,33.291,4022.020,4055.311,0
89,24.948,4010.083,4035.031,0
90,24.188,4026.405,4050.593,0
91,36.262,4017.668,4053.930,0
92,40.590,4031.909,4072.499,0
93,36.695,4043.173,4079.868,0
94,27.775,4008.868,4036.643,0
95,28.040,3973.827,4001.867,0
96,18.353,3998.403,4016.756,0
97,36.314,4040.197,4076.511,0
98,33.379,4021.412,4054.791,0
99,35.851,4028.517,4064.368,0
100,33.332,4037.317,4070.649,0
101,32.509,4011.524,4044.033,0
102,25.733,4040.517,4066.250,0
103,39.854,4040.453,4080.307,0
