cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,17.366,3975.863,3993.229,0
1,12.513,3947.095,3959.608,0
2,13.261,3934.518,3947.779,0
3,11.864,3940.438,3952.302,0
4,12.964,3919.989,3932.953,0
5,12.815,3929.590,3942.405,0
6,13.179,3931.413,3944.592,0
7,13.318,3929.622,3942.940,0
8,13.906,3943.766,3957.672,0
9,12.989,3938.870,3951.859,0
10,12.552,3930.646,3943.198,0
11,12.148,3936.854,3949.002,0
12,12.831,3924.982,3937.813,0
13,12.171,3938.422,3950.593,0
14,13.398,3928.950,3942.348,0
15,12.578,3939.510,3952.088,0
16,12.141,3927.190,3939.331,0
17,12.089,3937.717,3949.806,0
18,13.604,3928.918,3942.522,0
19,12.271,3935.542,3947.813,0
20,12.827,3924.213,3937.040,0
21,11.622,3944.566,3956.188,0
22,12.850,3925.525,3938.375,0
23,13.757,3940.342,3954.099,0
24,13.801,3957.270,3971.071,0
25,14.516,3963.639,3978.155,0
26,14.592,3967.446,3982.038,0
27,13.547,3976.599,3990.146,0
28,14.774,3972.247,3987.021,0
29,14.722,3986.231,4000.953,0
30,14.605,3980.376,3994.981,0
31,13.625,3983.447,3997.072,0
32,13.092,3972.311,3985.403,0
33,13.680,3981.527,3995.207,0
34,15.099,3978.487,3993.586,0
35,12.870,3982.200,3995.070,0
36,14.546,3981.495,3996.041,0
37,13.053,3984.504,3997.557,0
38,13.513,3974.359,3987.872,0
39,13.524,3973.431,3986.955,0
40,14.240,3969.431,3983.671,0
41,13.515,3970.391,3983.906,0
42,14.007,3950.326,3964.333,0
43,15.266,4021.849,4037.115,0
44,13.165,3953.911,3967.076,0
45,19.001,4068.698,4087.699,0
46,14.596,3965.431,3980.027,0
47,18.288,4019.032,4037.320,0
48,23.132,4090.138,4113.270,0
49,17.223,4053.049,4070.272,0
50,23.794,4100.123,4123.917,0
51,28.446,4174.365,4202.811,0
52,11.977,3945.334,3957.311,0
53,28.085,4225.118,4253.203,0
54,14.944,4019.928,4034.872,0
55,12.907,4044.633,4057.540,0
56,23.831,4147.228,4171.059,0
57,15.138,3990.616,4005.754,0
58,32.142,4216.959,4249.101,0
59,13.465,3960.087,3973.552,0
60,25.957,4150.652,4176.609,0
61,23.568,4123.612,4147.180,0
62,39.228,4156.573,4195.801,0
63,14.695,4004.600,4019.295,0
64,40.467,4145.020,4185.487,0
65,13.246,3995.191,4008.437,0
66,13.385,3977.143,3990.528,0
67,36.245,4173.053,4209.298,0
68,14.624,4011.800,4026.424,0
69,32.172,4178.653,4210.825,0
70,40.600,4211.422,4252.022,0
71,34.115,4183.645,4217.760,0
72,39.343,4168.348,4207.691,0
73,39.930,4185.469,4225.399,0
74,38.117,4119.708,4157.825,0
75,29.233,4110.843,4140.076,0
76,39.516,4141.372,4180.888,0
77,12.775,3988.568,4001.343,0
78,32.659,4111.867,4144.526,0
79,15.230,4023.673,4038.903,0
80,37.674,4110.395,4148.069,0
81,34.837,4132.092,4166.929,0
82,15.296,3979.064,3994.360,0
83,33.420,4126.396,4159.816,0
84,35.448,4060.089,4095.537,0
85,13.091,3976.631,3989.722,0
86,37.199,4131.483,4168.682,0
87,32.634,4115.771,4148.405,0
88,35.174,4126.427,4161.601,0
89,34.097,4121.627,4155.724,0
90,35.516,4106.683,4142.199,0
91,29.160,4108.987,4138.147,0
92,35.027,4075.514,4110.541,0
93,24.222,4063.706,4087.928,0
94,35.786,4109.627,4145.413,0
95,19.093,3994.936,4014.029,0
96,37.825,4089.851,4127.676,0
97,36.621,4094.010,4130.631,0
98,14.071,3952.759,3966.830,0
99,32.739,4083.611,4116.350,0
100,35.119,4071.386,4106.505,0
101,13.690,3985.079,3998.769,0
102,12.997,3965.047,3978.044,0
103,12.529,3945.398,3957.927,0
104,12.796,3952.694,3965.490,0
105,13.383,3943.863,3957.246,0
106,12.915,3958.518,3971.433,0
107,13.054,3969.911,3982.965,0
108,12.074,3948.918,3960.992,0
109,19.189,3954.295,3973.484,0
110,16.673,3944.630,3961.303,0
111,18.604,3947.126,3965.730,0
112,15.128,3957.942,3973.070,0
113,18.019,3949.622,3967.641,0
114,12.750,3953.559,3966.309,0
115,16.634,3943.830,3960.464,0
116,18.949,3953.687,3972.636,0
117,15.761,3940.406,3956.167,0
118,17.532,3946.807,3964.339,0
119,16.968,3947.414,3964.382,0
120,20.723,3953.495,3974.218,0
121,17.951,3943.702,3961.653,0
122,21.642,3969.591,3991.233,0
123,22.870,3998.903,4021.773,0
124,17.377,3939.606,3956.983,0
125,23.853,4016.056,4039.909,0
126,24.120,4002.136,4026.256,0
127,25.060,4030.456,4055.516,0
128,17.775,3962.614,3980.389,0
129,20.474,3999.736,4020.210,0
130,41.478,4143.324,4184.802,0
131,16.177,3996.312,4012.489,0
132,34.237,4111.163,4145.400,0
133,16.328,3963.639,3979.967,0
134,37.908,4166.109,4204.017,0
135,16.831,4010.200,4027.031,0
136,13.898,3984.920,3998.818,0
