cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,19.856,3986.994,4006.850,0
1,20.205,3972.082,3992.287,0
2,16.107,3954.257,3970.364,0
3,18.345,3943.344,3961.689,0
4,15.462,3952.977,3968.439,0
5,16.964,3941.361,3958.325,0
6,15.234,3949.393,3964.627,0
7,17.311,3944.369,3961.680,0
8,14.877,3953.809,3968.686,0
9,16.891,3933.040,3949.931,0
10,14.744,3937.393,3952.137,0
11,16.374,3934.417,3950.791,0
12,14.868,3944.497,3959.365,0
13,16.626,3934.064,3950.690,0
14,13.647,3956.145,3969.792,0
15,18.189,3957.809,3975.998,0
16,15.755,3951.313,3967.068,0
17,19.304,3957.009,3976.313,0
18,15.814,3964.977,3980.791,0
19,18.500,3947.857,3966.357,0
20,13.537,3936.945,3950.482,0
21,13.247,3936.464,3949.711,0
22,12.573,3946.832,3959.405,0
23,15.706,3940.017,3955.723,0
24,14.136,3943.473,3957.609,0
25,12.118,3935.696,3947.814,0
26,13.811,3949.233,3963.044,0
27,15.473,3936.881,3952.354,0
28,14.223,3938.288,3952.511,0
29,13.548,3922.257,3935.805,0
30,16.266,3953.841,3970.107,0
31,18.088,3939.152,3957.240,0
32,14.406,3946.832,3961.238,0
33,13.443,3923.696,3937.139,0
34,12.513,3936.720,3949.233,0
35,14.623,3947.760,3962.383,0
36,12.156,3954.577,3966.733,0
37,13.370,3927.088,3940.458,0
38,13.656,3948.720,3962.376,0
39,14.005,3936.081,3950.086,0
40,12.467,3944.369,3956.836,0
41,14.225,3933.008,3947.233,0
42,12.558,3938.353,3950.911,0
43,13.484,3919.664,3933.148,0
44,12.842,3929.616,3942.458,0
45,13.095,3915.152,3928.247,0
46,11.973,3936.497,3948.470,0
47,14.275,3928.400,3942.675,0
48,14.561,3945.712,3960.273,0
49,16.926,3926.032,3942.958,0
50,14.012,3946.257,3960.269,0
51,15.610,3933.200,3948.810,0
52,13.591,3955.217,3968.808,0
53,21.589,3966.705,3988.294,0
54,16.083,3964.433,3980.516,0
55,17.584,3938.129,3955.713,0
56,15.022,3959.601,3974.623,0
57,17.868,3949.777,3967.645,0
58,16.169,3956.849,3973.018,0
59,18.695,3952.913,3971.608,0
60,16.677,3956.753,3973.430,0
61,17.891,3940.368,3958.259,0
62,15.488,3950.289,3965.777,0
63,19.038,3950.801,3969.839,0
64,14.364,3943.056,3957.420,0
65,17.273,3950.641,3967.914,0
66,15.671,3943.089,3958.760,0
67,16.309,3932.944,3949.253,0
68,14.322,3954.033,3968.355,0
69,17.392,3937.521,3954.913,0
70,15.406,3940.240,3955.646,0
71,18.731,3958.194,3976.925,0
72,13.865,3958.993,3972.858,0
73,13.735,3936.592,3950.327,0
74,12.900,3942.769,3955.669,0
75,14.402,3934.064,3948.466,0
76,13.312,3942.160,3955.472,0
77,12.925,3924.753,3937.678,0
78,14.427,3945.169,3959.596,0
79,14.201,3930.032,3944.233,0
80,15.927,3950.128,3966.055,0
81,13.652,3921.904,3935.556,0
82,15.634,3957.809,3973.443,0
83,18.352,3937.232,3955.584,0
84,15.469,3941.009,3956.478,0
85,13.387,3926.256,3939.643,0
86,12.553,3940.656,3953.209,0
87,14.054,3937.425,3951.479,0
88,12.836,3949.105,3961.941,0
89,13.442,3933.648,3947.090,0
90,12.863,3944.817,3957.680,0
91,13.661,3921.680,3935.341,0
92,13.179,3931.952,3945.131,0
93,14.041,3925.104,3939.145,0
94,12.566,3934.097,3946.663,0
95,13.588,3924.240,3937.828,0
96,12.466,3939.632,3952.098,0
97,13.967,3925.136,3939.103,0
98,13.037,3935.248,3948.285,0
99,15.371,3933.840,3949.211,0
100,13.608,3943.345,3956.953,0
101,17.062,3942.257,3959.319,0
102,13.988,3941.712,3955.700,0
103,15.457,3929.841,3945.298,0
104,13.503,3942.065,3955.568,0
105,20.381,3956.145,3976.526,0
106,17.531,3966.961,3984.492,0
107,21.048,3961.810,3982.858,0
108,15.574,3957.361,3972.935,0
109,17.460,3947.312,3964.772,0
110,15.761,3964.018,3979.779,0
111,18.319,3945.201,3963.520,0
112,14.445,3943.984,3958.429,0
113,17.450,3942.801,3960.251,0
114,15.368,3947.249,3962.617,0
115,17.126,3939.344,3956.470,0
116,16.867,3948.337,3965.204,0
117,17.761,3930.544,3948.305,0
118,14.687,3945.489,3960.176,0
119,16.669,3932.496,3949.165,0
120,14.746,3933.393,3948.139,0
121,16.984,3932.368,3949.352,0
122,16.438,3963.729,3980.167,0
123,19.923,3947.793,3967.716,0
124,13.201,3951.441,3964.642,0
125,13.839,3936.752,3950.591,0
126,12.716,3949.777,3962.493,0
127,16.202,3931.536,3947.738,0
128,15.272,3942.768,3958.040,0
129,15.653,3930.513,3946.166,0
130,14.659,3944.945,3959.604,0
131,15.585,3935.824,3951.409,0
132,13.950,3944.305,3958.255,0
133,15.356,3935.249,3950.605,0
134,11.706,3944.848,3956.554,0
135,19.608,3952.497,3972.105,0
136,15.413,3954.001,3969.414,0
137,14.035,3928.688,3942.723,0
138,13.201,3933.008,3946.209,0
139,13.614,3914.320,3927.934,0
140,12.876,3936.048,3948.924,0
141,14.346,3917.360,3931.706,0
142,12.743,3938.385,3951.128,0
143,15.397,3952.305,3967.702,0
144,12.675,3950.737,3963.412,0
145,13.888,3923.312,3937.200,0
146,12.958,3936.945,3949.903,0
147,15.420,3936.528,3951.948,0
148,12.793,3945.553,3958.346,0
149,13.495,3921.936,3935.431,0
150,12.245,3941.552,3953.797,0
