cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,14.327,3940.278,3954.605,0
1,12.515,3907.509,3920.024,0
2,11.247,3895.989,3907.236,0
3,12.092,3892.181,3904.273,0
4,11.208,3892.789,3903.997,0
5,11.733,3894.357,3906.090,0
6,10.881,3894.293,3905.174,0
7,12.493,3889.077,3901.570,0
8,12.858,3890.517,3903.375,0
9,12.006,3896.277,3908.283,0
10,11.923,3892.628,3904.551,0
11,12.127,3900.053,3912.180,0
12,10.635,3895.381,3906.016,0
13,11.832,3891.733,3903.565,0
14,12.068,3891.381,3903.449,0
15,10.832,3894.741,3905.573,0
16,10.717,3887.573,3898.290,0
17,10.409,3881.557,3891.966,0
18,11.222,3894.709,3905.931,0
19,11.042,3888.469,3899.511,0
20,11.854,3885.077,3896.931,0
21,12.155,3889.653,3901.808,0
22,11.143,3884.213,3895.356,0
23,10.548,3886.804,3897.352,0
24,10.944,3885.781,3896.725,0
25,10.412,3878.613,3889.025,0
26,11.161,3894.069,3905.230,0
27,11.685,3887.893,3899.578,0
28,11.698,3888.788,3900.486,0
29,10.846,3881.653,3892.499,0
30,10.602,3888.437,3899.039,0
31,12.663,3890.485,3903.148,0
32,11.523,3885.973,3897.496,0
33,10.928,3892.405,3903.333,0
34,10.236,3879.540,3889.776,0
35,12.488,3879.157,3891.645,0
36,10.293,3882.452,3892.745,0
37,10.721,3886.965,3897.686,0
38,12.558,3892.373,3904.931,0
39,10.074,3885.845,3895.919,0
40,11.238,3894.453,3905.691,0
41,11.635,3901.013,3912.648,0
42,11.871,3888.469,3900.340,0
43,12.300,3889.940,3902.240,0
44,10.584,3884.917,3895.501,0
45,11.204,3886.197,3897.401,0
46,12.433,3893.813,3906.246,0
47,10.781,3888.949,3899.730,0
48,10.762,3883.380,3894.142,0
49,10.742,3892.917,3903.659,0
50,12.258,3888.917,3901.175,0
51,10.703,3894.421,3905.124,0
52,11.643,3880.981,3892.624,0
53,11.624,3882.996,3894.620,0
54,10.900,3887.285,3898.185,0
55,11.776,3889.141,3900.917,0
56,12.013,3894.133,3906.146,0
57,12.665,3888.373,3901.038,0
58,10.981,3884.917,3895.898,0
59,10.674,3884.981,3895.655,0
60,11.614,3893.525,3905.139,0
61,11.339,3885.972,3897.311,0
62,11.767,3894.997,3906.764,0
63,11.523,3892.917,3904.440,0
64,12.208,3885.333,3897.541,0
65,10.428,3893.749,3904.177,0
66,10.729,3892.917,3903.646,0
67,10.933,3882.485,3893.418,0
68,10.593,3882.325,3892.918,0
69,11.374,3884.501,3895.875,0
70,11.578,3885.685,3897.263,0
71,11.879,3884.980,3896.859,0
72,10.355,3882.485,3892.840,0
73,11.743,3885.397,3897.140,0
74,12.268,3885.717,3897.985,0
75,10.520,3888.085,3898.605,0
76,11.333,3882.676,3894.009,0
77,11.793,3888.117,3899.910,0
78,11.101,3885.461,3896.562,0
79,10.474,3886.837,3897.311,0
80,11.030,3893.237,3904.267,0
81,11.491,3886.836,3898.327,0
82,11.151,3889.173,3900.324,0
83,9.979,3884.725,3894.704,0
84,10.280,3894.101,3904.381,0
85,10.324,3891.541,3901.865,0
86,11.873,3884.308,3896.181,0
87,11.245,3885.109,3896.354,0
88,10.521,3880.949,3891.470,0
89,12.646,3892.405,3905.051,0
90,10.962,3884.629,3895.591,0
91,11.455,3884.276,3895.731,0
92,10.987,3875.988,3886.975,0
93,12.087,3895.157,3907.244,0
94,11.044,3893.909,3904.953,0
95,11.632,3886.261,3897.893,0
96,10.716,3890.421,3901.137,0
97,11.657,3896.437,3908.094,0
98,11.157,3888.757,3899.914,0
99,11.586,3893.685,3905.271,0
100,11.534,3887.861,3899.395,0
101,11.066,3886.325,3897.391,0
102,10.471,3882.644,3893.115,0
103,10.803,3894.741,3905.544,0
104,10.976,3892.916,3903.892,0
105,10.892,3888.085,3898.977,0
106,10.744,3878.293,3889.037,0
107,10.085,3896.949,3907.034,0
108,11.089,3896.725,3907.814,0
109,11.357,3888.629,3899.986,0
110,11.914,3888.725,3900.639,0
111,10.006,3894.421,3904.427,0
112,12.451,3877.172,3889.623,0
113,11.439,3887.861,3899.300,0
114,11.643,3895.541,3907.184,0
115,10.856,3890.581,3901.437,0
