cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,18.071,4023.544,4041.615,0
1,14.306,3961.239,3975.545,0
2,13.710,3968.758,3982.468,0
3,14.841,3956.054,3970.895,0
4,14.532,3978.104,3992.636,0
5,15.664,3966.455,3982.119,0
6,12.955,3957.591,3970.546,0
7,13.479,3959.190,3972.669,0
8,13.042,3957.111,3970.153,0
9,13.950,3954.998,3968.948,0
10,13.289,3961.143,3974.432,0
11,15.220,3970.775,3985.995,0
12,14.336,3955.190,3969.526,0
13,13.323,3957.495,3970.818,0
14,19.799,3977.815,3997.614,0
15,13.122,3961.655,3974.777,0
16,19.214,3960.950,3980.164,0
17,19.001,3968.887,3987.888,0
18,12.964,3953.975,3966.939,0
19,19.248,3957.815,3977.063,0
20,20.412,3968.982,3989.394,0
21,14.663,3955.766,3970.429,0
22,17.490,3954.423,3971.913,0
23,14.398,3955.190,3969.588,0
24,22.473,3979.319,4001.792,0
25,20.213,3950.998,3971.211,0
26,16.960,3955.862,3972.822,0
27,22.700,3972.823,3995.523,0
28,20.151,3969.911,3990.062,0
29,19.074,3952.375,3971.449,0
30,21.422,3982.135,4003.557,0
31,22.137,3962.839,3984.976,0
32,11.781,3959.030,3970.811,0
33,19.120,3970.967,3990.087,0
34,19.868,3975.703,3995.571,0
35,12.519,3950.006,3962.525,0
36,17.395,3970.007,3987.402,0
37,20.286,3971.479,3991.765,0
38,15.562,3950.294,3965.856,0
39,21.365,3975.223,3996.588,0
40,19.425,3965.078,3984.503,0
41,20.780,3983.543,4004.323,0
42,21.176,3966.806,3987.982,0
43,12.899,3951.606,3964.505,0
44,20.078,3983.128,4003.206,0
45,22.106,3968.151,3990.257,0
46,19.749,3963.607,3983.356,0
47,13.681,3947.862,3961.543,0
48,20.316,3974.807,3995.123,0
49,13.863,3951.959,3965.822,0
50,19.091,3983.895,4002.986,0
51,14.622,3956.119,3970.741,0
52,19.114,3964.855,3983.969,0
53,13.301,3951.126,3964.427,0
54,15.137,3962.070,3977.207,0
55,13.836,3942.518,3956.354,0
56,13.527,3954.999,3968.526,0
57,13.027,3967.927,3980.954,0
58,12.878,3952.151,3965.029,0
59,14.394,3962.038,3976.432,0
60,13.445,3954.167,3967.612,0
61,14.705,3954.070,3968.775,0
62,14.076,3959.671,3973.747,0
63,15.271,3950.359,3965.630,0
64,15.059,3971.063,3986.122,0
65,13.374,3957.687,3971.061,0
66,13.770,3958.166,3971.936,0
67,14.357,3950.134,3964.491,0
68,13.441,3949.334,3962.775,0
69,14.828,3939.158,3953.986,0
70,12.887,3965.911,3978.798,0
71,16.067,3955.190,3971.257,0
72,14.574,3964.471,3979.045,0
73,14.202,3952.054,3966.256,0
74,13.893,3956.791,3970.684,0
75,14.705,3959.350,3974.055,0
76,14.140,3973.047,3987.187,0
77,14.408,3954.230,3968.638,0
78,15.923,3968.567,3984.490,0
79,15.391,3969.622,3985.013,0
80,13.034,3949.334,3962.368,0
81,15.189,3962.647,3977.836,0
82,13.633,3961.974,3975.607,0
83,13.580,3953.783,3967.363,0
84,12.824,3946.454,3959.278,0
85,14.211,3943.670,3957.881,0
86,12.526,3947.767,3960.293,0
87,14.106,3956.630,3970.736,0
88,13.541,3958.039,3971.580,0
89,15.921,3966.807,3982.728,0
90,12.668,3957.271,3969.939,0
91,13.768,3948.374,3962.142,0
92,15.859,3968.631,3984.490,0
93,13.823,3941.110,3954.933,0
94,13.930,3956.375,3970.305,0
95,16.822,3962.678,3979.500,0
96,14.209,3969.143,3983.352,0
97,13.964,3977.144,3991.108,0
98,12.312,3959.894,3972.206,0
99,13.891,3948.087,3961.978,0
100,15.471,3948.118,3963.589,0
101,20.986,3966.295,3987.281,0
102,18.790,3970.231,3989.021,0
103,12.785,3938.390,3951.175,0
104,19.549,3974.935,3994.484,0
105,16.040,3972.503,3988.543,0
106,18.228,3956.662,3974.890,0
107,19.839,3967.831,3987.670,0
108,20.907,3978.519,3999.426,0
109,12.470,3951.510,3963.980,0
110,18.562,3973.047,3991.609,0
111,13.677,3957.686,3971.363,0
112,12.856,3957.527,3970.383,0
113,13.220,3950.070,3963.290,0
114,12.783,3944.374,3957.157,0
115,13.723,3944.086,3957.809,0
116,13.542,3947.062,3960.604,0
117,13.905,3957.303,3971.208,0
118,15.357,3961.271,3976.628,0
119,15.432,3940.342,3955.774,0
120,13.876,3962.903,3976.779,0
121,13.055,3947.862,3960.917,0
122,16.683,3976.567,3993.250,0
123,14.038,3963.767,3977.805,0
124,14.306,3959.478,3973.784,0
125,16.397,3969.943,3986.340,0
126,15.193,3951.766,3966.959,0
127,14.820,3950.838,3965.658,0
128,14.703,3961.079,3975.782,0
129,14.395,3951.382,3965.777,0
130,14.854,3966.679,3981.533,0
131,14.162,3962.391,3976.553,0
132,13.405,3960.727,3974.132,0
133,12.649,3943.158,3955.807,0
134,13.012,3954.679,3967.691,0
135,13.184,3944.854,3958.038,0
136,13.771,3951.702,3965.473,0
137,14.615,3957.110,3971.725,0
138,15.170,3957.175,3972.345,0
139,14.189,3965.623,3979.812,0
140,18.073,3962.871,3980.944,0
141,22.661,3969.654,3992.315,0
142,13.040,3956.310,3969.350,0
143,18.267,3946.935,3965.202,0
144,20.359,3973.783,3994.142,0
145,13.970,3958.551,3972.521,0
146,18.014,3960.246,3978.260,0
147,14.665,3968.023,3982.688,0
148,13.237,3949.974,3963.211,0
149,14.048,3969.687,3983.735,0
150,12.555,3952.855,3965.410,0
151,14.615,3967.767,3982.382,0
152,13.858,3963.543,3977.401,0
153,15.182,3961.014,3976.196,0
154,17.433,3968.279,3985.712,0
155,16.069,3959.894,3975.963,0
156,13.136,3954.839,3967.975,0
157,14.716,3963.574,3978.290,0
158,14.087,3959.319,3973.406,0
159,15.763,3974.039,3989.802,0
160,17.182,3982.327,3999.509,0
161,14.569,3968.279,3982.848,0
162,14.101,3953.974,3968.075,0
163,14.496,3942.166,3956.662,0
164,12.812,3961.078,3973.890,0
165,14.167,3950.679,3964.846,0
166,11.971,3950.006,3961.977,0
167,12.398,3954.807,3967.205,0
168,12.154,3950.390,3962.544,0
169,20.037,3963.703,3983.740,0
170,16.913,3973.559,3990.472,0
171,18.108,3961.495,3979.603,0
172,13.031,3954.615,3967.646,0
173,19.667,3968.983,3988.650,0
174,18.335,3951.030,3969.365,0
175,14.378,3951.670,3966.048,0
176,13.973,3961.687,3975.660,0
177,13.793,3951.830,3965.623,0
178,14.828,3955.863,3970.691,0
179,13.656,3953.270,3966.926,0
180,21.603,3972.855,3994.458,0
181,15.471,3982.359,3997.830,0
182,18.426,3956.247,3974.673,0
183,22.054,3967.126,3989.180,0
184,12.337,3957.686,3970.023,0
185,18.268,3958.391,3976.659,0
186,13.960,3952.950,3966.910,0
187,22.067,3969.591,3991.658,0
188,16.959,3947.894,3964.853,0
189,22.154,3964.663,3986.817,0
190,20.374,3972.343,3992.717,0
191,18.753,3960.951,3979.704,0
192,20.749,3973.687,3994.436,0
193,21.880,3963.159,3985.039,0
194,16.547,3960.311,3976.858,0
195,21.871,3977.527,3999.398,0
196,18.330,3965.815,3984.145,0
197,19.590,3961.655,3981.245,0
198,17.809,3962.647,3980.456,0
199,18.685,3955.734,3974.419,0
200,20.136,3957.431,3977.567,0
201,20.276,3963.447,3983.723,0
202,18.559,3965.303,3983.862,0
203,20.395,3982.775,4003.170,0
204,18.870,3978.583,3997.453,0
205,17.890,3959.318,3977.208,0
206,18.477,3979.287,3997.764,0
207,20.057,3977.207,3997.264,0
208,17.284,3962.039,3979.323,0
209,19.856,3966.582,3986.438,0
210,18.971,3952.950,3971.921,0
211,18.822,3954.999,3973.821,0
212,19.314,3972.855,3992.169,0
213,18.845,3954.135,3972.980,0
214,17.801,3959.158,3976.959,0
215,20.116,3961.207,3981.323,0
216,16.832,3955.350,3972.182,0
217,21.067,3970.775,3991.842,0
218,18.455,3965.718,3984.173,0
