cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,55.602,4268.379,4323.981,0
1,20.913,4157.240,4178.153,0
2,15.633,4149.175,4164.808,0
3,16.657,4130.775,4147.432,0
4,16.209,4061.237,4077.446,0
5,16.625,4121.751,4138.376,0
6,13.201,4122.487,4135.688,0
7,15.505,4040.693,4056.198,0
8,15.121,4062.933,4078.054,0
9,18.641,4053.621,4072.262,0
10,15.697,4062.101,4077.798,0
11,14.065,3994.675,4008.740,0
12,17.009,3999.956,4016.965,0
13,15.345,4003.700,4019.045,0
14,11.665,4037.749,4049.414,0
15,15.954,4055.284,4071.238,0
16,18.674,4074.965,4093.639,0
17,17.202,4076.149,4093.351,0
18,18.226,4014.323,4032.549,0
19,14.226,4011.443,4025.669,0
20,14.098,4011.763,4025.861,0
21,15.026,4018.004,4033.030,0
22,14.642,4023.956,4038.598,0
23,16.530,4042.452,4058.982,0
24,12.626,4046.805,4059.431,0
25,16.370,4055.189,4071.559,0
26,14.898,4008.020,4022.918,0
27,14.866,3997.267,4012.133,0
28,15.346,4030.420,4045.766,0
29,12.882,4026.292,4039.174,0
30,15.378,4004.276,4019.654,0
31,19.795,4058.836,4078.631,0
32,19.411,4030.580,4049.991,0
33,14.290,3994.708,4008.998,0
34,12.594,3980.115,3992.709,0
35,14.099,3978.770,3992.869,0
36,11.987,4011.219,4023.206,0
37,13.139,4015.859,4028.998,0
38,14.035,4026.228,4040.263,0
39,14.899,4029.780,4044.679,0
40,13.939,4031.092,4045.031,0
41,13.587,3991.187,4004.774,0
42,13.171,3986.387,3999.558,0
43,13.363,3987.955,4001.318,0
44,12.467,3977.875,3990.342,0
45,13.811,3980.627,3994.438,0
46,12.627,3987.699,4000.326,0
47,13.107,3976.307,3989.414,0
48,14.195,3975.283,3989.478,0
49,13.139,3990.163,4003.302,0
50,12.531,3981.235,3993.766,0
51,12.211,3989.363,4001.574,0
52,13.139,3993.043,4006.182,0
53,13.811,4025.300,4039.111,0
54,13.268,4020.723,4033.991,0
55,13.716,4013.779,4027.495,0
56,12.852,3983.762,3996.614,0
57,14.004,3983.090,3997.094,0
58,13.524,3979.090,3992.614,0
59,14.292,3978.034,3992.326,0
60,13.012,3988.275,4001.287,0
61,12.052,3981.011,3993.063,0
62,13.524,3982.963,3996.487,0
63,13.364,3978.803,3992.167,0
64,12.788,3993.075,4005.863,0
65,26.356,4075.990,4102.346,0
66,11.476,4006.772,4018.248,0
67,11.476,3970.835,3982.311,0
68,11.860,3966.930,3978.790,0
69,11.348,3952.114,3963.462,0
70,12.980,3949.074,3962.054,0
71,10.740,3941.746,3952.486,0
72,11.220,3937.298,3948.518,0
73,11.700,3936.306,3948.006,0
74,12.597,3947.793,3960.390,0
75,13.013,3940.593,3953.606,0
76,11.125,3942.769,3953.894,0
77,13.173,3938.865,3952.038,0
78,13.909,3944.273,3958.182,0
79,11.381,3950.162,3961.543,0
80,14.229,3950.450,3964.679,0
81,12.757,3939.409,3952.166,0
82,11.253,3945.938,3957.191,0
83,12.021,3932.337,3944.358,0
84,11.957,3942.450,3954.407,0
85,12.789,3940.498,3953.287,0
86,11.317,3935.986,3947.303,0
87,10.613,3956.626,3967.239,0
88,12.405,3939.538,3951.943,0
89,18.037,3974.163,3992.200,0
90,20.694,3973.298,3993.992,0
91,17.494,3969.330,3986.824,0
92,20.022,3979.954,3999.976,0
93,18.454,3966.418,3984.872,0
94,18.646,3977.874,3996.520,0
95,18.486,3978.802,3997.288,0
96,21.622,3964.818,3986.440,0
97,17.494,3978.194,3995.688,0
98,21.046,3980.115,4001.161,0
99,17.270,3979.891,3997.161,0
100,20.022,3978.227,3998.249,0
101,18.966,3976.563,3995.529,0
102,20.534,3971.027,3991.561,0
103,18.294,3978.707,3997.001,0
104,20.822,3971.987,3992.809,0
105,19.830,3968.307,3988.137,0
106,19.286,3974.547,3993.833,0
107,18.742,3976.467,3995.209,0
108,20.983,3979.826,4000.809,0
109,20.503,3982.162,4002.665,0
110,21.271,3976.210,3997.481,0
111,21.719,3978.834,4000.553,0
112,21.111,3987.155,4008.266,0
113,18.967,3978.418,3997.385,0
114,20.695,3973.394,3994.089,0
115,19.703,3967.250,3986.953,0
116,20.823,3965.234,3986.057,0
117,17.175,3965.074,3982.249,0
118,20.599,3975.123,3995.722,0
119,19.863,3969.522,3989.385,0
120,20.791,3975.411,3996.202,0
121,19.639,3969.715,3989.354,0
122,21.623,3971.347,3992.970,0
123,17.911,3980.531,3998.442,0
124,20.407,3985.555,4005.962,0
125,20.855,3981.043,4001.898,0
126,21.176,3978.994,4000.170,0
127,18.039,3980.147,3998.186,0
128,18.648,3976.018,3994.666,0
129,19.192,3977.170,3996.362,0
130,19.128,3983.410,4002.538,0
131,19.224,3973.810,3993.034,0
132,18.424,3972.658,3991.082,0
133,18.264,3968.594,3986.858,0
134,19.672,3971.218,3990.890,0
135,17.496,3973.778,3991.274,0
136,20.600,3976.883,3997.483,0
137,18.104,3972.114,3990.218,0
138,20.760,3966.770,3987.530,0
139,17.752,3974.483,3992.235,0
140,20.600,3970.995,3991.595,0
141,17.528,3964.658,3982.186,0
142,19.192,3976.019,3995.211,0
143,19.736,3982.067,4001.803,0
144,18.136,3969.907,3988.043,0
145,17.688,3969.459,3987.147,0
146,21.017,3968.498,3989.515,0
147,19.353,3979.698,3999.051,0
148,18.969,3968.050,3987.019,0
149,17.433,3966.418,3983.851,0
150,19.289,3968.306,3987.595,0
151,16.921,3974.898,3991.819,0
152,21.017,3960.242,3981.259,0
153,17.753,3970.290,3988.043,0
154,20.185,3965.234,3985.419,0
155,18.553,3968.402,3986.955,0
156,19.737,3965.970,3985.707,0
157,16.089,3971.666,3987.755,0
158,18.745,3970.323,3989.068,0
159,17.913,3969.363,3987.276,0
160,18.649,3962.290,3980.939,0
161,18.617,3966.643,3985.260,0
162,20.409,3966.995,3987.404,0
163,17.145,3966.995,3984.140,0
164,19.481,3966.483,3985.964,0
165,16.697,3978.227,3994.924,0
166,18.330,3976.018,3994.348,0
167,17.882,3967.666,3985.548,0
168,20.666,3965.426,3986.092,0
169,12.954,3939.889,3952.843,0
170,11.674,3938.801,3950.475,0
171,12.346,3935.025,3947.371,0
172,11.450,3937.969,3949.419,0
173,18.938,3959.442,3978.380,0
174,17.626,3970.034,3987.660,0
175,17.658,3975.123,3992.781,0
176,19.226,3967.410,3986.636,0
177,19.034,3968.434,3987.468,0
178,20.826,3975.795,3996.621,0
179,19.674,3969.779,3989.453,0
180,24.922,3972.947,3997.869,0
181,17.818,3972.947,3990.765,0
182,20.602,3968.595,3989.197,0
183,20.443,3974.994,3995.437,0
184,18.747,3981.458,4000.205,0
185,13.242,3944.370,3957.612,0
186,12.218,3948.146,3960.364,0
187,10.490,3952.818,3963.308,0
188,10.683,3939.377,3950.060,0
189,11.995,3929.521,3941.516,0
190,10.747,3944.977,3955.724,0
191,19.131,3967.442,3986.573,0
192,19.931,3962.290,3982.221,0
193,16.571,3968.434,3985.005,0
194,19.323,3963.602,3982.925,0
195,18.331,3960.850,3979.181,0
196,20.219,3973.651,3993.870,0
197,17.819,3969.491,3987.310,0
198,19.963,3967.603,3987.566,0
199,18.267,3972.147,3990.414,0
200,21.563,3970.931,3992.494,0
201,17.595,3972.787,3990.382,0
202,19.644,3981.906,4001.550,0
203,18.300,3973.138,3991.438,0
204,19.100,3971.922,3991.022,0
205,16.764,3970.802,3987.566,0
206,20.220,3975.826,3996.046,0
207,18.652,3978.898,3997.550,0
208,20.508,3981.139,4001.647,0
209,21.116,3987.347,4008.463,0
210,21.660,3984.083,4005.743,0
211,17.660,3982.899,4000.559,0
212,21.116,3985.203,4006.319,0
213,19.324,3974.131,3993.455,0
214,19.132,3977.203,3996.335,0
215,17.916,3973.011,3990.927,0
216,19.356,3977.267,3996.623,0
217,17.692,3980.051,3997.743,0
218,19.420,3974.611,3994.031,0
219,17.020,3977.971,3994.991,0
220,19.580,3975.955,3995.535,0
221,17.436,3984.819,4002.255,0
222,20.093,3981.202,4001.295,0
223,16.125,3970.866,3986.991,0
224,21.149,3985.075,4006.224,0
225,18.749,3992.179,4010.928,0
226,19.869,3986.995,4006.864,0
227,18.493,3975.026,3993.519,0
228,20.573,3971.698,3992.271,0
229,18.077,3979.187,3997.264,0
230,19.901,3986.739,4006.640,0
231,17.917,3976.371,3994.288,0
232,19.805,3977.907,3997.712,0
233,17.693,3967.218,3984.911,0
234,18.141,3957.010,3975.151,0
235,16.317,3966.866,3983.183,0
236,18.493,3968.371,3986.864,0
237,16.573,3965.779,3982.352,0
238,18.205,3966.131,3984.336,0
239,16.925,3958.034,3974.959,0
240,21.214,3961.234,3982.448,0
241,16.862,3962.034,3978.896,0
242,19.870,3964.818,3984.688,0
243,17.246,3957.586,3974.832,0
244,18.142,3963.794,3981.936,0
245,17.150,3958.834,3975.984,0
246,18.878,3954.226,3973.104,0
247,15.774,3962.482,3978.256,0
248,18.878,3953.746,3972.624,0
249,16.894,3955.986,3972.880,0
250,20.126,3962.450,3982.576,0
251,16.446,3949.970,3966.416,0
252,17.758,3954.162,3971.920,0
253,15.774,3964.562,3980.336,0
254,18.782,3955.186,3973.968,0
255,16.158,3962.194,3978.352,0
256,17.854,3963.507,3981.361,0
257,17.054,3959.090,3976.144,0
258,18.526,3955.282,3973.808,0
259,15.678,3954.514,3970.192,0
260,18.943,3960.498,3979.441,0
261,16.159,3965.522,3981.681,0
262,18.239,3955.666,3973.905,0
263,17.823,3970.162,3987.985,0
264,17.951,3960.082,3978.033,0
265,16.287,3959.090,3975.377,0
266,18.783,3960.050,3978.833,0
267,17.151,3964.402,3981.553,0
268,17.567,3957.842,3975.409,0
269,17.823,3957.778,3975.601,0
270,18.463,3966.930,3985.393,0
271,16.735,3965.330,3982.065,0
272,18.751,3958.418,3977.169,0
273,17.087,3956.882,3973.969,0
274,17.887,3959.538,3977.425,0
275,17.055,3959.762,3976.817,0
276,18.111,3966.739,3984.850,0
277,16.639,3956.530,3973.169,0
278,20.992,3964.562,3985.554,0
279,17.888,3969.650,3987.538,0
280,19.680,3961.394,3981.074,0
281,18.080,3971.058,3989.138,0
282,20.736,3965.810,3986.546,0
283,18.112,3963.090,3981.202,0
284,19.424,3962.034,3981.458,0
285,17.376,3952.466,3969.842,0
286,18.784,3972.466,3991.250,0
287,17.184,3958.802,3975.986,0
288,19.488,3951.538,3971.026,0
289,17.312,3958.738,3976.050,0
