cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,13.298,3956.979,3970.277,0
1,11.508,3923.602,3935.110,0
2,11.831,3911.346,3923.177,0
3,10.330,3908.465,3918.795,0
4,12.508,3909.682,3922.190,0
5,10.815,3904.946,3915.761,0
6,10.498,3900.145,3910.643,0
7,10.980,3898.450,3909.430,0
8,11.239,3912.306,3923.545,0
9,10.762,3898.865,3909.627,0
10,12.044,3911.378,3923.422,0
11,11.407,3906.833,3918.240,0
12,10.578,3907.121,3917.699,0
13,10.836,3903.378,3914.214,0
14,10.711,3894.545,3905.256,0
15,10.682,3899.153,3909.835,0
16,11.452,3893.393,3904.845,0
17,11.359,3897.649,3909.008,0
18,10.113,3909.810,3919.923,0
19,11.812,3901.234,3913.046,0
20,11.911,3912.081,3923.992,0
21,11.241,3903.282,3914.523,0
22,11.820,3899.409,3911.229,0
23,12.015,3893.521,3905.536,0
24,10.449,3911.634,3922.083,0
25,11.316,3895.185,3906.501,0
26,12.311,3900.049,3912.360,0
27,10.553,3910.930,3921.483,0
28,11.388,3897.841,3909.229,0
29,11.487,3891.537,3903.024,0
30,10.369,3902.898,3913.267,0
31,10.372,3911.794,3922.166,0
32,10.663,3900.241,3910.904,0
33,10.537,3904.018,3914.555,0
34,12.172,3914.482,3926.654,0
35,11.246,3894.514,3905.760,0
36,10.417,3906.994,3917.411,0
37,12.244,3906.545,3918.789,0
38,10.518,3900.530,3911.048,0
39,11.449,3900.305,3911.754,0
40,10.172,3907.537,3917.709,0
41,10.782,3902.706,3913.488,0
42,11.393,3908.210,3919.603,0
43,11.364,3905.809,3917.173,0
44,11.206,3907.570,3918.776,0
45,11.145,3897.713,3908.858,0
46,9.996,3900.785,3910.781,0
47,10.830,3897.874,3908.704,0
48,12.369,3900.465,3912.834,0
49,12.116,3904.721,3916.837,0
50,9.878,3906.930,3916.808,0
51,10.457,3908.401,3918.858,0
52,10.172,3905.233,3915.405,0
53,9.982,3916.658,3926.640,0
54,10.881,3910.161,3921.042,0
55,10.755,3899.858,3910.613,0
56,11.206,3905.842,3917.048,0
57,11.561,3903.793,3915.354,0
58,12.651,3898.962,3911.613,0
59,10.126,3905.298,3915.424,0
60,11.793,3904.305,3916.098,0
61,11.411,3906.322,3917.733,0
62,10.294,3895.505,3905.799,0
