cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,14.739,3950.196,3964.935,0
1,11.128,3915.731,3926.859,0
2,11.645,3909.939,3921.584,0
3,11.810,3894.546,3906.356,0
4,10.503,3896.690,3907.193,0
5,10.028,3892.434,3902.462,0
6,10.609,3899.443,3910.052,0
7,10.102,3896.019,3906.121,0
8,11.131,3899.699,3910.830,0
9,11.584,3898.899,3910.483,0
10,11.109,3905.139,3916.248,0
11,9.930,3910.419,3920.349,0
12,10.576,3891.154,3901.730,0
13,10.677,3901.906,3912.583,0
14,10.458,3898.642,3909.100,0
15,11.519,3898.066,3909.585,0
16,10.084,3892.242,3902.326,0
17,10.857,3902.674,3913.531,0
18,9.998,3893.778,3903.776,0
19,10.579,3901.714,3912.293,0
20,11.000,3886.130,3897.130,0
21,12.157,3888.914,3901.071,0
22,10.178,3896.306,3906.484,0
23,9.607,3901.234,3910.841,0
24,10.572,3893.266,3903.838,0
25,11.377,3899.538,3910.915,0
26,10.038,3900.562,3910.600,0
27,10.843,3894.002,3904.845,0
28,11.136,3900.018,3911.154,0
29,10.341,3908.275,3918.616,0
30,10.922,3895.858,3906.780,0
31,9.967,3901.586,3911.553,0
32,10.100,3894.162,3904.262,0
33,10.041,3894.002,3904.043,0
34,9.886,3903.859,3913.745,0
35,10.435,3899.283,3909.718,0
36,10.312,3899.571,3909.883,0
37,10.349,3883.602,3893.951,0
38,11.154,3896.211,3907.365,0
39,12.247,3895.283,3907.530,0
40,10.012,3899.283,3909.295,0
41,10.273,3901.139,3911.412,0
42,11.975,3894.578,3906.553,0
43,10.219,3891.859,3902.078,0
44,10.609,3898.994,3909.603,0
45,10.838,3894.802,3905.640,0
46,11.899,3901.554,3913.453,0
47,10.176,3894.834,3905.010,0
48,10.789,3895.346,3906.135,0
49,9.674,3902.898,3912.572,0
50,10.351,3898.770,3909.121,0
51,11.252,3907.346,3918.598,0
52,11.641,3904.850,3916.491,0
53,10.270,3895.314,3905.584,0
54,11.395,3893.138,3904.533,0
55,10.408,3893.362,3903.770,0
56,10.317,3892.786,3903.103,0
57,10.482,3894.610,3905.092,0
58,10.935,3889.874,3900.809,0
59,10.076,3895.570,3905.646,0
60,10.881,3898.354,3909.235,0
61,9.702,3893.042,3902.744,0
62,10.923,3888.050,3898.973,0
63,10.928,3888.818,3899.746,0
64,11.189,3893.778,3904.967,0
65,10.362,3895.058,3905.420,0
66,11.231,3893.042,3904.273,0
67,10.052,3892.434,3902.486,0
68,9.929,3898.547,3908.476,0
69,11.470,3890.418,3901.888,0
70,12.563,3897.875,3910.438,0
71,9.656,3903.123,3912.779,0
72,10.973,3901.395,3912.368,0
73,10.722,3900.435,3911.157,0
74,10.471,3896.947,3907.418,0
75,10.861,3896.338,3907.199,0
76,11.218,3894.034,3905.252,0
77,10.135,3902.578,3912.713,0
78,12.060,3902.546,3914.606,0
79,11.009,3896.530,3907.539,0
80,10.182,3895.378,3905.560,0
81,10.507,3892.370,3902.877,0
82,9.776,3900.338,3910.114,0
83,9.813,3898.834,3908.647,0
84,12.730,3891.186,3903.916,0
85,10.559,3897.618,3908.177,0
86,9.764,3900.530,3910.294,0
87,10.985,3903.858,3914.843,0
88,10.318,3893.906,3904.224,0
89,10.451,3901.266,3911.717,0
90,11.864,3892.434,3904.298,0
91,10.429,3905.490,3915.919,0
92,10.050,3890.098,3900.148,0
93,10.983,3893.906,3904.889,0
94,10.124,3892.530,3902.654,0
95,10.929,3897.138,3908.067,0
96,10.646,3897.202,3907.848,0
97,10.331,3890.898,3901.229,0
98,10.496,3890.546,3901.042,0
99,12.869,3892.242,3905.111,0
100,10.250,3894.194,3904.444,0
101,10.415,3889.522,3899.937,0
102,10.676,3898.291,3908.967,0
103,11.225,3897.619,3908.844,0
104,11.550,3904.947,3916.497,0
105,11.235,3899.795,3911.030,0
106,10.408,3885.714,3896.122,0
107,9.869,3895.923,3905.792,0
108,10.995,3894.738,3905.733,0
109,11.192,3891.570,3902.762,0
110,9.757,3903.026,3912.783,0
111,11.234,3893.586,3904.820,0
112,10.215,3894.866,3905.081,0
113,11.468,3894.642,3906.110,0
114,10.641,3884.402,3895.043,0
115,10.518,3896.850,3907.368,0
116,11.195,3899.154,3910.349,0
117,11.488,3900.690,3912.178,0
118,9.573,3887.346,3896.919,0
119,10.602,3896.338,3906.940,0
120,10.703,3906.162,3916.865,0
121,10.388,3897.618,3908.006,0
122,10.489,3903.058,3913.547,0
123,11.774,3895.698,3907.472,0
124,11.523,3891.506,3903.029,0
125,11.080,3896.786,3907.866,0
126,11.789,3889.330,3901.119,0
127,10.386,3894.418,3904.804,0
128,10.327,3906.515,3916.842,0
129,11.580,3895.154,3906.734,0
130,10.977,3890.514,3901.491,0
131,10.182,3902.451,3912.633,0
132,12.011,3899.187,3911.198,0
133,10.480,3887.090,3897.570,0
134,11.189,3898.291,3909.480,0
135,11.002,3888.626,3899.628,0
136,11.711,3906.867,3918.578,0
137,10.340,3894.291,3904.631,0
138,11.465,3897.971,3909.436,0
139,10.094,3906.483,3916.577,0
140,10.035,3890.162,3900.197,0
141,10.617,3899.538,3910.155,0
142,9.342,3889.842,3899.184,0
143,10.339,3893.874,3904.213,0
