cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,14.196,3968.629,3982.825,0
1,12.667,3937.684,3950.351,0
2,10.786,3935.924,3946.710,0
3,12.201,3923.635,3935.836,0
4,10.959,3918.804,3929.763,0
5,10.422,3915.636,3926.058,0
6,11.901,3915.732,3927.633,0
7,11.716,3914.676,3926.392,0
8,11.659,3910.548,3922.207,0
9,10.802,3920.724,3931.526,0
10,11.609,3918.772,3930.381,0
11,9.984,3916.307,3926.291,0
12,12.039,3917.203,3929.242,0
13,9.998,3925.556,3935.554,0
14,9.909,3918.771,3928.680,0
15,10.428,3918.163,3928.591,0
16,10.787,3910.899,3921.686,0
17,11.018,3918.739,3929.757,0
18,11.185,3916.019,3927.204,0
19,11.607,3919.188,3930.795,0
20,10.750,3914.580,3925.330,0
21,11.461,3914.772,3926.233,0
22,10.284,3916.788,3927.072,0
23,10.099,3921.332,3931.431,0
24,11.130,3916.916,3928.046,0
25,10.273,3922.292,3932.565,0
26,10.088,3915.219,3925.307,0
27,10.991,3916.915,3927.906,0
28,13.430,3920.820,3934.250,0
29,11.101,3925.812,3936.913,0
30,11.300,3923.251,3934.551,0
31,11.371,3919.987,3931.358,0
32,10.290,3921.235,3931.525,0
33,10.489,3907.731,3918.220,0
34,12.960,3919.955,3932.915,0
35,11.718,3920.052,3931.770,0
36,11.181,3922.388,3933.569,0
37,10.580,3915.604,3926.184,0
38,11.163,3917.524,3928.687,0
39,11.138,3910.739,3921.877,0
40,9.865,3911.187,3921.052,0
41,10.064,3925.044,3935.108,0
42,10.519,3914.419,3924.938,0
43,11.710,3915.923,3927.633,0
44,9.477,3926.676,3936.153,0
45,10.860,3924.659,3935.519,0
46,10.291,3927.539,3937.830,0
47,10.266,3927.155,3937.421,0
48,12.321,3917.523,3929.844,0
49,13.319,3922.228,3935.547,0
50,9.966,3929.780,3939.746,0
51,11.349,3913.748,3925.097,0
52,10.716,3921.524,3932.240,0
53,9.955,3920.020,3929.975,0
54,10.090,3922.580,3932.670,0
55,10.801,3913.267,3924.068,0
56,10.552,3917.139,3927.691,0
57,11.071,3914.963,3926.034,0
58,11.206,3920.147,3931.353,0
59,11.917,3914.643,3926.560,0
60,11.476,3915.731,3927.207,0
61,11.515,3922.099,3933.614,0
62,10.850,3923.347,3934.197,0
63,11.624,3917.428,3929.052,0
64,10.031,3914.676,3924.707,0
65,10.390,3913.044,3923.434,0
66,10.653,3915.252,3925.905,0
67,10.660,3916.212,3926.872,0
68,9.707,3918.356,3928.063,0
69,10.834,3917.268,3928.102,0
70,10.617,3922.324,3932.941,0
71,10.816,3924.468,3935.284,0
72,10.119,3914.963,3925.082,0
73,12.238,3908.979,3921.217,0
74,10.133,3920.339,3930.472,0
75,10.236,3906.739,3916.975,0
76,11.235,3923.891,3935.126,0
77,12.009,3928.692,3940.701,0
78,11.056,3916.628,3927.684,0
79,11.511,3925.940,3937.451,0
80,11.102,3920.404,3931.506,0
81,10.853,3909.235,3920.088,0
82,12.140,3919.284,3931.424,0
83,12.339,3913.587,3925.926,0
84,9.722,3910.771,3920.493,0
85,10.113,3920.819,3930.932,0
86,10.152,3920.531,3930.683,0
87,10.351,3912.947,3923.298,0
88,10.390,3916.179,3926.569,0
89,10.429,3912.019,3922.448,0
90,10.980,3924.627,3935.607,0
91,12.138,3914.100,3926.238,0
92,10.545,3910.676,3921.221,0
93,10.424,3915.636,3926.060,0
94,10.911,3912.948,3923.859,0
95,10.566,3919.444,3930.010,0
96,11.853,3924.340,3936.193,0
97,11.572,3925.620,3937.192,0
98,9.915,3917.395,3927.310,0
99,12.770,3906.387,3919.157,0
100,10.889,3915.699,3926.588,0
101,9.840,3919.859,3929.699,0
102,10.039,3917.235,3927.274,0
103,12.542,3923.699,3936.241,0
104,13.957,3925.907,3939.864,0
105,11.371,3908.308,3919.679,0
106,11.090,3919.348,3930.438,0
107,10.425,3914.740,3925.165,0
108,10.816,3917.268,3928.084,0
109,10.983,3923.476,3934.459,0
110,11.502,3923.860,3935.362,0
111,10.965,3910.355,3921.320,0
112,10.364,3917.523,3927.887,0
113,10.883,3916.467,3927.350,0
114,10.954,3914.835,3925.789,0
115,11.409,3918.419,3929.828,0
116,9.656,3920.787,3930.443,0
117,10.303,3916.115,3926.418,0
118,11.430,3916.787,3928.217,0
119,11.084,3924.020,3935.104,0
120,11.059,3919.060,3930.119,0
121,10.778,3908.532,3919.310,0
122,11.905,3911.412,3923.317,0
123,10.664,3912.308,3922.972,0
124,10.575,3915.604,3926.179,0
125,9.462,3921.332,3930.794,0
126,10.621,3915.923,3926.544,0
127,10.116,3913.555,3923.671,0
128,11.435,3915.315,3926.750,0
129,10.994,3912.819,3923.813,0
130,10.521,3911.571,3922.092,0
131,10.080,3917.203,3927.283,0
132,11.527,3912.403,3923.930,0
133,10.477,3916.980,3927.457,0
134,12.884,3919.892,3932.776,0
135,10.907,3911.860,3922.767,0
