cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,14.414,3968.689,3983.103,0
1,11.722,3923.216,3934.938,0
2,10.150,3928.592,3938.742,0
3,10.946,3917.712,3928.658,0
4,10.014,3905.135,3915.149,0
5,12.955,3913.967,3926.922,0
6,10.679,3907.375,3918.054,0
7,11.667,3912.751,3924.418,0
8,10.703,3914.351,3925.054,0
9,10.763,3917.839,3928.602,0
10,10.343,3906.095,3916.438,0
11,10.115,3922.544,3932.659,0
12,12.767,3921.808,3934.575,0
13,10.268,3918.959,3929.227,0
14,11.480,3924.463,3935.943,0
15,10.644,3924.335,3934.979,0
16,11.376,3918.895,3930.271,0
17,10.764,3917.807,3928.571,0
18,11.368,3921.584,3932.952,0
19,12.228,3916.176,3928.404,0
20,10.592,3908.271,3918.863,0
21,12.221,3921.423,3933.644,0
22,11.929,3913.487,3925.416,0
23,12.149,3917.359,3929.508,0
24,11.473,3911.855,3923.328,0
25,10.669,3911.663,3922.332,0
26,10.377,3919.375,3929.752,0
27,11.557,3911.759,3923.316,0
28,11.329,3915.504,3926.833,0
29,11.677,3912.272,3923.949,0
30,10.810,3918.223,3929.033,0
31,12.758,3917.199,3929.957,0
32,11.250,3913.199,3924.449,0
33,10.798,3914.383,3925.181,0
34,10.666,3913.167,3923.833,0
35,10.822,3917.071,3927.893,0
36,10.946,3917.040,3927.986,0
37,12.158,3916.272,3928.430,0
38,11.099,3913.967,3925.066,0
39,11.255,3915.343,3926.598,0
40,10.995,3916.047,3927.042,0
41,10.127,3917.519,3927.646,0
42,10.923,3913.167,3924.090,0
43,10.439,3913.423,3923.862,0
44,11.331,3918.960,3930.291,0
45,10.687,3911.503,3922.190,0
46,11.707,3912.688,3924.395,0
47,10.328,3917.007,3927.335,0
48,10.868,3919.407,3930.275,0
49,11.760,3915.535,3927.295,0
50,12.332,3918.479,3930.811,0
51,10.568,3916.399,3926.967,0
52,12.644,3909.807,3922.451,0
53,10.752,3916.240,3926.992,0
54,12.284,3923.504,3935.788,0
55,10.777,3913.359,3924.136,0
56,11.989,3922.159,3934.148,0
57,10.769,3912.047,3922.816,0
58,14.253,3923.247,3937.500,0
59,10.313,3924.496,3934.809,0
60,10.693,3918.575,3929.268,0
61,10.785,3915.408,3926.193,0
62,9.885,3924.528,3934.413,0
63,11.130,3911.759,3922.889,0
