cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,15.311,3953.136,3968.447,0
1,10.826,3904.175,3915.001,0
2,11.559,3900.494,3912.053,0
3,11.203,3902.638,3913.841,0
4,11.263,3915.951,3927.214,0
5,11.707,3898.670,3910.377,0
6,12.471,3903.566,3916.037,0
7,11.411,3898.126,3909.537,0
8,10.991,3909.135,3920.126,0
9,10.219,3907.279,3917.498,0
10,9.863,3902.830,3912.693,0
11,10.691,3896.142,3906.833,0
12,10.303,3899.214,3909.517,0
13,11.419,3910.895,3922.314,0
14,12.503,3904.591,3917.094,0
15,10.227,3902.575,3912.802,0
16,10.671,3906.543,3917.214,0
17,11.691,3910.319,3922.010,0
18,11.271,3900.271,3911.542,0
19,11.331,3916.463,3927.794,0
20,9.919,3899.375,3909.294,0
21,11.707,3909.935,3921.642,0
22,11.095,3905.935,3917.030,0
23,9.843,3906.607,3916.450,0
24,11.407,3901.231,3912.638,0
25,9.227,3918.127,3927.354,0
26,10.695,3905.487,3916.182,0
27,11.715,3896.655,3908.370,0
28,10.047,3897.711,3907.758,0
29,11.163,3904.111,3915.274,0
30,11.799,3898.319,3910.118,0
31,10.611,3904.079,3914.690,0
32,11.631,3905.967,3917.598,0
33,11.691,3897.647,3909.338,0
34,12.743,3908.911,3921.654,0
35,11.075,3899.759,3910.834,0
36,12.351,3894.927,3907.278,0
37,11.355,3898.991,3910.346,0
38,11.127,3903.215,3914.342,0
39,10.387,3891.791,3902.178,0
40,10.768,3900.046,3910.814,0
41,11.212,3896.718,3907.930,0
42,10.952,3909.903,3920.855,0
43,10.468,3893.326,3903.794,0
44,11.168,3894.926,3906.094,0
45,10.140,3898.030,3908.170,0
46,10.040,3908.175,3918.215,0
47,12.020,3906.319,3918.339,0
48,10.224,3902.639,3912.863,0
49,10.156,3897.775,3907.931,0
50,12.296,3900.207,3912.503,0
51,11.460,3893.775,3905.235,0
52,10.976,3905.295,3916.271,0
53,11.036,3904.623,3915.659,0
54,11.000,3903.823,3914.823,0
55,10.004,3898.863,3908.867,0
56,13.168,3902.959,3916.127,0
57,10.348,3906.351,3916.699,0
58,10.280,3908.719,3918.999,0
59,10.660,3901.583,3912.243,0
60,11.264,3898.735,3909.999,0
61,11.004,3901.935,3912.939,0
62,11.320,3894.063,3905.383,0
63,11.188,3891.759,3902.947,0
64,10.992,3901.167,3912.159,0
65,11.724,3907.663,3919.387,0
66,10.088,3891.247,3901.335,0
67,11.076,3904.431,3915.507,0
68,10.944,3914.416,3925.360,0
69,10.045,3900.590,3910.635,0
70,10.105,3905.134,3915.239,0
71,10.325,3908.847,3919.172,0
72,10.993,3901.134,3912.127,0
73,10.509,3902.479,3912.988,0
74,10.537,3890.798,3901.335,0
75,11.237,3905.743,3916.980,0
76,9.985,3901.071,3911.056,0
77,10.909,3901.103,3912.012,0
78,11.577,3899.343,3910.920,0
79,10.549,3899.055,3909.604,0
80,11.569,3897.135,3908.704,0
81,12.493,3905.903,3918.396,0
82,10.217,3899.407,3909.624,0
83,11.909,3906.895,3918.804,0
84,10.145,3895.983,3906.128,0
85,10.429,3906.159,3916.588,0
86,11.833,3907.567,3919.400,0
87,11.637,3900.911,3912.548,0
88,10.577,3909.231,3919.808,0
89,12.557,3894.511,3907.068,0
90,9.865,3898.159,3908.024,0
91,10.981,3902.031,3913.012,0
