cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,14.292,3942.900,3957.192,0
1,12.506,3907.540,3920.046,0
2,12.961,3910.163,3923.124,0
3,12.040,3894.291,3906.331,0
4,11.279,3888.914,3900.193,0
5,10.709,3891.859,3902.568,0
6,11.516,3882.675,3894.191,0
7,11.587,3891.283,3902.870,0
8,11.754,3891.506,3903.260,0
9,11.729,3897.074,3908.803,0
10,11.159,3893.555,3904.714,0
11,11.806,3882.066,3893.872,0
12,11.301,3878.034,3889.335,0
13,10.604,3896.690,3907.294,0
14,11.058,3888.179,3899.237,0
15,11.705,3885.523,3897.228,0
16,10.816,3890.675,3901.491,0
17,12.263,3884.242,3896.505,0
18,12.301,3896.083,3908.384,0
19,10.772,3894.099,3904.871,0
20,11.259,3894.483,3905.742,0
21,11.458,3890.898,3902.356,0
22,11.400,3886.707,3898.107,0
23,11.983,3885.011,3896.994,0
24,12.310,3891.315,3903.625,0
25,10.877,3883.506,3894.383,0
26,10.372,3889.874,3900.246,0
27,11.434,3887.123,3898.557,0
28,10.385,3886.611,3896.996,0
29,11.640,3893.267,3904.907,0
30,11.711,3893.874,3905.585,0
31,10.149,3892.051,3902.200,0
32,12.108,3892.691,3904.799,0
33,11.347,3894.643,3905.990,0
34,9.914,3883.890,3893.804,0
35,11.456,3888.083,3899.539,0
36,10.855,3885.203,3896.058,0
37,10.958,3880.274,3891.232,0
38,12.085,3877.138,3889.223,0
39,9.979,3881.331,3891.310,0
40,11.682,3881.011,3892.693,0
41,12.393,3886.323,3898.716,0
42,11.312,3876.210,3887.522,0
43,10.135,3891.890,3902.025,0
44,10.973,3889.139,3900.112,0
45,10.916,3889.267,3900.183,0
46,10.667,3876.210,3886.877,0
47,11.506,3878.290,3889.796,0
48,11.896,3878.067,3889.963,0
49,10.559,3880.755,3891.314,0
50,10.214,3887.091,3897.305,0
51,10.829,3882.002,3892.831,0
52,10.835,3885.139,3895.974,0
53,11.770,3880.691,3892.461,0
54,12.097,3882.771,3894.868,0
