cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,12.963,4208.270,4221.233,0
1,15.735,4221.422,4237.157,0
2,11.595,4206.701,4218.296,0
3,11.070,4206.766,4217.836,0
4,10.322,4241.903,4252.225,0
5,27.751,4354.865,4382.616,0
6,21.594,4293.488,4315.082,0
7,30.254,4423.348,4453.602,0
8,41.218,4501.014,4542.232,0
9,55.414,4633.689,4689.103,0
10,24.874,4387.378,4412.252,0
11,18.909,4349.234,4368.143,0
12,16.241,4323.761,4340.002,0
13,12.165,4238.702,4250.867,0
14,10.648,4225.263,4235.911,0
15,16.972,4244.367,4261.339,0
16,17.600,4248.687,4266.287,0
17,11.412,4226.574,4237.986,0
18,11.240,4214.926,4226.166,0
19,14.652,4221.646,4236.298,0
20,10.031,4203.598,4213.629,0
21,10.755,4211.886,4222.641,0
22,17.943,4312.113,4330.056,0
23,11.531,4203.885,4215.416,0
24,13.855,4225.582,4239.437,0
25,10.802,4219.278,4230.080,0
26,17.222,4225.967,4243.189,0
27,9.274,4210.062,4219.336,0
28,10.062,4206.958,4217.020,0
29,10.530,4206.509,4217.039,0
30,10.934,4207.565,4218.499,0
31,12.265,4212.878,4225.143,0
32,10.973,4202.542,4213.515,0
33,11.281,4208.206,4219.487,0
34,12.677,4203.310,4215.987,0
35,10.681,4205.709,4216.390,0
36,10.381,4202.317,4212.698,0
37,10.176,4200.942,4211.118,0
38,10.356,4203.118,4213.474,0
39,10.248,4203.054,4213.302,0
40,11.740,4210.446,4222.186,0
41,11.184,4196.589,4207.773,0
42,15.460,4221.198,4236.658,0
43,10.295,4205.614,4215.909,0
44,9.515,4208.814,4218.329,0
45,10.559,4201.294,4211.853,0
46,11.763,4204.046,4215.809,0
47,17.927,4251.951,4269.878,0
48,12.027,4244.750,4256.777,0
49,11.311,4225.134,4236.445,0
50,10.370,4229.295,4239.665,0
51,15.158,4228.399,4243.557,0
52,9.514,4216.238,4225.752,0
53,11.518,4212.014,4223.532,0
54,10.642,4213.326,4223.968,0
55,10.214,4205.293,4215.507,0
56,10.682,4210.125,4220.807,0
57,10.573,4202.606,4213.179,0
58,11.681,4200.110,4211.791,0
59,12.149,4206.190,4218.339,0
60,10.889,4203.758,4214.647,0
