cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,12.419,5941.884,5954.303,0
1,26.953,6010.462,6037.415,0
2,19.343,5932.764,5952.107,0
3,18.101,5927.739,5945.840,0
4,24.091,5970.173,5994.264,0
5,18.913,5916.027,5934.940,0
6,15.751,5950.428,5966.179,0
7,22.926,5972.828,5995.754,0
8,31.156,6038.974,6070.130,0
9,20.442,5991.485,6011.927,0
10,51.778,6146.977,6198.755,0
11,31.624,6025.789,6057.413,0
12,24.942,5997.917,6022.859,0
13,31.029,6050.558,6081.587,0
14,23.419,5982.813,6006.232,0
15,22.050,5990.333,6012.383,0
16,33.961,6062.687,6096.648,0
17,22.320,5974.492,5996.812,0
18,21.911,5972.764,5994.675,0
19,33.150,6060.831,6093.981,0
20,22.565,5971.068,5993.633,0
21,22.572,5990.621,6013.193,0
22,28.563,6036.318,6064.881,0
23,24.410,5969.981,5994.391,0
24,23.234,5987.612,6010.846,0
25,47.562,6109.472,6157.034,0
26,29.585,6012.029,6041.614,0
27,25.688,5980.445,6006.133,0
28,29.536,6016.349,6045.885,0
29,22.183,5991.005,6013.188,0
30,22.383,5971.836,5994.219,0
31,28.151,6032.190,6060.341,0
32,21.630,5979.421,6001.051,0
33,21.126,5965.341,5986.467,0
34,28.878,6032.478,6061.356,0
35,23.094,6004.350,6027.444,0
36,21.054,5980.221,6001.275,0
37,28.999,6057.118,6086.117,0
38,22.479,5975.260,5997.739,0
39,21.623,5970.076,5991.699,0
40,47.520,6099.232,6146.752,0
41,20.136,6002.141,6022.277,0
42,19.888,5981.693,6001.581,0
43,31.257,6039.326,6070.583,0
44,19.265,5975.613,5994.878,0
45,19.946,5973.308,5993.254,0
46,28.051,6043.230,6071.281,0
47,22.811,5982.301,6005.112,0
48,28.964,6004.446,6033.410,0
49,38.765,6092.576,6131.341,0
50,22.454,6003.357,6025.811,0
51,24.927,6011.326,6036.253,0
52,31.368,6046.175,6077.543,0
53,20.049,5998.237,6018.286,0
54,19.194,5980.221,5999.415,0
55,37.732,6075.263,6112.995,0
56,28.269,6019.230,6047.499,0
57,22.358,6011.966,6034.324,0
58,25.088,6034.078,6059.166,0
59,19.913,6107.296,6127.209,0
60,17.459,6017.117,6034.576,0
61,32.669,6049.822,6082.491,0
62,22.278,5999.902,6022.180,0
63,20.400,5977.213,5997.613,0
64,27.770,6034.270,6062.040,0
65,22.564,5973.692,5996.256,0
66,19.406,5971.292,5990.698,0
67,34.200,6066.847,6101.047,0
68,20.194,6003.325,6023.519,0
69,20.876,5997.565,6018.441,0
70,37.910,6081.504,6119.414,0
71,27.040,5996.414,6023.454,0
72,21.195,6003.069,6024.264,0
73,35.541,6078.912,6114.453,0
74,23.103,5973.725,5996.828,0
75,22.570,5999.549,6022.119,0
76,41.749,6061.343,6103.092,0
77,18.271,5980.573,5998.844,0
78,13.546,5985.884,5999.430,0
79,39.573,6064.063,6103.636,0
80,28.672,6069.247,6097.919,0
81,21.738,5996.701,6018.439,0
82,39.350,6068.255,6107.605,0
83,24.768,6032.542,6057.310,0
84,20.715,6010.046,6030.761,0
