membw: 20.67 GB/s (4 thr, write)
membw: 24.42 GB/s (4 thr, write)
membw: 24.69 GB/s (4 thr, write)
membw: 24.16 GB/s (4 thr, write)
membw: 24.69 GB/s (4 thr, write)
membw: 24.42 GB/s (4 thr, write)
membw: 24.42 GB/s (4 thr, write)
membw: 24.15 GB/s (4 thr, write)
membw: 24.69 GB/s (4 thr, write)
membw: 24.42 GB/s (4 thr, write)
membw: 24.69 GB/s (4 thr, write)
membw: 24.69 GB/s (4 thr, write)
membw: 23.89 GB/s (4 thr, write)
membw: 24.42 GB/s (4 thr, write)
membw: 24.69 GB/s (4 thr, write)
membw: 24.69 GB/s (4 thr, write)
membw: 24.15 GB/s (4 thr, write)
membw: 25.02 GB/s (4 thr, write)
