cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,14.920,4686.974,4701.894,0
1,11.872,4699.679,4711.551,0
2,11.896,4678.462,4690.358,0
3,13.104,4761.217,4774.321,0
4,23.720,4893.157,4916.877,0
5,13.952,4803.906,4817.858,0
6,14.072,4754.209,4768.281,0
7,13.232,4720.256,4733.488,0
8,16.169,4776.993,4793.162,0
9,18.913,4786.017,4804.930,0
10,12.825,4704.767,4717.592,0
11,12.465,4710.975,4723.440,0
12,11.721,4683.390,4695.111,0
13,10.785,4678.558,4689.343,0
14,11.321,4686.047,4697.368,0
15,10.417,4688.095,4698.512,0
16,13.353,4695.359,4708.712,0
17,12.034,4682.494,4694.528,0
18,12.538,4683.230,4695.768,0
19,10.834,4681.534,4692.368,0
20,11.082,4679.518,4690.600,0
21,12.994,4688.095,4701.089,0
22,11.066,4683.199,4694.265,0
23,9.938,4676.926,4686.864,0
24,11.466,4682.591,4694.057,0
25,11.778,4685.791,4697.569,0
26,11.355,4681.982,4693.337,0
27,12.211,4685.150,4697.361,0
28,11.019,4681.790,4692.809,0
29,10.723,4685.854,4696.577,0
30,11.323,4676.542,4687.865,0
31,11.795,4683.967,4695.762,0
32,12.075,4677.759,4689.834,0
33,10.723,4676.895,4687.618,0
34,11.835,4670.015,4681.850,0
35,11.540,4697.406,4708.946,0
36,21.228,4861.251,4882.479,0
37,12.356,4721.151,4733.507,0
38,10.300,4695.007,4705.307,0
39,11.764,4722.335,4734.099,0
40,12.556,4693.407,4705.963,0
41,13.796,4690.463,4704.259,0
42,12.220,4692.063,4704.283,0
43,10.932,4681.439,4692.371,0
44,10.541,4671.774,4682.315,0
45,11.045,4688.894,4699.939,0
46,12.029,4676.894,4688.923,0
47,30.677,4937.798,4968.475,0
48,13.997,4783.393,4797.390,0
49,11.429,4714.943,4726.372,0
50,11.517,4685.567,4697.084,0
51,12.277,4680.351,4692.628,0
52,10.829,4679.519,4690.348,0
53,27.270,4801.026,4828.296,0
54,12.094,4719.135,4731.229,0
55,12.246,4711.135,4723.381,0
56,12.718,4697.919,4710.637,0
57,12.454,4675.742,4688.196,0
58,11.870,4678.078,4689.948,0
59,44.215,4904.933,4949.148,0
60,45.711,5199.533,5245.244,0
61,23.943,4873.379,4897.322,0
62,12.351,4740.608,4752.959,0
63,12.407,4714.655,4727.062,0
64,12.591,4724.383,4736.974,0
65,10.791,4706.751,4717.542,0
66,12.223,4709.919,4722.142,0
67,12.343,4698.911,4711.254,0
68,10.959,4691.039,4701.998,0
69,11.207,4690.111,4701.318,0
70,10.783,4679.487,4690.270,0
71,12.984,4712.095,4725.079,0
72,11.920,4684.350,4696.270,0
73,12.296,4687.902,4700.198,0
74,10.976,4689.662,4700.638,0
75,10.424,4674.654,4685.078,0
76,10.928,4685.599,4696.527,0
77,14.696,4823.619,4838.315,0
78,47.841,5078.345,5126.186,0
79,20.889,4856.547,4877.436,0
80,12.881,4758.496,4771.377,0
81,17.577,4776.033,4793.610,0
82,17.569,4816.802,4834.371,0
83,43.322,5089.897,5133.219,0
84,31.602,5003.207,5034.809,0
85,12.937,4803.906,4816.843,0
86,31.266,4962.566,4993.832,0
87,13.241,4834.371,4847.612,0
88,42.674,5142.699,5185.373,0
89,29.034,5011.175,5040.209,0
