cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,12.423,6539.217,6551.640,0
1,27.099,6576.754,6603.853,0
2,72.752,6981.885,7054.637,0
3,63.012,6843.737,6906.749,0
4,21.687,6582.226,6603.913,0
5,64.780,6848.793,6913.573,0
6,73.504,6849.465,6922.969,0
7,55.412,6811.031,6866.443,0
8,62.984,6837.176,6900.160,0
9,73.724,6953.980,7027.704,0
10,63.344,6873.785,6937.129,0
11,60.259,6895.515,6955.774,0
12,68.472,6857.625,6926.097,0
13,70.668,6901.594,6972.262,0
14,70.751,6844.409,6915.160,0
15,65.363,6955.996,7021.359,0
16,65.959,6847.641,6913.600,0
17,69.531,6853.177,6922.708,0
18,60.367,6836.280,6896.647,0
19,64.771,6839.161,6903.932,0
20,66.551,7084.607,7151.158,0
21,49.866,6820.152,6870.018,0
22,65.055,6857.593,6922.648,0
23,66.547,6854.137,6920.684,0
24,59.974,6836.249,6896.223,0
25,63.578,7033.278,7096.856,0
26,66.958,6836.729,6903.687,0
27,75.522,6865.338,6940.860,0
28,69.814,6840.089,6909.903,0
29,70.666,6847.513,6918.179,0
30,52.158,6843.224,6895.382,0
31,51.569,6843.129,6894.698,0
32,48.453,6795.640,6844.093,0
33,32.409,6749.590,6781.999,0
34,47.245,6904.091,6951.336,0
35,55.361,6835.417,6890.778,0
36,53.333,6826.200,6879.533,0
37,30.536,6708.726,6739.262,0
38,65.501,6846.873,6912.374,0
39,54.225,6833.240,6887.465,0
40,46.309,6797.943,6844.252,0
41,66.617,6848.953,6915.570,0
42,66.797,6850.041,6916.838,0
43,53.697,6795.191,6848.888,0
44,58.709,6863.577,6922.286,0
45,44.200,6757.687,6801.887,0
46,25.820,6614.802,6640.622,0
47,48.688,6780.055,6828.743,0
48,45.796,6751.638,6797.434,0
49,49.336,6778.679,6828.015,0
50,28.907,6615.219,6644.126,0
51,40.224,6676.884,6717.108,0
52,19.539,6569.329,6588.868,0
53,80.296,6847.065,6927.361,0
54,68.060,6838.617,6906.677,0
55,22.287,6578.609,6600.896,0
56,41.059,6684.757,6725.816,0
57,68.024,6956.956,7024.980,0
58,31.531,6641.267,6672.798,0
59,77.824,7131.329,7209.153,0
