token,dur_ns
0,180639703
1,183630161
2,181193416
3,178818112
4,180341070
5,178628347
6,188258330
7,185160190
8,184882453
9,187126967
10,180774778
11,183681713
12,183691921
13,181742359
14,179092423
15,180624661
16,178661370
17,186562854
18,181209030
19,179212234
20,178948962
21,180176294
22,180428206
23,184787921
24,180910492
25,179281131
26,180417997
27,178695129
28,186294013
29,181549711
30,179229545
31,178938464
32,180308009
33,179891292
34,186358718
35,181209667
36,179408750
37,180491597
38,178632438
39,186967183
40,181286917
41,178761465
42,179295081
43,180366474
44,179875738
45,185800204
46,181050589
47,180046143
48,180532909
49,178861820
50,185842155
51,182045498
52,178890748
53,179435276
54,180394568
55,179782902
56,185594276
57,181119774
58,178575601
59,179821623
60,179922842
61,185322490
62,182070490
63,178954012
64,179268678
65,180299300
66,179765620
67,189003176
68,186198356
69,182352320
70,180529451
71,179770963
72,185688228
73,182311136
74,178755604
75,179229187
76,180274946
77,179688336
78,185259575
79,181090010
80,178819542
81,179628045
82,180161886
83,184673316
84,182773004
85,178845238
86,178759155
87,180679757
88,179520905
89,186093134
90,181626217
91,178863285
92,179767377
93,180367842
94,183755976
95,183802344
96,178887446
97,178876437
98,180815087
99,178597357
100,186079308
101,181078615
102,178627757
103,178857300
104,180499620
105,182133142
106,184864167
107,183373946
108,178822002
109,181053717
110,178550250
111,186371347
112,181270075
113,178880467
114,178910548
115,180464258
116,182372283
117,185421142
118,179262686
119,179014102
120,180023509
121,179194780
122,190800053
123,181410302
124,179055958
125,179207452
126,181066355
127,185004328
128,185898946
129,183779843
130,181661348
131,180490177
132,179574662
133,185822719
134,180849804
135,178623688
136,178908689
137,179958928
138,182880328
139,184512887
140,179608966
141,178644904
142,189105248
143,187313579
144,188517646
145,182514364
146,180021840
147,180408988
148,181366009
149,191343778
150,186242378
151,180133075
152,180202741
153,181599199
154,181710435
155,185341358
156,181811493
157,179871467
158,180177107
159,181058830
160,185593045
161,183801664
162,180140658
163,180117586
164,181347318
165,180835750
166,186184806
167,182035914
168,179984621
169,180624672
170,181412919
171,186025856
172,184061574
173,180212435
174,180136080
175,181397558
176,180851910
177,186153731
178,182051690
179,179873959
180,180238098
181,181201200
182,185839033
183,183595287
184,180110606
185,180072237
186,181486423
187,180905158
188,189566823
189,187550540
190,183148584
191,180895557
192,180856739
193,186123041
194,183711768
195,180128014
196,180090956
197,181545463
198,180903461
199,186299300
