cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,47.567,95941.331,95988.898,0
1,176.078,93926.234,94102.312,0
2,148.136,97783.015,97931.151,0
3,103.650,91853.632,91957.282,0
4,56.028,97365.435,97421.463,0
5,96.184,91731.804,91827.988,0
6,58.769,100491.700,100550.469,0
7,187.503,93084.707,93272.210,0
8,44.166,97237.495,97281.661,0
9,108.129,92682.039,92790.168,0
10,40.057,96694.312,96734.369,0
11,106.229,92409.391,92515.620,0
12,150.319,98522.364,98672.683,0
13,281.196,95608.329,95889.525,0
14,142.561,98198.035,98340.596,0
15,216.220,93710.516,93926.736,0
16,63.761,95628.681,95692.442,0
17,151.563,93047.745,93199.308,0
18,64.769,94829.619,94894.388,0
19,152.636,92956.638,93109.274,0
20,76.817,94168.993,94245.810,0
21,160.875,92577.716,92738.591,0
22,68.768,93320.328,93389.096,0
23,139.865,92694.775,92834.640,0
24,71.438,93748.341,93819.779,0
25,132.679,93089.762,93222.441,0
26,70.364,93393.514,93463.878,0
27,80.339,93477.324,93557.663,0
28,49.576,93536.846,93586.422,0
29,91.103,92624.533,92715.636,0
30,49.620,94421.255,94470.875,0
31,180.589,94023.292,94203.881,0
32,87.552,92846.555,92934.107,0
33,300.859,96580.964,96881.823,0
34,95.275,96023.860,96119.135,0
35,166.754,93422.890,93589.644,0
36,62.483,92095.654,92158.137,0
37,137.130,93362.313,93499.443,0
38,60.956,92148.455,92209.411,0
39,174.707,93623.985,93798.692,0
40,70.084,92364.557,92434.641,0
41,245.629,94120.094,94365.723,0
42,84.108,92475.888,92559.996,0
43,175.458,93260.902,93436.360,0
44,68.690,92004.162,92072.852,0
45,172.744,92881.563,93054.307,0
46,73.688,91807.997,91881.685,0
47,211.502,93445.227,93656.729,0
48,62.717,91857.182,91919.899,0
49,163.346,93056.703,93220.049,0
50,51.841,91796.860,91848.701,0
51,177.526,93020.607,93198.133,0
52,76.709,91932.000,92008.709,0
53,158.200,93145.699,93303.899,0
54,70.375,91940.736,92011.111,0
55,299.743,95757.419,96057.162,0
56,106.794,92800.633,92907.427,0
57,187.357,93390.953,93578.310,0
58,53.930,92110.309,92164.239,0
59,163.005,93060.032,93223.037,0
