cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,12.191,18708.668,18720.859,0
1,25.452,18606.457,18631.909,0
2,27.641,18641.882,18669.523,0
3,24.006,18837.152,18861.158,0
4,37.429,18643.770,18681.199,0
5,24.164,18637.818,18661.982,0
6,27.156,18992.419,19019.575,0
7,22.629,18616.506,18639.135,0
8,33.879,18644.186,18678.065,0
9,24.457,18994.052,19018.509,0
10,32.189,18915.969,18948.158,0
11,22.833,18661.563,18684.396,0
12,34.022,18967.747,19001.769,0
13,20.796,18861.952,18882.748,0
14,30.899,18733.916,18764.815,0
15,20.010,18927.778,18947.788,0
16,32.227,18868.320,18900.547,0
17,21.244,18598.553,18619.797,0
18,30.902,18917.346,18948.248,0
19,22.161,18862.272,18884.433,0
20,32.973,18752.733,18785.706,0
21,23.753,18900.194,18923.947,0
22,34.727,18817.055,18851.782,0
23,20.069,18655.771,18675.840,0
24,32.676,18740.989,18773.665,0
25,22.052,18817.631,18839.683,0
26,31.684,18680.476,18712.160,0
27,20.550,18645.371,18665.921,0
28,34.440,18874.113,18908.553,0
29,22.507,18635.803,18658.310,0
30,33.135,18719.965,18753.100,0
31,27.060,18871.905,18898.965,0
32,34.010,18685.852,18719.862,0
33,21.728,18660.892,18682.620,0
34,31.943,18938.531,18970.474,0
35,24.687,18610.683,18635.370,0
36,34.360,18684.412,18718.772,0
37,23.010,18787.455,18810.465,0
38,31.500,18768.351,18799.851,0
39,20.248,18621.626,18641.874,0
40,35.844,18987.172,19023.016,0
41,22.225,18726.365,18748.590,0
42,29.214,18678.397,18707.611,0
43,22.221,18939.619,18961.840,0
44,33.084,18788.095,18821.179,0
45,21.261,18580.121,18601.382,0
46,33.501,18955.364,18988.865,0
47,21.167,18575.162,18596.329,0
48,29.090,18641.179,18670.269,0
49,22.229,18935.715,18957.944,0
50,31.657,18898.947,18930.604,0
51,20.734,18593.019,18613.753,0
52,35.220,18779.743,18814.963,0
53,22.187,18864.993,18887.180,0
54,34.658,18731.806,18766.464,0
55,20.730,18917.923,18938.653,0
56,32.691,18843.073,18875.764,0
57,20.557,18649.852,18670.409,0
58,33.288,18734.174,18767.462,0
59,20.035,18816.544,18836.579,0
60,35.359,18706.078,18741.437,0
61,23.036,18594.139,18617.175,0
62,57.435,19121.992,19179.427,0
63,46.809,18729.918,18776.727,0
64,31.256,18751.103,18782.359,0
65,26.264,18852.642,18878.906,0
66,33.177,18668.061,18701.238,0
67,24.059,18673.053,18697.112,0
68,29.789,18872.258,18902.047,0
69,19.872,18638.845,18658.717,0
70,33.317,18695.453,18728.770,0
71,21.801,18804.545,18826.346,0
72,34.671,18706.014,18740.685,0
73,32.758,18696.830,18729.588,0
74,35.165,18965.092,19000.257,0
75,22.085,18613.179,18635.264,0
76,32.750,18697.693,18730.443,0
77,22.487,18822.209,18844.696,0
78,34.210,18665.117,18699.327,0
79,21.709,18652.508,18674.217,0
80,33.529,18997.829,19031.358,0
81,22.277,18644.989,18667.266,0
82,26.067,18634.524,18660.591,0
83,19.713,18772.192,18791.905,0
84,28.336,18750.687,18779.023,0
85,21.888,18633.436,18655.324,0
86,24.848,18990.182,19015.030,0
87,29.026,18778.624,18807.650,0
88,36.564,18795.745,18832.309,0
89,25.735,18959.845,18985.580,0
90,31.418,18890.180,18921.598,0
91,21.679,18600.284,18621.963,0
92,26.628,18987.046,19013.674,0
93,21.562,18704.255,18725.817,0
94,34.129,18797.921,18832.050,0
95,25.897,18961.925,18987.822,0
96,29.377,18879.203,18908.580,0
97,20.858,18620.956,18641.814,0
98,29.140,18953.381,18982.521,0
99,22.254,18692.095,18714.349,0
100,26.986,18630.012,18656.998,0
101,22.374,18921.316,18943.690,0
102,26.371,18845.570,18871.941,0
103,20.224,18590.396,18610.620,0
104,26.943,18965.925,18992.868,0
105,22.078,18829.794,18851.872,0
106,25.598,18725.631,18751.229,0
107,19.743,18911.332,18931.075,0
108,31.136,18914.692,18945.828,0
109,23.586,18622.397,18645.983,0
110,27.525,18933.669,18961.194,0
111,20.969,18791.713,18812.682,0
112,27.341,18685.407,18712.748,0
113,20.051,18886.083,18906.134,0
114,30.297,18871.971,18902.268,0
115,31.008,18722.591,18753.599,0
116,31.399,18757.248,18788.647,0
117,20.879,18829.539,18850.418,0
118,28.824,18695.167,18723.991,0
119,21.186,18872.964,18894.150,0
120,23.724,18816.002,18839.726,0
121,20.120,18659.870,18679.990,0
122,31.172,18745.792,18776.964,0
123,19.569,18836.738,18856.307,0
124,27.262,18702.207,18729.469,0
125,21.356,18587.197,18608.553,0
126,26.171,18809.474,18835.645,0
127,19.979,18671.519,18691.498,0
128,24.187,18680.895,18705.082,0
129,21.997,18785.922,18807.919,0
130,24.319,18691.775,18716.094,0
131,21.458,18614.429,18635.887,0
132,28.261,18774.273,18802.534,0
133,23.545,18645.822,18669.367,0
134,23.950,18690.143,18714.093,0
135,22.436,18769.025,18791.461,0
136,29.850,18694.208,18724.058,0
137,26.898,18691.167,18718.065,0
138,26.633,18863.012,18889.645,0
139,23.394,18630.558,18653.952,0
140,26.363,18688.576,18714.939,0
141,23.670,18826.499,18850.169,0
142,24.976,18658.335,18683.311,0
143,23.532,18654.367,18677.899,0
144,28.104,18864.292,18892.396,0
145,23.333,18624.062,18647.395,0
146,26.115,18666.207,18692.322,0
147,21.506,18836.835,18858.341,0
148,25.761,18625.502,18651.263,0
149,21.537,18649.982,18671.519,0
150,25.857,18901.573,18927.430,0
151,26.083,18615.678,18641.761,0
152,26.661,18679.839,18706.500,0
153,23.272,18812.099,18835.371,0
154,26.155,18613.310,18639.465,0
155,25.008,18662.975,18687.983,0
156,26.389,18992.167,19018.556,0
157,29.499,18775.042,18804.541,0
158,26.241,18639.838,18666.079,0
159,25.032,18794.467,18819.499,0
160,25.744,18656.223,18681.967,0
161,23.833,18624.958,18648.791,0
162,23.810,18893.957,18917.767,0
