cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,18.227,10938.233,10956.460,0
1,37.313,10792.406,10829.719,0
2,32.658,10973.818,11006.476,0
3,36.388,11009.307,11045.695,0
4,34.361,11018.267,11052.628,0
5,37.807,11011.068,11048.875,0
6,37.160,11006.460,11043.620,0
7,36.483,11022.332,11058.815,0
8,30.112,10984.027,11014.139,0
9,36.287,11010.364,11046.651,0
10,32.385,11016.923,11049.308,0
11,34.436,11005.883,11040.319,0
12,40.042,11005.051,11045.093,0
13,35.025,11019.484,11054.509,0
14,37.691,11056.893,11094.584,0
15,36.070,11010.236,11046.306,0
16,45.332,11105.631,11150.963,0
17,39.428,11087.518,11126.946,0
18,40.150,11050.461,11090.611,0
19,39.018,11068.478,11107.496,0
20,40.801,11073.469,11114.270,0
21,37.529,11036.700,11074.229,0
22,35.859,11026.109,11061.968,0
23,38.415,11064.510,11102.925,0
24,38.958,11030.365,11069.323,0
25,39.247,11049.725,11088.972,0
26,35.217,11036.829,11072.046,0
27,45.974,11099.263,11145.237,0
28,41.437,11027.037,11068.474,0
29,45.894,11072.638,11118.532,0
30,38.961,11046.141,11085.102,0
31,37.886,11046.461,11084.347,0
32,27.437,11013.788,11041.225,0
33,45.598,11078.430,11124.028,0
34,35.633,11024.573,11060.206,0
35,45.830,11077.983,11123.813,0
36,38.718,11036.605,11075.323,0
37,40.983,11090.398,11131.381,0
38,37.810,11054.590,11092.400,0
39,45.104,11085.374,11130.478,0
40,34.863,11028.222,11063.085,0
41,43.857,11072.606,11116.463,0
42,34.132,11048.574,11082.706,0
43,46.458,11098.079,11144.537,0
44,39.073,11035.550,11074.623,0
45,39.627,11071.327,11110.954,0
46,33.495,10821.337,10854.832,0
47,39.588,11076.191,11115.779,0
48,30.516,11030.846,11061.362,0
49,38.758,11078.847,11117.605,0
50,33.338,11026.174,11059.512,0
51,38.959,11083.648,11122.607,0
52,35.047,11034.175,11069.222,0
53,39.585,11034.302,11073.887,0
54,33.757,11019.998,11053.755,0
55,36.891,11076.383,11113.274,0
56,30.715,11012.254,11042.969,0
57,45.853,11100.640,11146.493,0
58,42.401,11198.658,11241.059,0
59,50.663,11160.001,11210.664,0
60,36.943,11054.239,11091.182,0
61,40.985,11110.944,11151.929,0
62,35.589,10833.337,10868.926,0
63,38.706,11089.216,11127.922,0
64,34.530,11059.008,11093.538,0
65,39.348,11100.480,11139.828,0
66,31.784,11029.663,11061.447,0
67,38.942,11107.808,11146.750,0
68,36.086,11061.439,11097.525,0
69,40.080,11053.951,11094.031,0
70,34.348,11038.367,11072.715,0
71,38.538,11098.976,11137.514,0
72,33.257,11012.703,11045.960,0
73,38.699,11067.808,11106.507,0
74,33.359,11060.480,11093.839,0
75,40.725,11091.872,11132.597,0
76,33.053,11065.503,11098.556,0
77,34.822,11094.785,11129.607,0
78,31.186,11029.983,11061.169,0
79,35.199,11087.841,11123.040,0
80,41.263,11097.953,11139.216,0
81,43.553,11089.376,11132.929,0
82,29.908,11040.256,11070.164,0
83,33.450,11061.248,11094.698,0
84,31.649,11026.720,11058.369,0
85,40.315,11058.240,11098.555,0
86,38.774,11055.232,11094.006,0
87,35.891,11076.385,11112.276,0
88,33.203,11013.663,11046.866,0
89,39.252,11066.784,11106.036,0
90,32.791,11037.440,11070.231,0
