i,from,to,direction,t_write_ns,write_us,readback_us,readback_timeout
0,1728000,729600,down,580215240433999,519.31,785.65,0
1,729600,1728000,up,580215491712330,1035.45,1301.73,0
2,1728000,729600,down,580215743429937,424.91,731.6,0
3,729600,1728000,up,580215994656555,828.28,1262.82,0
4,1728000,729600,down,580216246413235,1159.71,1843.72,0
5,729600,1728000,up,580216498740553,1563.94,2502.17,0
6,1728000,729600,down,580216751748880,1375.65,2249.85,0
7,729600,1728000,up,580217004533681,1343.68,2244.47,0
8,1728000,729600,down,580217257303762,1341.95,2268.12,0
9,729600,1728000,up,580217510097492,1346.82,2476.41,0
10,1728000,729600,down,580217763088251,1342.34,2237.94,0
11,729600,1728000,up,580218015880861,1399.94,2297.18,0
12,1728000,729600,down,580218268703776,1284.35,2184.25,0
13,729600,1728000,up,580218521448738,1399.3,2078.42,0
14,1728000,729600,down,580218774061344,1593.73,2805.67,0
15,729600,1728000,up,580219027457329,1340.35,2305.69,0
16,1728000,729600,down,580219280143954,1308.9,1967.44,0
17,729600,1728000,up,580219532667854,1601.73,2688.16,0
18,1728000,729600,down,580219785969854,1589.19,2847.33,0
19,729600,1728000,up,580220039499091,1540.23,2256.47,0
20,1728000,729600,down,580220292186516,1308.03,2250.17,0
21,729600,1728000,up,580220544968824,1361.12,2308.95,0
22,1728000,729600,down,580220797867038,1717.35,3025.45,0
23,729600,1728000,up,580221051488662,1674.92,2730.11,0
24,1728000,729600,down,580221304800391,1383.59,2407.51,0
25,729600,1728000,up,580221557768176,1424.61,2600.89,0
26,1728000,729600,down,580221810916349,1377.89,2328.09,0
27,729600,1728000,up,580222063784931,1550.47,2497.47,0
28,1728000,729600,down,580222316830990,1465.95,2533.66,0
29,729600,1728000,up,580222570012573,1404.32,2558.11,0
30,1728000,729600,down,580222823102761,1726.7,2678.08,0
31,729600,1728000,up,580223076220118,1362.4,2306.43,0
32,1728000,729600,down,580223329091902,1595.97,2859.91,0
33,729600,1728000,up,580223582684343,1485.73,2478.56,0
34,1728000,729600,down,580223835677217,1428.32,2349.34,0
35,729600,1728000,up,580224088563850,1731.28,2641.06,0
36,1728000,729600,down,580224341739417,1744.75,2845.48,0
37,729600,1728000,up,580224595111917,1431.39,2349.85,0
38,1728000,729600,down,580224848085496,1846.35,2926.82,0
39,729600,1728000,up,580225101522094,1154.14,2033.49,0
40,1728000,729600,down,580225354112208,1353.86,2445.92,0
