i,from,to,direction,t_write_ns,write_us,readback_us,readback_timeout
0,3199000000,2133000000,down,580604364582604,8856.06,13302.99,0
1,2133000000,3199000000,up,580604628441194,8729.24,12935.56,0
2,3199000000,2133000000,down,580604891897822,8897.34,13333.74,0
3,2133000000,3199000000,up,580605155810173,8997.41,13446.61,0
4,3199000000,2133000000,down,580605419829119,8455.48,11997.36,0
5,2133000000,3199000000,up,580605682303930,8942.27,13019.24,0
6,3199000000,2133000000,down,580605945906194,8615.7,12896.61,0
7,2133000000,3199000000,up,580606209362566,10070.43,14426.92,0
8,3199000000,2133000000,down,580606474268767,8403.22,12519.29,0
9,2133000000,3199000000,up,580606737241063,8541.4,12488.22,0
10,3199000000,2133000000,down,580607000204303,8666.23,13083.08,0
11,2133000000,3199000000,up,580607263882185,8951.94,13384.5,0
12,3199000000,2133000000,down,580607527827338,8374.87,12787.36,0
13,2133000000,3199000000,up,580607791164604,8813.44,12949.51,0
14,3199000000,2133000000,down,580608054659697,8822.27,13263.15,0
15,2133000000,3199000000,up,580608318589682,9090.02,13355.5,0
16,3199000000,2133000000,down,580608582610613,8579.51,12739.58,0
17,2133000000,3199000000,up,580608845880869,8792.86,13078.18,0
18,3199000000,2133000000,down,580609109563104,9310.38,13499.67,0
19,2133000000,3199000000,up,580609373616036,8837.85,12953.73,0
20,3199000000,2133000000,down,580609637140763,8565.14,12689.28,0
21,2133000000,3199000000,up,580609900353418,8838.97,13093.67,0
22,3199000000,2133000000,down,580610164117223,8482.49,12700.61,0
23,2133000000,3199000000,up,580610427398232,8793.63,13015.27,0
24,3199000000,2133000000,down,580610690973937,8689.4,12981.0,0
25,2133000000,3199000000,up,580610954599147,9212.33,13612.44,0
26,3199000000,2133000000,down,580611218766002,8660.09,12825.44,0
27,2133000000,3199000000,up,580611482165350,8766.3,12918.95,0
28,3199000000,2133000000,down,580611745625084,8447.32,12751.36,0
29,2133000000,3199000000,up,580612008921358,9725.46,13863.07,0
30,3199000000,2133000000,down,580612273335292,8526.9,12602.65,0
31,2133000000,3199000000,up,580612536471946,8825.18,13002.6,0
32,3199000000,2133000000,down,580612799995650,8326.58,12604.89,0
33,2133000000,3199000000,up,580613063128592,9644.75,13834.43,0
34,3199000000,2133000000,down,580613327526366,8906.85,13562.97,0
35,2133000000,3199000000,up,580613591648933,9317.45,13883.68,0
36,3199000000,2133000000,down,580613856158230,9879.1,14177.99,0
37,2133000000,3199000000,up,580614120867724,8864.16,13002.28,0
38,3199000000,2133000000,down,580614384166911,8724.38,13132.68,0
39,2133000000,3199000000,up,580614647816762,8691.87,12974.12,0
40,3199000000,2133000000,down,580614911305778,9427.02,13637.88,0
41,2133000000,3199000000,up,580615175477915,8852.45,13002.69,0
42,3199000000,2133000000,down,580615439026420,8704.44,13115.11,0
43,2133000000,3199000000,up,580615702734481,8952.83,13211.88,0
