i,from,to,direction,t_write_ns,write_us,readback_us,readback_timeout
0,1020000000,612000000,down,580384240173416,5337.12,6955.6,0
1,612000000,1020000000,up,580384497670069,5094.33,6658.89,0
2,1020000000,612000000,down,580384754834107,4880.98,6325.89,0
3,612000000,1020000000,up,580385011726426,5022.56,6643.94,0
4,1020000000,612000000,down,580385268834718,4762.17,6046.29,0
5,612000000,1020000000,up,580385525408373,4822.1,6164.89,0
6,1020000000,612000000,down,580385782089135,5020.12,7117.81,0
7,612000000,1020000000,up,580386039754786,4906.87,6492.86,0
8,1020000000,612000000,down,580386296724515,4633.07,5903.67,0
9,612000000,1020000000,up,580386553150903,4916.66,6301.15,0
10,1020000000,612000000,down,580386809978709,5208.0,6703.14,0
11,612000000,1020000000,up,580387067281631,5038.14,6485.66,0
12,1020000000,612000000,down,580387324307107,5141.76,6557.35,0
13,612000000,1020000000,up,580387581444777,5029.31,6429.41,0
14,1020000000,612000000,down,580387838412011,5081.25,6598.37,0
15,612000000,1020000000,up,580388095570226,5177.28,6675.69,0
16,1020000000,612000000,down,580388352838939,4862.3,6276.67,0
17,612000000,1020000000,up,580388609668154,4972.92,6464.67,0
18,1020000000,612000000,down,580388866656093,5296.36,6731.78,0
19,612000000,1020000000,up,580389123795716,2863.24,3120.94,0
20,1020000000,612000000,down,580389377290865,4685.46,5905.59,0
21,612000000,1020000000,up,580389633723302,5357.83,7038.99,0
22,1020000000,612000000,down,580389891284600,5823.92,7371.51,0
23,612000000,1020000000,up,580390149190482,5101.18,6541.89,0
24,1020000000,612000000,down,580390406262808,5014.72,6473.95,0
25,612000000,1020000000,up,580390663268188,4792.18,6088.09,0
26,1020000000,612000000,down,580390919862390,4779.99,6318.14,0
27,612000000,1020000000,up,580391176698999,5259.65,6636.39,0
28,1020000000,612000000,down,580391433841279,4996.25,6484.42,0
29,612000000,1020000000,up,580391690830147,4767.45,6208.73,0
30,1020000000,612000000,down,580391947576225,5151.58,6609.89,0
31,612000000,1020000000,up,580392204706153,5096.54,6525.6,0
32,1020000000,612000000,down,580392461794097,4818.81,6317.21,0
33,612000000,1020000000,up,580392718652914,5671.72,7231.6,0
34,1020000000,612000000,down,580392976400714,5379.01,6907.15,0
35,612000000,1020000000,up,580393233849562,5216.74,6781.13,0
36,1020000000,612000000,down,580393491092710,4778.45,6051.8,0
37,612000000,1020000000,up,580393747656320,4919.96,6257.95,0
38,1020000000,612000000,down,580394004431296,5267.94,6726.06,0
39,612000000,1020000000,up,580394261714701,5250.24,6959.4,0
40,1020000000,612000000,down,580394519240704,5095.36,6518.11,0
41,612000000,1020000000,up,580394776303847,5217.22,6751.59,0
42,1020000000,612000000,down,580395033581460,5166.98,6720.3,0
43,612000000,1020000000,up,580395290834977,5302.98,6721.8,0
44,1020000000,612000000,down,580395548254481,5208.06,6635.85,0
45,612000000,1020000000,up,580395805414523,5382.72,6987.66,0
46,1020000000,612000000,down,580396062934863,4377.87,5533.16,0
47,612000000,1020000000,up,580396318987422,4985.31,6388.41,0
48,1020000000,612000000,down,580396575899619,4802.84,6287.39,0
49,612000000,1020000000,up,580396832708709,5493.67,7187.79,0
50,1020000000,612000000,down,580397090543936,5094.01,6691.78,0
51,612000000,1020000000,up,580397347756429,5170.08,6717.64,0
52,1020000000,612000000,down,580397604990138,5269.35,6647.01,0
53,612000000,1020000000,up,580397862156389,5086.11,6629.51,0
54,1020000000,612000000,down,580398119300752,5262.82,6812.39,0
55,612000000,1020000000,up,580398376630112,5226.88,6844.9,0
56,1020000000,612000000,down,580398634024753,4997.88,6475.17,0
57,612000000,1020000000,up,580398891001656,5972.53,7450.49,0
58,1020000000,612000000,down,580399148961752,4943.71,6251.96,0
59,612000000,1020000000,up,580399405737690,5009.28,6491.97,0
60,1020000000,612000000,down,580399662746594,4593.68,6139.42,0
61,612000000,1020000000,up,580399919394530,5187.39,6586.21,0
62,1020000000,612000000,down,580400176509869,5181.95,6621.8,0
63,612000000,1020000000,up,580400433677402,5107.81,6656.74,0
64,1020000000,612000000,down,580400690866087,5033.85,6398.24,0
65,612000000,1020000000,up,580400947794093,4943.39,6492.74,0
66,1020000000,612000000,down,580401204804886,4942.43,6294.69,0
67,612000000,1020000000,up,580401461649052,5038.52,6519.2,0
68,1020000000,612000000,down,580401718713446,4693.84,6251.64,0
69,612000000,1020000000,up,580401975541419,5152.13,6630.08,0
70,1020000000,612000000,down,580402232694168,5108.45,6486.98,0
71,612000000,1020000000,up,580402489720290,4995.61,6455.07,0
72,1020000000,612000000,down,580402746705387,4947.32,6445.86,0
73,612000000,1020000000,up,580403003708916,5396.29,7028.78,0
74,1020000000,612000000,down,580403261292716,4864.5,6260.57,0
75,612000000,1020000000,up,580403518104146,5096.16,6595.78,0
76,1020000000,612000000,down,580403775247583,5485.45,7094.93,0
77,612000000,1020000000,up,580404032863896,5218.98,6728.45,0
78,1020000000,612000000,down,580404290089256,4665.59,6082.52,0
79,612000000,1020000000,up,580404546747818,5284.58,6715.43,0
80,1020000000,612000000,down,580404803961337,5067.17,6606.24,0
81,612000000,1020000000,up,580405061068742,4920.51,6298.4,0
82,1020000000,612000000,down,580405317829419,4527.76,5772.53,0
83,612000000,1020000000,up,580405574146884,5156.51,6720.04,0
84,1020000000,612000000,down,580405831383541,5394.76,6870.6,0
85,612000000,1020000000,up,580406088785130,4962.49,6336.09,0
86,1020000000,612000000,down,580406345583408,4702.39,5947.92,0
87,612000000,1020000000,up,580406602038509,5243.17,6785.67,0
88,1020000000,612000000,down,580406859334048,5184.8,6622.08,0
89,612000000,1020000000,up,580407116496975,5236.83,6656.84,0
90,1020000000,612000000,down,580407373724864,4980.92,6477.82,0
91,612000000,1020000000,up,580407630755756,5236.51,6697.41,0
92,1020000000,612000000,down,580407888147458,5197.54,6669.73,0
93,612000000,1020000000,up,580408145344882,5161.95,6595.52,0
94,1020000000,612000000,down,580408402524963,4860.09,6290.81,0
95,612000000,1020000000,up,580408659323754,5245.86,6696.23,0
96,1020000000,612000000,down,580408916517306,5129.18,6566.02,0
97,612000000,1020000000,up,580409173550151,4569.2,5838.13,0
98,1020000000,612000000,down,580409429838882,4692.21,5914.07,0
99,612000000,1020000000,up,580409686258944,5176.55,6714.09,0
100,1020000000,612000000,down,580409943609621,5167.62,6639.69,0
101,612000000,1020000000,up,580410200793350,4964.25,6352.22,0
102,1020000000,612000000,down,580410457625871,4848.63,6085.62,0
103,612000000,1020000000,up,580410714244562,5143.17,6735.46,0
104,1020000000,612000000,down,580410971507654,5272.32,6772.2,0
105,612000000,1020000000,up,580411228790170,4941.21,6284.16,0
106,1020000000,612000000,down,580411485552385,4754.9,5976.47,0
107,612000000,1020000000,up,580411742059746,5247.27,6822.92,0
108,1020000000,612000000,down,580411999404920,5596.84,7105.36,0
109,612000000,1020000000,up,580412257062326,5376.71,6750.09,0
110,1020000000,612000000,down,580412514273929,4725.85,6116.31,0
111,612000000,1020000000,up,580412770934510,4919.87,6269.4,0
112,1020000000,612000000,down,580413027720790,4890.68,6445.66,0
113,612000000,1020000000,up,580413284635266,4546.7,5788.59,0
114,1020000000,612000000,down,580413540963520,5005.76,6293.92,0
115,612000000,1020000000,up,580413797746152,5012.54,6530.82,0
116,1020000000,612000000,down,580414054820280,5154.69,6527.27,0
117,612000000,1020000000,up,580414311806534,4535.73,5848.08,0
118,1020000000,612000000,down,580414568159973,5059.48,6388.73,0
119,612000000,1020000000,up,580414825081489,5197.06,6584.48,0
120,1020000000,612000000,down,580415082194563,5046.33,6545.79,0
121,612000000,1020000000,up,580415339223219,4829.21,6088.5,0
122,1020000000,612000000,down,580415595811159,4703.83,6140.22,0
123,612000000,1020000000,up,580415852479454,5919.8,7465.37,0
124,1020000000,612000000,down,580416110589673,5080.7,6647.72,0
125,612000000,1020000000,up,580416367699803,4854.52,6162.84,0
126,1020000000,612000000,down,580416624364258,5139.55,6477.02,0
127,612000000,1020000000,up,580416881347633,5181.95,6903.27,0
128,1020000000,612000000,down,580417138826732,5169.22,6759.85,0
129,612000000,1020000000,up,580417396178084,4909.15,6313.18,0
130,1020000000,612000000,down,580417653155348,4729.53,6103.32,0
131,612000000,1020000000,up,580417909772154,4944.09,6563.46,0
132,1020000000,612000000,down,580418166872172,4914.81,6287.97,0
133,612000000,1020000000,up,580418423706520,5024.96,6398.72,0
134,1020000000,612000000,down,580418680619430,4896.83,6172.09,0
135,612000000,1020000000,up,580418937318511,5300.64,6867.24,0
136,1020000000,612000000,down,580419194704137,5074.14,6508.83,0
137,612000000,1020000000,up,580419451742171,4743.61,6231.19,0
138,1020000000,612000000,down,580419708513830,4893.88,6221.02,0
139,612000000,1020000000,up,580419965260240,5308.32,6920.4,0
140,1020000000,612000000,down,580420222705228,4989.4,6565.31,0
141,612000000,1020000000,up,580420479811872,4925.15,6355.1,0
142,1020000000,612000000,down,580420736706222,4792.57,6114.26,0
143,612000000,1020000000,up,580420993338262,4988.93,6442.05,0
144,1020000000,612000000,down,580421250310279,4964.15,6448.13,0
145,612000000,1020000000,up,580421507310072,5218.27,6617.8,0
146,1020000000,612000000,down,580421764461645,4715.41,6029.21,0
147,612000000,1020000000,up,580422021004979,5080.86,6578.63,0
148,1020000000,612000000,down,580422278081959,5031.01,6543.52,0
149,612000000,1020000000,up,580422535162267,5134.05,6482.88,0
