i,from,to,direction,t_write_ns,write_us,readback_us,readback_timeout
0,1728000,729600,down,492436340017929,422.83,658.26,0
1,729600,1728000,up,492436591081549,1001.43,1191.36,0
2,1728000,729600,down,492436842717888,517.71,832.89,0
3,729600,1728000,up,492437094011114,724.18,1122.33,0
4,1728000,729600,down,492437345601468,751.76,1252.83,0
5,729600,1728000,up,492437597272880,935.99,1701.93,0
6,1728000,729600,down,492437849491123,1237.79,2067.93,0
7,729600,1728000,up,492438102053791,1267.27,2273.08,0
8,1728000,729600,down,492438354788175,948.66,1889.46,0
9,729600,1728000,up,492438607162934,1017.6,1785.65,0
10,1728000,729600,down,492438859476635,1617.71,2481.15,0
11,729600,1728000,up,492439112466450,1210.53,2083.16,0
12,1728000,729600,down,492439365007069,932.02,1714.35,0
13,729600,1728000,up,492439617181918,920.44,1681.2,0
14,1728000,729600,down,492439869354591,1256.64,2110.94,0
15,729600,1728000,up,492440121998061,1388.9,2468.39,0
16,1728000,729600,down,492440374934179,1014.62,1991.86,0
17,729600,1728000,up,492440627446829,1035.52,1811.31,0
18,1728000,729600,down,492440879785683,1489.03,2393.86,0
19,729600,1728000,up,492441132712969,1286.72,2168.18,0
20,1728000,729600,down,492441385370519,976.92,1763.57,0
21,729600,1728000,up,492441637584729,952.09,1703.34,0
22,1728000,729600,down,492441889838301,1222.72,2064.63,0
23,729600,1728000,up,492442142632783,1263.68,2278.27,0
24,1728000,729600,down,492442395378880,955.29,1704.75,0
25,729600,1728000,up,492442647577570,1213.79,2019.22,0
26,1728000,729600,down,492442900098253,959.03,1712.97,0
27,729600,1728000,up,492443152301391,1220.9,2075.89,0
28,1728000,729600,down,492443404859195,963.03,1708.97,0
29,729600,1728000,up,492443657074845,1022.97,1812.82,0
30,1728000,729600,down,492443909399587,941.62,1688.49,0
31,729600,1728000,up,492444161592549,1262.27,2112.95,0
32,1728000,729600,down,492444414169265,932.06,1681.01,0
33,729600,1728000,up,492444666350515,1125.02,2097.98,0
34,1728000,729600,down,492444918944608,1388.36,2255.07,0
35,729600,1728000,up,492445171712817,1404.81,2281.41,0
36,1728000,729600,down,492445424547013,1139.07,1928.98,0
37,729600,1728000,up,492445676967277,1185.18,2090.52,0
38,1728000,729600,down,492445929548921,1261.12,2131.48,0
39,729600,1728000,up,492446182228712,1257.35,2341.89,0
