i,from,to,direction,t_write_ns,write_us,readback_us,readback_timeout
0,3199000000,665600000,down,492523895529511,8754.38,13294.56,0
1,665600000,3199000000,up,492524159387840,9791.23,14076.05,0
2,3199000000,665600000,down,492524423948780,8304.48,12658.99,0
3,665600000,3199000000,up,492524687102579,10262.51,14461.18,0
4,3199000000,665600000,down,492524952181133,9522.24,14544.67,0
5,665600000,3199000000,up,492525217237222,8824.58,12132.8,0
6,3199000000,665600000,down,492525479796029,8302.62,12805.07,0
7,665600000,3199000000,up,492525743151433,9541.92,13665.03,0
8,3199000000,665600000,down,492526007358092,9144.85,14116.85,0
9,665600000,3199000000,up,492526272074844,9619.26,13775.44,0
10,3199000000,665600000,down,492526536308608,8294.59,12557.03,0
11,665600000,3199000000,up,492526799478567,10877.02,15375.99,0
12,3199000000,665600000,down,492527065382359,8802.57,13275.39,0
13,665600000,3199000000,up,492527329210031,9486.62,13687.43,0
14,3199000000,665600000,down,492527593406770,8501.57,12986.77,0
15,665600000,3199000000,up,492527856931395,9590.78,13738.25,0
16,3199000000,665600000,down,492528121195399,8560.13,13024.63,0
17,665600000,3199000000,up,492528384772537,9690.37,13847.92,0
18,3199000000,665600000,down,492528649129600,9267.16,13552.33,0
19,665600000,3199000000,up,492528913216576,9761.86,14034.55,0
20,3199000000,665600000,down,492529177775180,8562.98,13185.31,0
21,665600000,3199000000,up,492529441452513,9243.09,13257.31,0
22,3199000000,665600000,down,492529705220312,8689.38,13043.13,0
23,665600000,3199000000,up,492529968808810,9687.84,13880.98,0
24,3199000000,665600000,down,492530233143505,7676.75,11273.77,0
25,665600000,3199000000,up,492530494882770,10101.51,14395.26,0
26,3199000000,665600000,down,492530759799976,8530.5,13085.05,0
27,665600000,3199000000,up,492531023434940,10036.52,14715.14,0
28,3199000000,665600000,down,492531288677434,8519.65,13021.24,0
29,665600000,3199000000,up,492531552187883,10375.47,14477.34,0
30,3199000000,665600000,down,492531817180482,8616.0,12920.37,0
31,665600000,3199000000,up,492532080666386,9797.0,14077.27,0
32,3199000000,665600000,down,492532345348194,8619.65,13165.92,0
33,665600000,3199000000,up,492532609040567,9416.83,13565.54,0
34,3199000000,665600000,down,492532873150040,8743.01,11916.41,0
35,665600000,3199000000,up,492533135546859,10081.67,14393.24,0
36,3199000000,665600000,down,492533400441472,9116.62,13581.13,0
37,665600000,3199000000,up,492533664517088,9205.14,13238.43,0
38,3199000000,665600000,down,492533928147763,8219.99,12784.95,0
39,665600000,3199000000,up,492534191548545,9877.16,14368.96,0
