i,from,to,direction,t_write_ns,write_us,readback_us,readback_timeout
0,1020000000,612000000,down,492472447900362,4964.23,6631.79,0
1,612000000,1020000000,up,492472705066321,5009.12,6415.34,0
2,1020000000,612000000,down,492472961991249,4654.27,5965.6,0
3,612000000,1020000000,up,492473218600713,5145.9,6559.73,0
4,1020000000,612000000,down,492473475718063,4689.15,6000.64,0
5,612000000,1020000000,up,492473732253925,4920.61,6322.22,0
6,1020000000,612000000,down,492473989093283,5609.36,7195.45,0
7,612000000,1020000000,up,492474246808888,4996.58,6341.57,0
8,1020000000,612000000,down,492474503630454,4688.54,5903.74,0
9,612000000,1020000000,up,492474760144747,4974.11,6337.48,0
10,1020000000,612000000,down,492475017006250,4977.28,6332.33,0
11,612000000,1020000000,up,492475273856104,4934.59,6516.36,0
12,1020000000,612000000,down,492475530871467,4523.61,6000.93,0
13,612000000,1020000000,up,492475787397921,4703.36,6045.47,0
14,1020000000,612000000,down,492476043977624,4753.79,6211.75,0
15,612000000,1020000000,up,492476300695667,4876.16,6244.93,0
16,1020000000,612000000,down,492476557405518,4408.21,5664.76,0
17,612000000,1020000000,up,492476813577754,4817.5,6243.14,0
18,1020000000,612000000,down,492477070399736,4912.29,6660.21,0
19,612000000,1020000000,up,492477327603904,4901.57,6377.61,0
20,1020000000,612000000,down,492477584505952,4843.17,6235.85,0
21,612000000,1020000000,up,492477841291261,4908.07,6321.45,0
22,1020000000,612000000,down,492478098147227,5064.65,6723.63,0
23,612000000,1020000000,up,492478355391652,4921.92,6425.0,0
24,1020000000,612000000,down,492478612162465,4970.24,6397.06,0
25,612000000,1020000000,up,492478869098978,4934.11,6357.19,0
26,1020000000,612000000,down,492479125973377,4866.59,6408.62,0
27,612000000,1020000000,up,492479382857856,4453.65,5986.27,0
28,1020000000,612000000,down,492479639309236,4502.26,5749.43,0
29,612000000,1020000000,up,492479895563971,4915.78,6252.61,0
30,1020000000,612000000,down,492480152105082,3441.31,4214.0,0
31,612000000,1020000000,up,492480406796159,4885.73,6307.94,0
32,1020000000,612000000,down,492480663646014,4701.98,6046.05,0
33,612000000,1020000000,up,492480920202741,5352.88,6976.47,0
34,1020000000,612000000,down,492481177714181,4898.98,6467.34,0
35,612000000,1020000000,up,492481434659046,4706.04,6153.7,0
36,1020000000,612000000,down,492481691357889,4907.55,6375.72,0
37,612000000,1020000000,up,492481948179615,5614.61,7229.98,0
38,1020000000,612000000,down,492482205934741,4843.94,6422.22,0
39,612000000,1020000000,up,492482462852566,4575.55,6053.12,0
