i,from,to,direction,t_write_ns,write_us,readback_us,readback_timeout
0,1728000,115200,down,492688359519475,1590.38,2605.8,0
1,115200,1728000,up,492688612689719,1341.6,2260.6,0
2,1728000,115200,down,492688865346990,546.89,663.18,0
3,115200,1728000,up,492689116456124,1674.28,2668.77,0
4,1728000,115200,down,492689369657633,1328.99,2276.44,0
5,115200,1728000,up,492689622636896,1313.99,2352.26,0
6,1728000,115200,down,492689875585311,1603.34,2604.16,0
7,115200,1728000,up,492690128752963,1418.98,2451.17,0
8,1728000,115200,down,492690381749859,1317.76,2441.76,0
9,115200,1728000,up,492690634737635,1196.0,2196.73,0
10,1728000,115200,down,492690887449947,1334.91,2242.01,0
11,115200,1728000,up,492691140167635,1617.19,2592.42,0
12,1728000,115200,down,492691393299511,1314.27,2241.05,0
13,115200,1728000,up,492691646090673,1215.81,2244.73,0
14,1728000,115200,down,492691898852619,1322.05,2197.82,0
15,115200,1728000,up,492692151560003,1529.96,2506.47,0
16,1728000,115200,down,492692404599652,1519.5,2464.8,0
17,115200,1728000,up,492692657614372,1174.4,2072.12,0
18,1728000,115200,down,492692910218266,1447.78,2426.21,0
19,115200,1728000,up,492693163149112,1743.05,2671.56,0
20,1728000,115200,down,492693416177913,1225.57,2101.37,0
21,115200,1728000,up,492693668791407,1214.78,2079.32,0
22,1728000,115200,down,492693921340419,1059.42,1909.36,0
23,115200,1728000,up,492694173709394,947.64,1541.19,0
24,1728000,115200,down,492694425732600,1318.56,2244.12,0
25,115200,1728000,up,492694678619125,1670.16,2634.47,0
26,1728000,115200,down,492694931751097,1317.41,2216.25,0
27,115200,1728000,up,492695184503954,1708.53,2734.79,0
28,1728000,115200,down,492695437779449,1315.75,2384.13,0
29,115200,1728000,up,492695690684119,1274.05,2330.49,0
30,1728000,115200,down,492695943528051,1432.42,2356.7,0
31,115200,1728000,up,492696196174890,1356.39,2327.04,0
32,1728000,115200,down,492696449042854,1366.08,2340.51,0
33,115200,1728000,up,492696701912131,1241.44,2298.84,0
34,1728000,115200,down,492696954755231,1418.63,2356.13,0
35,115200,1728000,up,492697207666396,1521.29,2533.09,0
36,1728000,115200,down,492697460714942,1335.33,2297.09,0
37,115200,1728000,up,492697713591163,1182.27,2075.48,0
38,1728000,115200,down,492697966174864,1258.43,2385.63,0
39,115200,1728000,up,492698219072909,1417.35,2386.21,0
