i,from,to,direction,t_write_ns,write_us,readback_us,readback_timeout
0,3199000000,665600000,down,492757684250693,8921.9,14249.05,0
1,665600000,3199000000,up,492757949111392,9842.4,14246.62,0
2,3199000000,665600000,down,492758213926842,8753.9,13756.81,0
3,665600000,3199000000,up,492758478309609,9822.72,14258.68,0
4,3199000000,665600000,down,492758743116162,8941.65,13861.52,0
5,665600000,3199000000,up,492759007596307,10858.88,15223.95,0
6,3199000000,665600000,down,492759273401480,8624.36,13247.29,0
7,665600000,3199000000,up,492759537169094,9453.98,13546.69,0
8,3199000000,665600000,down,492759801253709,8660.29,13315.94,0
9,665600000,3199000000,up,492760065221712,9759.62,14111.29,0
10,3199000000,665600000,down,492760329891463,8648.04,13401.12,0
11,665600000,3199000000,up,492760593847114,9326.97,13763.12,0
12,3199000000,665600000,down,492760858196664,8912.43,14095.06,0
13,665600000,3199000000,up,492761122887118,9912.74,14424.57,0
14,3199000000,665600000,down,492761387864621,8497.28,13111.39,0
15,665600000,3199000000,up,492761651531593,10203.6,14818.82,0
16,3199000000,665600000,down,492761916887985,9194.74,13865.81,0
17,665600000,3199000000,up,492762181360450,9786.95,14090.17,0
18,3199000000,665600000,down,492762446008504,8579.84,13058.78,0
19,665600000,3199000000,up,492762709629746,10789.05,15179.89,0
20,3199000000,665600000,down,492762975355300,8689.09,13327.62,0
21,665600000,3199000000,up,492763239256070,9955.75,14553.67,0
22,3199000000,665600000,down,492763504356936,9325.69,13828.88,0
23,665600000,3199000000,up,492763768757143,10087.21,14379.42,0
24,3199000000,665600000,down,492764033662964,8642.76,13236.67,0
25,665600000,3199000000,up,492764297504340,9778.27,14094.2,0
26,3199000000,665600000,down,492764562131817,8725.13,13393.73,0
27,665600000,3199000000,up,492764826121614,10079.63,14690.21,0
28,3199000000,665600000,down,492765091374419,8867.24,13575.05,0
29,665600000,3199000000,up,492765355552253,10830.21,15096.72,0
30,3199000000,665600000,down,492765621178156,8559.97,12993.56,0
31,665600000,3199000000,up,492765884765958,9938.21,14304.22,0
32,3199000000,665600000,down,492766149605345,8922.76,13775.47,0
33,665600000,3199000000,up,492766413969231,9873.54,14868.1,0
34,3199000000,665600000,down,492766679376537,8731.69,13078.68,0
35,665600000,3199000000,up,492766942972531,10237.26,15055.82,0
36,3199000000,665600000,down,492767208599427,9555.07,14135.13,0
37,665600000,3199000000,up,492767473300762,9603.55,13960.59,0
38,3199000000,665600000,down,492767737854125,8642.69,13258.01,0
39,665600000,3199000000,up,492768001715022,10115.34,15166.61,0
