i,from,to,direction,t_write_ns,write_us,readback_us,readback_timeout
0,1020000000,306000000,down,492723226159193,5101.41,7362.95,0
1,306000000,1020000000,up,492723484137565,3846.53,4787.97,0
2,1020000000,306000000,down,492723739424698,5568.63,8028.47,0
3,306000000,1020000000,up,492723997989934,3625.31,4496.69,0
4,1020000000,306000000,down,492724252978308,4672.64,6115.55,0
5,306000000,1020000000,up,492724509646213,4756.89,5807.51,0
6,1020000000,306000000,down,492724765956734,4884.1,6483.98,0
7,306000000,1020000000,up,492725022905031,3757.7,4615.9,0
8,1020000000,306000000,down,492725277994303,4713.4,6148.19,0
9,306000000,1020000000,up,492725534610399,3808.26,4740.45,0
10,1020000000,306000000,down,492725789853883,5273.29,6495.44,0
11,306000000,1020000000,up,492726046785860,3853.77,4794.4,0
12,1020000000,306000000,down,492726302053697,4888.96,6458.03,0
13,306000000,1020000000,up,492726559042891,5101.06,6657.71,0
14,1020000000,306000000,down,492726816202010,4827.01,6243.43,0
15,306000000,1020000000,up,492727072995039,4649.98,6061.7,0
16,1020000000,306000000,down,492727329565054,4770.05,6156.9,0
17,306000000,1020000000,up,492727586174527,4679.16,6159.65,0
18,1020000000,306000000,down,492727842849761,4921.79,6342.5,0
19,306000000,1020000000,up,492728099716968,4672.32,6035.71,0
20,1020000000,306000000,down,492728356257254,4716.64,6074.5,0
21,306000000,1020000000,up,492728612786693,4124.33,5192.1,0
22,1020000000,306000000,down,492728868464140,4791.52,6254.53,0
23,306000000,1020000000,up,492729125245873,4742.43,6202.28,0
24,1020000000,306000000,down,492729381970836,4913.35,6449.61,0
25,306000000,1020000000,up,492729638961663,5023.68,6554.0,0
26,1020000000,306000000,down,492729896176687,4496.22,6005.09,0
27,306000000,1020000000,up,492730152721614,4839.87,6271.4,0
28,1020000000,306000000,down,492730409504403,4829.95,6210.88,0
29,306000000,1020000000,up,492730666246455,4869.51,6444.65,0
30,1020000000,306000000,down,492730923245473,4984.04,6475.44,0
31,306000000,1020000000,up,492731180284365,4673.34,6092.55,0
32,1020000000,306000000,down,492731436933935,4905.76,6450.63,0
33,306000000,1020000000,up,492731693908537,5017.03,6646.96,0
34,1020000000,306000000,down,492731951111657,4908.99,6371.21,0
35,306000000,1020000000,up,492732208126708,4707.93,6105.12,0
36,1020000000,306000000,down,492732464741556,4529.37,5853.08,0
37,306000000,1020000000,up,492732721060557,3816.29,4780.51,0
38,1020000000,306000000,down,492732976179558,4771.26,6255.4,0
39,306000000,1020000000,up,492733232966283,5169.8,6856.73,0
