cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,15.491,3920.422,3935.913,0
1,12.871,3926.054,3938.925,0
2,11.116,3910.822,3921.938,0
3,11.696,3915.046,3926.742,0
4,10.805,3907.526,3918.331,0
5,12.762,3903.462,3916.224,0
6,10.206,3916.678,3926.884,0
7,11.395,3909.990,3921.385,0
8,11.208,3913.062,3924.270,0
9,11.468,3915.750,3927.218,0
10,10.609,3906.054,3916.663,0
11,12.278,3911.238,3923.516,0
12,12.378,3902.662,3915.040,0
13,10.495,3906.246,3916.741,0
14,11.172,3905.701,3916.873,0
15,11.688,3904.486,3916.174,0
16,11.309,3916.966,3928.275,0
17,11.282,3915.462,3926.744,0
18,12.086,3906.662,3918.748,0
19,10.651,3899.686,3910.337,0
20,10.912,3904.677,3915.589,0
21,10.628,3911.974,3922.602,0
22,11.017,3905.894,3916.911,0
23,12.814,3904.997,3917.811,0
24,13.458,3917.350,3930.808,0
25,10.519,3918.118,3928.637,0
26,10.876,3912.582,3923.458,0
27,11.776,3900.934,3912.710,0
28,10.853,3906.374,3917.227,0
29,11.306,3903.493,3914.799,0
30,11.694,3907.526,3919.220,0
31,11.219,3912.614,3923.833,0
32,10.648,3915.046,3925.694,0
33,11.964,3909.734,3921.698,0
34,11.009,3909.094,3920.103,0
35,11.110,3905.637,3916.747,0
36,11.754,3919.334,3931.088,0
37,10.319,3911.142,3921.461,0
38,10.676,3898.501,3909.177,0
39,12.184,3906.630,3918.814,0
40,9.725,3917.222,3926.947,0
41,12.610,3911.046,3923.656,0
42,12.422,3915.750,3928.172,0
43,10.155,3900.037,3910.192,0
44,12.656,3913.254,3925.910,0
45,10.868,3907.334,3918.202,0
46,10.393,3913.798,3924.191,0
47,12.510,3905.125,3917.635,0
48,10.818,3906.118,3916.936,0
49,10.663,3912.806,3923.469,0
50,11.436,3916.454,3927.890,0
51,13.040,3910.278,3923.318,0
52,10.965,3901.286,3912.251,0
53,11.706,3903.781,3915.487,0
54,11.902,3907.398,3919.300,0
55,10.339,3905.638,3915.977,0
56,11.143,3906.758,3917.901,0
57,12.300,3906.342,3918.642,0
58,10.609,3907.494,3918.103,0
59,12.085,3908.518,3920.603,0
60,10.682,3906.886,3917.568,0
61,11.551,3905.254,3916.805,0
62,11.107,3912.614,3923.721,0
63,11.400,3912.934,3924.334,0
64,10.893,3915.110,3926.003,0
65,10.961,3915.142,3926.103,0
66,10.326,3912.422,3922.748,0
67,10.203,3913.894,3924.097,0
68,11.199,3912.326,3923.525,0
69,10.852,3912.678,3923.530,0
70,10.345,3915.686,3926.031,0
71,11.501,3911.558,3923.059,0
72,10.450,3916.838,3927.288,0
73,10.999,3913.222,3924.221,0
74,11.099,3902.502,3913.601,0
75,10.368,3916.998,3927.366,0
76,10.277,3904.293,3914.570,0
77,11.753,3913.286,3925.039,0
78,12.494,3912.390,3924.884,0
79,11.027,3906.502,3917.529,0
80,10.679,3909.478,3920.157,0
81,11.484,3923.206,3934.690,0
82,10.209,3914.886,3925.095,0
83,12.069,3918.855,3930.924,0
84,9.834,3909.158,3918.992,0
85,10.543,3914.118,3924.661,0
86,10.931,3904.998,3915.929,0
87,11.352,3899.654,3911.006,0
88,9.917,3914.982,3924.899,0
89,10.881,3914.246,3925.127,0
90,11.302,3908.646,3919.948,0
91,11.339,3919.878,3931.217,0
92,10.639,3909.382,3920.021,0
93,11.060,3904.870,3915.930,0
94,10.937,3913.222,3924.159,0
95,12.445,3911.334,3923.779,0
96,10.210,3908.070,3918.280,0
97,11.047,3907.589,3918.636,0
98,11.659,3910.310,3921.969,0
99,10.960,3913.766,3924.726,0
100,10.453,3909.765,3920.218,0
101,11.481,3904.198,3915.679,0
102,10.462,3913.702,3924.164,0
103,11.171,3909.637,3920.808,0
104,10.599,3903.462,3914.061,0
105,11.276,3906.246,3917.522,0
106,10.417,3904.997,3915.414,0
107,11.253,3915.590,3926.843,0
108,11.290,3909.798,3921.088,0
109,10.463,3909.573,3920.036,0
110,12.067,3910.054,3922.121,0
111,11.016,3909.766,3920.782,0
112,10.413,3916.038,3926.451,0
113,11.121,3903.590,3914.711,0
114,10.358,3906.534,3916.892,0
115,10.170,3905.798,3915.968,0
116,10.783,3911.014,3921.797,0
117,11.908,3909.030,3920.938,0
118,10.152,3917.031,3927.183,0
119,12.301,3912.646,3924.947,0
120,12.306,3912.646,3924.952,0
121,11.895,3910.917,3922.812,0
122,12.283,3914.150,3926.433,0
123,11.072,3911.878,3922.950,0
124,10.564,3913.222,3923.786,0
125,12.713,3905.926,3918.639,0
126,10.926,3901.189,3912.115,0
127,10.994,3915.335,3926.329,0
128,12.119,3913.382,3925.501,0
129,12.444,3902.374,3914.818,0
130,10.816,3917.415,3928.231,0
131,11.877,3900.486,3912.363,0
132,11.210,3907.206,3918.416,0
133,10.126,3905.062,3915.188,0
134,11.443,3908.774,3920.217,0
135,12.216,3914.918,3927.134,0
136,10.524,3915.942,3926.466,0
137,12.545,3909.702,3922.247,0
138,12.294,3911.718,3924.012,0
139,12.554,3913.574,3926.128,0
140,10.607,3910.022,3920.629,0
141,11.412,3904.518,3915.930,0
142,10.712,3913.414,3924.126,0
143,13.373,3906.406,3919.779,0
144,11.906,3902.437,3914.343,0
145,10.598,3913.254,3923.852,0
146,11.755,3911.910,3923.665,0
147,10.864,3907.334,3918.198,0
148,10.452,3910.150,3920.602,0
149,10.361,3910.534,3920.895,0
150,12.222,3908.742,3920.964,0
151,11.810,3915.526,3927.336,0
152,11.079,3908.774,3919.853,0
153,11.884,3906.950,3918.834,0
154,10.928,3909.638,3920.566,0
155,10.741,3907.110,3917.851,0
156,11.962,3905.990,3917.952,0
157,10.142,3910.214,3920.356,0
158,11.363,3908.486,3919.849,0
159,10.120,3908.678,3918.798,0
160,10.060,3908.646,3918.706,0
161,11.633,3904.390,3916.023,0
162,10.742,3909.638,3920.380,0
163,11.866,3912.038,3923.904,0
164,11.519,3913.830,3925.349,0
165,12.484,3907.046,3919.530,0
166,10.504,3913.958,3924.462,0
167,10.797,3915.590,3926.387,0
168,11.954,3911.654,3923.608,0
169,11.062,3910.022,3921.084,0
170,9.691,3913.830,3923.521,0
171,10.400,3909.061,3919.461,0
172,10.340,3915.014,3925.354,0
173,11.369,3902.278,3913.647,0
174,10.574,3918.310,3928.884,0
175,11.762,3908.390,3920.152,0
176,12.119,3908.678,3920.797,0
177,10.396,3905.221,3915.617,0
178,10.272,3905.030,3915.302,0
179,11.621,3906.566,3918.187,0
180,11.946,3907.237,3919.183,0
181,10.734,3920.774,3931.508,0
182,12.819,3913.030,3925.849,0
