cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,16.328,6534.834,6551.162,0
1,25.001,6568.978,6593.979,0
2,16.329,6545.393,6561.722,0
3,21.353,6558.386,6579.739,0
4,24.073,6563.506,6587.579,0
5,22.249,6565.234,6587.483,0
6,18.633,6559.218,6577.851,0
7,15.881,6546.450,6562.331,0
8,15.209,6538.930,6554.139,0
9,22.985,6576.115,6599.100,0
10,15.593,6540.850,6556.443,0
11,17.321,6535.473,6552.794,0
12,21.321,6562.450,6583.771,0
13,15.561,6543.441,6559.002,0
14,20.297,6551.090,6571.387,0
15,12.745,6532.849,6545.594,0
16,14.953,6563.122,6578.075,0
17,20.488,6572.019,6592.507,0
18,17.128,6540.722,6557.850,0
19,17.032,6547.473,6564.505,0
20,27.112,6617.555,6644.667,0
21,18.215,6556.466,6574.681,0
22,17.895,6553.010,6570.905,0
23,16.903,6535.409,6552.312,0
24,69.832,7076.768,7146.600,0
25,35.398,6812.825,6848.223,0
26,17.157,6590.035,6607.192,0
27,15.621,6569.650,6585.271,0
28,42.949,6855.290,6898.239,0
29,24.516,6695.190,6719.706,0
30,17.316,6578.450,6595.766,0
31,14.051,6572.722,6586.773,0
32,18.051,6582.418,6600.469,0
33,24.002,6601.683,6625.685,0
34,20.161,6579.763,6599.924,0
35,22.593,6583.827,6606.420,0
36,22.240,6580.851,6603.091,0
37,22.816,6562.130,6584.946,0
38,21.919,6550.546,6572.465,0
39,19.582,6559.826,6579.408,0
40,21.790,6568.370,6590.160,0
41,23.965,6576.946,6600.911,0
42,20.156,6568.498,6588.654,0
43,20.379,6565.650,6586.029,0
44,21.594,6571.571,6593.165,0
45,22.137,6563.666,6585.803,0
46,21.785,6547.505,6569.290,0
47,19.032,6555.825,6574.857,0
48,25.431,6558.674,6584.105,0
49,23.958,6589.875,6613.833,0
50,19.701,6569.074,6588.775,0
51,19.764,6566.514,6586.278,0
52,21.523,6563.282,6584.805,0
53,22.674,6556.850,6579.524,0
54,20.785,6555.409,6576.194,0
55,19.632,6548.561,6568.193,0
56,22.767,6556.754,6579.521,0
57,23.437,6574.803,6598.240,0
58,23.660,6550.162,6573.822,0
59,19.339,6560.530,6579.869,0
60,25.322,6601.555,6626.877,0
61,24.329,6565.170,6589.499,0
62,19.687,6572.370,6592.057,0
63,22.118,6672.661,6694.779,0
64,29.541,6664.981,6694.522,0
65,30.500,6686.261,6716.761,0
66,38.050,6763.960,6802.010,0
67,22.145,6617.299,6639.444,0
68,23.775,6594.899,6618.674,0
69,22.174,6576.018,6598.192,0
70,31.837,6756.759,6788.596,0
71,23.451,6661.205,6684.656,0
72,24.954,6589.970,6614.924,0
73,22.456,6600.627,6623.083,0
74,20.854,6578.643,6599.497,0
75,18.677,6574.770,6593.447,0
76,21.171,6595.475,6616.646,0
77,23.218,6626.611,6649.829,0
78,21.712,6617.139,6638.851,0
79,18.478,6580.851,6599.329,0
80,22.893,6583.154,6606.047,0
81,21.739,6583.474,6605.213,0
82,21.641,6571.794,6593.435,0
83,20.935,6577.811,6598.746,0
84,22.918,6583.538,6606.456,0
85,15.940,6545.649,6561.589,0
86,16.802,6554.770,6571.572,0
87,17.344,6541.073,6558.417,0
88,17.310,6536.338,6553.648,0
89,24.893,6573.650,6598.543,0
90,16.634,6543.026,6559.660,0
91,16.344,6536.562,6552.906,0
92,23.031,6625.811,6648.842,0
93,19.860,6601.300,6621.160,0
94,17.426,6548.786,6566.212,0
95,15.216,6532.690,6547.906,0
96,24.431,6579.122,6603.553,0
97,22.636,6589.363,6611.999,0
98,21.546,6569.138,6590.684,0
99,14.856,6551.378,6566.234,0
100,20.646,6567.954,6588.600,0
101,17.636,6550.577,6568.213,0
102,14.273,6543.250,6557.523,0
103,17.183,6643.348,6660.531,0
104,33.086,6721.974,6755.060,0
105,24.027,6645.652,6669.679,0
106,27.321,6698.741,6726.062,0
107,17.046,6588.659,6605.705,0
108,22.228,6600.755,6622.983,0
109,18.033,6555.730,6573.763,0
110,15.663,6551.026,6566.689,0
111,20.717,6570.354,6591.071,0
112,18.922,6576.275,6595.197,0
113,23.720,6586.931,6610.651,0
114,14.373,6549.874,6564.247,0
115,30.947,6698.774,6729.721,0
116,26.368,6644.181,6670.549,0
117,16.094,6585.170,6601.264,0
118,21.531,6577.139,6598.670,0
119,15.544,6546.450,6561.994,0
120,16.726,6547.410,6564.136,0
121,22.131,6574.451,6596.582,0
122,16.049,6540.465,6556.514,0
123,16.782,6546.321,6563.103,0
124,23.243,6578.707,6601.950,0
125,16.296,6537.586,6553.882,0
126,25.126,6648.084,6673.210,0
127,22.915,6587.859,6610.774,0
128,23.264,6578.739,6602.003,0
129,21.629,6593.299,6614.928,0
130,15.098,6552.722,6567.820,0
131,17.111,6559.282,6576.393,0
132,23.061,6591.186,6614.247,0
133,15.378,6560.817,6576.195,0
134,20.335,6564.402,6584.737,0
135,16.364,6545.745,6562.109,0
136,17.609,6528.593,6546.202,0
137,25.062,6569.042,6594.104,0
138,26.211,6639.284,6665.495,0
139,17.632,6584.210,6601.842,0
140,22.237,6588.978,6611.215,0
141,16.665,6544.114,6560.779,0
142,21.750,6569.779,6591.529,0
143,19.667,6563.122,6582.789,0
144,21.232,6573.874,6595.106,0
145,19.053,6595.795,6614.848,0
146,28.234,6694.997,6723.231,0
147,23.590,6672.661,6696.251,0
148,26.723,6714.166,6740.889,0
149,27.488,6701.462,6728.950,0
150,23.069,6646.356,6669.425,0
151,19.801,6584.691,6604.492,0
152,20.214,6586.930,6607.144,0
153,21.011,6586.610,6607.621,0
154,19.183,6577.106,6596.289,0
155,14.187,6553.010,6567.197,0
156,33.384,6678.421,6711.805,0
157,14.756,6588.467,6603.223,0
158,21.025,6601.587,6622.612,0
159,15.806,6565.650,6581.456,0
160,24.762,6685.334,6710.096,0
161,24.055,6631.443,6655.498,0
162,15.763,6570.994,6586.757,0
163,30.800,6696.757,6727.557,0
164,24.972,6636.980,6661.952,0
165,15.336,6558.834,6574.170,0
166,16.324,6544.370,6560.694,0
167,18.945,6543.345,6562.290,0
168,18.301,6561.234,6579.535,0
169,23.001,6578.003,6601.004,0
170,14.453,6548.914,6563.367,0
171,13.553,6535.313,6548.866,0
172,34.286,6677.941,6712.227,0
173,17.546,6585.874,6603.420,0
174,15.718,6562.738,6578.456,0
175,14.690,6574.674,6589.364,0
176,26.750,6685.462,6712.212,0
177,22.106,6598.867,6620.973,0
178,16.854,6553.362,6570.216,0
179,17.714,6556.722,6574.436,0
180,22.958,6593.459,6616.417,0
181,19.882,6565.170,6585.052,0
182,17.318,6563.090,6580.408,0
183,14.178,6548.945,6563.123,0
184,15.806,6531.505,6547.311,0
185,22.810,6583.218,6606.028,0
186,16.118,6571.378,6587.496,0
187,25.522,6653.972,6679.494,0
188,27.981,6677.237,6705.218,0
189,18.569,6593.939,6612.508,0
190,15.429,6564.370,6579.799,0
191,12.384,6565.298,6577.682,0
192,19.932,6620.244,6640.176,0
193,21.048,6608.467,6629.515,0
194,14.676,6564.273,6578.949,0
195,18.799,6568.370,6587.169,0
196,21.867,6582.130,6603.997,0
197,14.278,6568.690,6582.968,0
