cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,14.279,7190.147,7204.426,0
1,14.140,7198.531,7212.671,0
2,15.313,7192.387,7207.700,0
3,16.774,7195.299,7212.073,0
4,12.379,7188.514,7200.893,0
5,11.376,7185.922,7197.298,0
6,12.932,7187.075,7200.007,0
7,13.625,7186.242,7199.867,0
8,13.326,7190.210,7203.536,0
9,14.691,7192.482,7207.173,0
10,14.615,7193.571,7208.186,0
11,18.860,7200.419,7219.279,0
12,17.249,7193.250,7210.499,0
13,11.989,7187.586,7199.575,0
14,14.954,7199.490,7214.444,0
15,16.030,7199.395,7215.425,0
16,16.915,7192.162,7209.077,0
17,13.063,7193.603,7206.666,0
18,14.108,7185.026,7199.134,0
19,12.912,7188.739,7201.651,0
20,12.325,7198.914,7211.239,0
21,13.369,7195.459,7208.828,0
22,12.782,7183.938,7196.720,0
23,26.754,7268.357,7295.111,0
24,17.975,7226.531,7244.506,0
25,15.915,7214.179,7230.094,0
26,16.031,7229.476,7245.507,0
27,12.020,7207.650,7219.670,0
28,13.928,7204.515,7218.443,0
29,13.628,7202.147,7215.775,0
30,14.768,7194.595,7209.363,0
31,26.405,7246.500,7272.905,0
32,19.481,7222.787,7242.268,0
33,15.373,7202.595,7217.968,0
34,15.169,7203.779,7218.948,0
35,15.285,7204.739,7220.024,0
36,14.505,7200.387,7214.892,0
37,17.310,7198.946,7216.256,0
38,16.850,7215.907,7232.757,0
39,13.862,7232.675,7246.537,0
40,18.458,7248.708,7267.166,0
41,14.958,7212.771,7227.729,0
42,14.786,7210.499,7225.285,0
43,12.726,7200.386,7213.112,0
44,12.618,7201.698,7214.316,0
45,15.678,7219.075,7234.753,0
46,15.409,7202.307,7217.716,0
47,18.213,7194.979,7213.192,0
48,13.881,7192.579,7206.460,0
49,11.565,7202.435,7214.000,0
50,13.697,7201.603,7215.300,0
51,13.301,7195.522,7208.823,0
52,14.473,7203.682,7218.155,0
53,14.652,7197.251,7211.903,0
54,13.104,7193.730,7206.834,0
55,14.180,7191.298,7205.478,0
56,16.759,7216.324,7233.083,0
57,17.483,7190.211,7207.694,0
58,15.295,7195.362,7210.657,0
59,11.954,7198.787,7210.741,0
60,15.110,7208.003,7223.113,0
61,15.770,7199.778,7215.548,0
62,15.021,7189.699,7204.720,0
63,14.753,7192.162,7206.915,0
64,14.932,7195.651,7210.583,0
65,16.328,7196.226,7212.554,0
66,16.251,7188.547,7204.798,0
67,16.399,7200.771,7217.170,0
68,16.642,7203.107,7219.749,0
69,13.526,7196.290,7209.816,0
70,13.801,7194.627,7208.428,0
71,15.580,7203.395,7218.975,0
72,15.312,7201.027,7216.339,0
73,16.515,7199.811,7216.326,0
74,13.367,7211.523,7224.890,0
75,21.482,7247.972,7269.454,0
76,18.205,7206.787,7224.992,0
77,13.584,7199.907,7213.491,0
78,16.772,7199.170,7215.942,0
79,14.519,7208.355,7222.874,0
80,13.898,7193.827,7207.725,0
81,16.349,7202.755,7219.104,0
82,14.640,7193.283,7207.923,0
83,14.980,7203.298,7218.278,0
84,16.375,7212.419,7228.794,0
85,13.930,7185.442,7199.372,0
86,16.477,7190.722,7207.199,0
87,13.424,7201.667,7215.091,0
88,23.747,7209.635,7233.382,0
89,14.934,7199.139,7214.073,0
90,14.601,7200.995,7215.596,0
91,18.748,7244.004,7262.752,0
92,19.087,7210.019,7229.106,0
93,15.106,7198.370,7213.476,0
94,24.277,7223.843,7248.120,0
95,21.224,7206.915,7228.139,0
96,20.219,7214.211,7234.430,0
97,14.477,7197.699,7212.176,0
98,21.216,7334.151,7355.367,0
99,15.219,7214.755,7229.974,0
100,15.462,7214.819,7230.281,0
101,15.769,7196.258,7212.027,0
102,22.795,7233.380,7256.175,0
103,17.534,7206.115,7223.649,0
104,17.233,7210.883,7228.116,0
105,15.203,7197.123,7212.326,0
106,24.470,7243.396,7267.866,0
107,18.761,7220.963,7239.724,0
108,17.787,7213.635,7231.422,0
109,12.718,7207.395,7220.113,0
110,22.433,7251.268,7273.701,0
111,15.475,7204.035,7219.510,0
112,23.526,7218.659,7242.185,0
113,20.504,7241.796,7262.300,0
114,15.915,7202.370,7218.285,0
115,19.453,7223.172,7242.625,0
116,15.600,7211.266,7226.866,0
117,31.362,7315.878,7347.240,0
118,19.476,7217.284,7236.760,0
119,15.335,7205.442,7220.777,0
120,18.361,7220.611,7238.972,0
121,19.340,7250.820,7270.160,0
122,17.022,7208.611,7225.633,0
123,20.656,7226.756,7247.412,0
124,17.026,7205.187,7222.213,0
125,20.981,7223.107,7244.088,0
126,17.127,7198.594,7215.721,0
127,15.001,7313.254,7328.255,0
128,19.947,7229.156,7249.103,0
129,13.181,7214.691,7227.872,0
130,20.528,7219.427,7239.955,0
131,18.466,7210.179,7228.645,0
132,21.108,7241.892,7263.000,0
133,19.334,7212.131,7231.465,0
134,20.952,7202.211,7223.163,0
135,17.130,7201.603,7218.733,0
136,20.860,7230.788,7251.648,0
137,18.094,7211.011,7229.105,0
138,18.656,7212.995,7231.651,0
139,17.074,7245.508,7262.582,0
140,23.909,7208.962,7232.871,0
141,20.854,7218.243,7239.097,0
142,16.392,7214.499,7230.891,0
143,19.354,7228.195,7247.549,0
144,21.356,7222.019,7243.375,0
145,18.334,7212.067,7230.401,0
146,18.608,7206.979,7225.587,0
147,22.402,7243.203,7265.605,0
148,20.531,7228.612,7249.143,0
149,17.093,7201.635,7218.728,0
150,15.479,7199.970,7215.449,0
151,23.593,7243.523,7267.116,0
152,20.698,7219.523,7240.221,0
153,19.404,7216.451,7235.855,0
154,20.734,7227.587,7248.321,0
155,21.008,7286.820,7307.828,0
156,17.793,7222.243,7240.036,0
157,18.259,7208.386,7226.645,0
158,17.380,7210.467,7227.847,0
159,17.206,7202.306,7219.512,0
160,20.167,7209.891,7230.058,0
161,19.961,7208.707,7228.668,0
162,15.562,7210.115,7225.677,0
163,17.148,7219.075,7236.223,0
164,20.685,7208.867,7229.552,0
165,17.983,7206.114,7224.097,0
166,18.608,7205.507,7224.115,0
167,17.793,7213.923,7231.716,0
168,21.203,7209.827,7231.030,0
169,23.908,7197.027,7220.935,0
170,18.454,7206.466,7224.920,0
171,18.375,7225.635,7244.010,0
172,17.464,7209.987,7227.451,0
173,18.634,7208.290,7226.924,0
174,31.355,7294.661,7326.016,0
175,23.212,7256.484,7279.696,0
176,20.509,7230.532,7251.041,0
177,19.246,7249.252,7268.498,0
178,18.624,7215.907,7234.531,0
179,17.841,7232.835,7250.676,0
180,20.834,7212.963,7233.797,0
181,22.867,7249.508,7272.375,0
182,19.364,7218.531,7237.895,0
183,17.141,7203.843,7220.984,0
184,20.102,7210.723,7230.825,0
185,23.480,7231.235,7254.715,0
186,19.304,7215.171,7234.475,0
187,27.002,7270.340,7297.342,0
188,23.211,7240.707,7263.918,0
189,20.731,7235.972,7256.703,0
190,21.676,7220.291,7241.967,0
191,15.869,7205.731,7221.600,0
192,19.662,7227.075,7246.737,0
193,20.703,7223.523,7244.226,0
194,17.808,7207.875,7225.683,0
195,16.577,7212.739,7229.316,0
196,18.802,7236.227,7255.029,0
197,22.114,7211.683,7233.797,0
198,18.995,7207.619,7226.614,0
199,16.516,7203.970,7220.486,0
200,21.973,7241.891,7263.864,0
201,18.085,7222.051,7240.136,0
202,17.366,7208.515,7225.881,0
203,17.959,7219.747,7237.706,0
204,22.327,7223.236,7245.563,0
205,23.144,7207.875,7231.019,0
206,18.489,7216.738,7235.227,0
207,20.009,7232.100,7252.109,0
208,19.482,7218.435,7237.917,0
209,17.802,7216.163,7233.965,0
210,20.507,7211.907,7232.414,0
211,22.028,7248.483,7270.511,0
212,19.516,7230.435,7249.951,0
213,20.204,7208.259,7228.463,0
214,19.357,7324.998,7344.355,0
215,22.509,7240.516,7263.025,0
216,19.358,7218.019,7237.377,0
217,19.086,7208.963,7228.049,0
218,20.574,7213.091,7233.665,0
219,21.999,7250.212,7272.211,0
220,34.400,7277.252,7311.652,0
221,21.679,7239.332,7261.011,0
222,21.760,7257.892,7279.652,0
223,18.160,7235.939,7254.099,0
224,18.400,7223.843,7242.243,0
225,19.120,7208.451,7227.571,0
226,22.753,7254.180,7276.933,0
227,17.649,7228.195,7245.844,0
228,20.833,7215.043,7235.876,0
229,18.545,7207.715,7226.260,0
230,24.065,7238.468,7262.533,0
231,17.969,7211.939,7229.908,0
232,20.642,7223.843,7244.485,0
233,19.698,7202.594,7222.292,0
234,24.450,7244.259,7268.709,0
235,20.658,7230.787,7251.445,0
236,28.386,7266.788,7295.174,0
237,20.466,7263.812,7284.278,0
238,20.290,7251.011,7271.301,0
239,20.434,7215.394,7235.828,0
240,21.378,7216.194,7237.572,0
241,19.889,7224.036,7243.925,0
242,19.649,7233.892,7253.541,0
243,17.649,7238.532,7256.181,0
244,28.513,7270.789,7299.302,0
245,24.401,7286.373,7310.774,0
246,22.561,7227.011,7249.572,0
247,19.536,7214.627,7234.163,0
248,19.584,7222.883,7242.467,0
249,20.720,7232.611,7253.331,0
250,19.584,7224.547,7244.131,0
251,19.184,7226.531,7245.715,0
252,17.855,7220.451,7238.306,0
253,21.135,7230.499,7251.634,0
254,19.646,7211.267,7230.913,0
255,19.022,7207.139,7226.161,0
256,21.470,7245.027,7266.497,0
257,22.637,7217.827,7240.464,0
258,18.525,7209.123,7227.648,0
259,17.933,7216.706,7234.639,0
260,29.980,7313.606,7343.586,0
261,26.220,7298.213,7324.433,0
262,20.667,7260.132,7280.799,0
263,19.082,7233.636,7252.718,0
