token,dur_ns
0,38965338
1,39074750
2,38950874
3,38865112
4,38754325
5,38663987
6,38781782
7,38869304
8,38761045
9,38753173
10,38670291
11,38643218
12,38698131
13,38680147
14,38661555
15,38638066
16,38673906
17,38636306
18,38633970
19,38648658
20,38628754
21,38613233
22,38612849
23,38610385
24,38599569
25,38701555
26,38614098
27,38629585
28,38629010
29,38617361
30,38622930
31,38605040
32,38619954
33,38621201
34,38613905
35,38680147
36,38613553
37,38600081
38,38603313
39,38611185
40,38604401
41,38596433
42,38601361
43,38602416
44,38602481
45,38595345
46,38611345
47,38591152
48,38619825
49,38597841
50,38624433
51,38747157
52,38624241
53,38638770
54,38645074
55,38863928
56,38929849
57,38875577
58,38874136
59,38941754
60,38920281
61,39054269
62,38788342
63,38649650
64,38613745
65,38720276
66,38676307
67,38621937
68,38642098
69,38615185
70,38605905
71,38613713
72,38612273
73,38589809
74,38769909
75,38607665
76,38619633
77,38693651
78,38597809
79,38621361
80,38596401
81,38654898
82,38613297
83,38605777
84,38619505
85,38626258
86,38712052
87,38701491
88,38656178
89,38611601
90,38603441
91,38606609
92,38595472
93,38602417
94,38653586
95,38600465
96,38603505
97,38595888
98,38610385
99,38599601
100,38604561
101,38605361
102,38623185
103,38687443
104,38596977
105,38603632
106,38613201
107,38606929
108,38615665
109,38593073
110,38599536
111,38615922
112,38694323
113,38682995
114,38658002
115,38606705
116,38626737
117,38625745
118,38610705
119,38607313
120,38681299
121,38598737
122,38615025
123,38624721
124,38621169
125,38613489
126,38601937
127,38598192
128,38613489
129,38718324
130,38667027
131,38620465
132,38618705
133,38637458
134,38617969
135,38616401
136,38611313
137,38608081
138,38596816
139,38744277
140,38622385
141,38611121
142,38618225
143,38592944
144,38613681
145,38605329
146,38724756
147,38650610
148,38640817
149,38671219
150,38638834
151,38651794
152,38669362
153,38647218
154,38636305
155,38727316
156,38661267
157,38646706
158,38662194
159,38624113
160,38633041
161,38662483
162,43341936
163,40960304
164,39062813
165,38896857
166,38832951
167,38813654
168,38789302
169,38800886
170,38784789
171,38793942
172,38805526
173,38798870
174,38793462
175,38786965
176,38785494
177,38790262
178,38804950
179,38778421
180,38860952
181,38798197
182,38827415
183,38800086
184,38785270
185,38788053
186,38790454
187,38816374
188,38787830
189,38784981
190,38860728
191,38807062
192,38885240
193,38814806
194,38824215
195,38811798
196,38788854
197,38793782
198,38828278
199,38794966
200,38790902
201,38799989
202,38780342
203,38769973
204,38807318
205,38764629
206,38855799
207,38823319
208,38813334
209,38788790
210,38796501
211,38795926
212,38792214
213,38780501
214,38800086
215,38772341
216,38875928
217,38822839
218,38819094
219,38788853
220,38804086
221,38788054
222,38787925
223,38801814
224,38800246
225,38804566
226,38796310
227,38804566
228,38794774
229,38796117
230,38789334
231,38792790
232,38881432
233,38786645
234,38848119
235,38814774
236,38772086
237,38854647
238,39002875
239,38967930
240,38884633
241,38832438
242,38857272
243,38788501
244,38807702
245,38801814
246,38804374
247,38784373
248,38793238
249,38861591
250,39095038
251,38936474
252,38850679
253,38975226
254,39065405
255,38871512
256,38824726
257,38805302
258,38950202
259,39032284
260,38926489
261,38810423
262,38799829
263,38887064
264,38807126
265,38830775
266,38915161
267,39047068
268,38850488
269,38813814
270,38787381
271,38803446
272,38794197
273,38815511
274,38803733
275,38794710
276,38807158
277,38784789
278,38785526
279,38789333
280,38786358
281,38790805
282,38795446
283,38841527
284,38864055
285,38834935
286,38799413
287,38799606
288,38788182
289,38784309
290,38795990
291,38806518
292,38796533
293,38891480
294,38800918
295,38787733
296,38882808
297,38806710
298,38778869
299,38815991
