cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,16.773,4591.290,4608.063,0
1,22.681,4605.306,4627.987,0
2,16.876,4604.090,4620.966,0
3,16.639,4617.947,4634.586,0
4,17.395,4608.570,4625.965,0
5,19.878,4626.779,4646.657,0
6,19.450,4606.330,4625.780,0
7,18.221,4602.170,4620.391,0
8,16.288,4604.890,4621.178,0
9,15.604,4604.442,4620.046,0
10,17.351,4625.979,4643.330,0
11,16.474,4610.459,4626.933,0
12,17.742,4603.354,4621.096,0
13,21.409,4624.731,4646.140,0
14,19.252,4607.003,4626.255,0
15,52.553,4861.089,4913.642,0
16,24.027,4726.718,4750.745,0
17,18.287,4658.075,4676.362,0
18,31.266,4757.886,4789.152,0
19,25.205,4702.013,4727.218,0
20,23.337,4666.715,4690.052,0
21,21.180,4658.075,4679.255,0
22,26.223,4713.149,4739.372,0
23,22.819,4671.771,4694.590,0
24,16.470,4644.059,4660.529,0
25,15.913,4617.530,4633.443,0
26,20.572,4633.403,4653.975,0
27,16.368,4611.450,4627.818,0
28,19.299,4619.002,4638.301,0
29,22.038,4632.507,4654.545,0
30,16.137,4614.747,4630.884,0
31,19.613,4606.394,4626.007,0
32,16.432,4592.026,4608.458,0
33,24.195,4668.604,4692.799,0
34,24.663,4665.019,4689.682,0
35,18.122,4619.706,4637.828,0
36,15.357,4609.050,4624.407,0
37,22.768,4625.531,4648.299,0
38,15.363,4599.546,4614.909,0
39,19.159,4619.738,4638.897,0
40,18.122,4602.458,4620.580,0
41,15.869,4601.434,4617.303,0
42,21.040,4619.643,4640.683,0
43,16.867,4613.563,4630.430,0
44,15.639,4594.073,4609.712,0
45,29.066,4686.844,4715.910,0
46,16.893,4624.923,4641.816,0
47,17.744,4604.314,4622.058,0
48,16.163,4600.698,4616.861,0
49,16.951,4602.810,4619.761,0
50,23.242,4620.378,4643.620,0
51,16.125,4596.122,4612.247,0
52,15.184,4592.058,4607.242,0
53,24.675,4640.347,4665.022,0
54,16.534,4608.315,4624.849,0
55,17.417,4606.299,4623.716,0
56,17.117,4594.169,4611.286,0
57,31.760,4723.197,4754.957,0
58,22.723,4651.163,4673.886,0
59,16.630,4625.115,4641.745,0
60,16.041,4612.474,4628.515,0
61,21.532,4633.787,4655.319,0
62,21.295,4623.803,4645.098,0
63,16.802,4607.355,4624.157,0
64,15.893,4611.451,4627.344,0
65,16.265,4590.361,4606.626,0
66,23.036,4634.267,4657.303,0
67,16.495,4606.650,4623.145,0
68,24.258,4665.308,4689.566,0
69,24.789,4661.596,4686.385,0
70,19.176,4614.170,4633.346,0
71,22.235,4611.227,4633.462,0
72,15.086,4593.626,4608.712,0
73,16.385,4595.226,4611.611,0
74,21.524,4614.651,4636.175,0
75,16.903,4591.738,4608.641,0
76,15.002,4588.282,4603.284,0
77,23.277,4631.547,4654.824,0
78,16.512,4602.746,4619.258,0
79,17.555,4599.322,4616.877,0
80,16.838,4605.563,4622.401,0
81,24.474,4669.499,4693.973,0
82,20.461,4644.603,4665.064,0
83,15.935,4603.930,4619.865,0
84,16.882,4606.363,4623.245,0
85,24.166,4629.082,4653.248,0
86,24.089,4612.922,4637.011,0
87,15.499,4599.610,4615.109,0
88,16.062,4605.722,4621.784,0
89,16.881,4606.810,4623.691,0
90,21.380,4629.531,4650.911,0
91,17.591,4594.266,4611.857,0
92,17.354,4588.058,4605.412,0
93,22.717,4627.803,4650.520,0
94,15.952,4601.018,4616.970,0
95,21.091,4611.898,4632.989,0
96,14.614,4591.386,4606.000,0
97,17.001,4602.970,4619.971,0
98,21.948,4647.963,4669.911,0
99,18.031,4596.858,4614.889,0
100,13.154,4598.681,4611.835,0
101,22.069,4641.019,4663.088,0
102,16.871,4601.530,4618.401,0
103,21.594,4616.891,4638.485,0
