cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,13.157,4978.084,4991.241,0
1,16.694,4972.100,4988.794,0
2,35.048,5148.104,5183.152,0
3,16.408,5002.597,5019.005,0
4,16.105,5001.157,5017.262,0
5,15.002,4991.844,5006.846,0
6,16.171,4982.692,4998.863,0
7,21.052,5001.061,5022.113,0
8,14.957,4990.436,5005.393,0
9,15.070,4982.468,4997.538,0
10,17.199,4967.876,4985.075,0
11,16.512,4975.428,4991.940,0
12,17.841,4985.188,5003.029,0
13,15.362,4975.300,4990.662,0
14,14.675,4981.764,4996.439,0
15,14.308,4975.715,4990.023,0
16,24.597,5011.365,5035.962,0
17,14.437,4988.549,5002.986,0
18,56.375,5205.514,5261.889,0
19,56.456,5217.707,5274.163,0
20,23.768,5059.494,5083.262,0
21,17.705,5015.173,5032.878,0
22,12.090,4990.660,5002.750,0
23,17.835,4993.924,5011.759,0
24,13.596,4976.259,4989.855,0
25,27.917,5029.061,5056.978,0
26,21.022,5037.349,5058.371,0
27,20.654,5037.670,5058.324,0
28,29.375,5081.607,5110.982,0
29,19.984,5039.110,5059.094,0
30,29.441,5103.879,5133.320,0
31,20.530,5046.373,5066.903,0
32,20.963,5009.732,5030.695,0
33,15.187,4989.573,5004.760,0
34,14.500,4990.884,5005.384,0
35,20.501,4988.580,5009.081,0
36,19.974,4983.748,5003.722,0
37,14.487,4977.955,4992.442,0
38,17.543,4978.308,4995.851,0
39,16.824,4989.028,5005.852,0
40,13.577,4992.420,5005.997,0
41,14.746,4982.660,4997.406,0
42,13.803,4986.852,5000.655,0
43,24.828,5030.245,5055.073,0
44,46.125,5175.529,5221.654,0
45,33.053,5121.416,5154.469,0
46,17.966,5004.644,5022.610,0
47,17.375,5004.836,5022.211,0
48,15.183,4980.036,4995.219,0
49,39.329,5156.904,5196.233,0
50,21.681,5017.765,5039.446,0
51,13.634,4987.556,5001.190,0
52,18.930,4989.765,5008.695,0
53,15.363,5007.173,5022.536,0
54,22.068,5046.342,5068.410,0
55,18.085,5011.812,5029.897,0
56,16.725,4989.957,5006.682,0
57,23.046,5004.453,5027.499,0
58,21.495,5015.205,5036.700,0
59,14.119,4986.917,5001.036,0
60,20.184,4997.893,5018.077,0
61,14.153,4985.060,4999.213,0
62,13.370,4984.996,4998.366,0
63,17.130,4992.421,5009.551,0
64,19.387,4997.413,5016.800,0
65,14.028,4983.652,4997.680,0
66,13.596,4968.260,4981.856,0
67,19.245,4978.692,4997.937,0
68,18.782,4993.604,5012.386,0
69,15.630,4977.540,4993.170,0
70,12.767,4978.372,4991.139,0
71,18.512,4994.852,5013.364,0
72,15.936,4982.372,4998.308,0
73,14.609,4981.572,4996.181,0
74,17.538,4980.292,4997.830,0
75,17.202,4982.436,4999.638,0
76,19.907,4996.485,5016.392,0
77,13.812,4976.451,4990.263,0
78,15.972,4970.468,4986.440,0
79,17.173,4982.500,4999.673,0
80,15.174,4968.195,4983.369,0
81,15.062,4982.692,4997.754,0
82,26.695,5016.197,5042.892,0
83,17.271,4996.037,5013.308,0
84,19.816,4995.716,5015.532,0
85,14.457,4987.204,5001.661,0
86,13.769,4981.156,4994.925,0
87,17.178,4988.036,5005.214,0
88,15.274,4984.132,4999.406,0
89,14.907,4981.540,4996.447,0
90,26.860,5013.445,5040.305,0
91,16.060,4982.500,4998.560,0
92,19.821,4988.804,5008.625,0
93,15.453,4975.172,4990.625,0
94,16.398,4975.716,4992.114,0
95,17.854,4985.413,5003.267,0
96,14.575,4981.636,4996.211,0
97,15.519,4969.700,4985.219,0
98,24.592,5015.589,5040.181,0
99,15.265,4983.972,4999.237,0
100,18.609,4989.444,5008.053,0
101,16.578,4982.084,4998.662,0
102,15.314,4981.508,4996.822,0
103,13.027,4991.300,5004.327,0
104,12.051,4972.804,4984.855,0
105,13.796,4974.243,4988.039,0
106,15.892,4969.028,4984.920,0
107,15.781,4985.732,5001.513,0
108,25.269,5015.365,5040.634,0
109,20.038,5004.676,5024.714,0
110,21.846,5040.038,5061.884,0
111,24.903,5051.526,5076.429,0
112,19.223,5007.685,5026.908,0
113,13.704,4990.308,5004.012,0
114,14.360,4983.652,4998.012,0
115,15.913,4994.756,5010.669,0
116,20.089,4998.789,5018.878,0
117,18.634,4996.100,5014.734,0
118,16.698,4979.716,4996.414,0
119,16.042,4988.165,5004.207,0
120,20.155,4979.908,5000.063,0
121,17.675,4976.804,4994.479,0
122,16.412,4983.972,5000.384,0
123,38.253,5113.863,5152.116,0
124,27.485,5029.093,5056.578,0
125,15.821,4998.596,5014.417,0
126,16.381,4974.180,4990.561,0
127,20.238,5032.709,5052.947,0
128,18.366,5010.597,5028.963,0
129,14.607,4988.740,5003.347,0
130,14.367,4980.324,4994.691,0
131,19.664,5007.204,5026.868,0
132,19.616,5011.749,5031.365,0
133,18.288,4983.588,5001.876,0
134,18.753,4997.412,5016.165,0
135,18.609,4988.644,5007.253,0
136,34.082,5091.623,5125.705,0
137,20.690,5016.581,5037.271,0
138,12.770,4991.172,5003.942,0
139,17.555,4992.356,5009.911,0
140,19.683,4992.420,5012.103,0
141,14.931,4985.028,4999.959,0
142,18.404,4992.292,5010.696,0
143,14.644,4974.884,4989.528,0
144,18.212,4986.372,5004.584,0
145,16.021,4980.452,4996.473,0
146,13.381,4982.916,4996.297,0
147,14.869,4982.404,4997.273,0
148,20.710,4992.612,5013.322,0
149,21.942,4984.004,5005.946,0
150,18.854,4998.437,5017.291,0
151,22.935,5005.252,5028.187,0
152,18.535,5002.820,5021.355,0
153,19.255,4987.652,5006.907,0
154,19.719,4990.085,5009.804,0
155,13.016,4974.307,4987.323,0
156,29.288,5050.534,5079.822,0
157,17.016,4995.013,5012.029,0
158,28.105,5082.502,5110.607,0
159,29.497,5086.375,5115.872,0
160,22.505,5046.022,5068.527,0
161,21.593,5017.477,5039.070,0
162,14.314,4991.620,5005.934,0
163,13.914,4991.492,5005.406,0
164,29.578,5034.022,5063.600,0
165,24.699,5004.836,5029.535,0
166,18.763,4995.044,5013.807,0
167,15.259,4988.804,5004.063,0
168,20.651,4995.941,5016.592,0
169,15.291,4983.972,4999.263,0
170,15.115,4979.716,4994.831,0
171,14.620,4979.748,4994.368,0
172,34.572,5046.470,5081.042,0
173,23.004,5007.429,5030.433,0
174,17.132,4993.093,5010.225,0
175,17.277,4983.780,5001.057,0
176,20.973,4998.852,5019.825,0
177,15.069,4978.628,4993.697,0
178,15.341,4972.836,4988.177,0
179,18.909,4975.012,4993.921,0
180,27.982,5027.493,5055.475,0
181,23.998,5004.228,5028.226,0
182,15.694,4993.924,5009.618,0
183,16.510,4985.540,5002.050,0
184,20.974,4993.957,5014.931,0
185,16.222,4975.428,4991.650,0
186,17.711,4971.907,4989.618,0
187,12.639,4976.259,4988.898,0
188,19.055,4990.820,5009.875,0
189,23.007,4979.620,5002.627,0
190,16.335,4982.980,4999.315,0
191,18.239,4994.821,5013.060,0
192,18.959,5004.517,5023.476,0
193,19.936,4990.820,5010.756,0
194,23.408,5010.469,5033.877,0
195,15.936,4985.732,5001.668,0
196,20.432,4994.084,5014.516,0
197,16.928,4991.140,5008.068,0
198,15.824,4981.252,4997.076,0
199,13.184,4972.484,4985.668,0
200,19.536,4987.876,5007.412,0
201,15.072,4976.548,4991.620,0
202,13.712,4969.316,4983.028,0
203,17.409,4990.596,5008.005,0
204,18.385,4988.612,5006.997,0
205,11.808,4982.021,4993.829,0
206,10.801,4966.499,4977.300,0
207,15.585,4981.668,4997.253,0
208,18.737,4985.476,5004.213,0
209,14.209,4981.892,4996.101,0
210,16.209,4977.380,4993.589,0
211,12.865,4971.876,4984.741,0
212,17.361,4985.508,5002.869,0
213,16.257,4981.028,4997.285,0
214,12.977,4972.356,4985.333,0
215,15.681,4966.436,4982.117,0
216,20.145,4984.228,5004.373,0
217,14.273,4972.580,4986.853,0
218,14.545,4971.684,4986.229,0
219,15.905,4972.932,4988.837,0
220,20.561,4985.540,5006.101,0
221,25.697,5028.102,5053.799,0
222,16.177,4994.757,5010.934,0
223,15.777,4979.268,4995.045,0
224,19.889,5002.789,5022.678,0
225,14.177,4977.668,4991.845,0
226,20.145,4985.892,5006.037,0
227,14.849,4974.244,4989.093,0
228,19.857,4982.148,5002.005,0
229,24.545,5010.085,5034.630,0
230,16.625,4992.292,5008.917,0
231,14.689,4986.948,5001.637,0
232,19.633,4996.068,5015.701,0
233,15.937,4969.732,4985.669,0
234,15.761,4968.355,4984.116,0
235,14.593,4975.076,4989.669,0
236,18.609,4997.092,5015.701,0
237,21.089,4984.740,5005.829,0
238,27.889,5007.429,5035.318,0
239,15.616,5059.079,5074.695,0
240,20.817,4996.740,5017.557,0
241,15.456,4987.652,5003.108,0
242,14.128,4977.156,4991.284,0
243,16.800,4977.252,4994.052,0
244,20.464,4991.300,5011.764,0
245,17.088,4974.756,4991.844,0
246,15.344,4972.868,4988.212,0
247,15.616,4975.460,4991.076,0
248,21.712,4981.892,5003.604,0
249,15.583,4975.364,4990.947,0
250,15.567,4986.020,5001.587,0
251,16.991,4971.524,4988.515,0
252,22.671,4984.580,5007.251,0
253,14.751,4967.940,4982.691,0
254,28.111,5037.414,5065.525,0
255,24.639,5024.773,5049.412,0
256,23.631,5036.389,5060.020,0
257,29.247,5050.918,5080.165,0
258,20.814,5026.630,5047.444,0
259,25.118,5052.710,5077.828,0
260,23.854,5037.030,5060.884,0
261,15.646,4983.428,4999.074,0
262,22.926,5005.284,5028.210,0
263,14.941,4976.260,4991.201,0
264,18.221,4982.532,5000.753,0
265,20.925,4982.084,5003.009,0
266,13.325,4982.308,4995.633,0
267,13.501,4971.267,4984.768,0
268,21.261,4988.836,5010.097,0
269,19.356,4981.380,5000.736,0
270,14.988,4967.812,4982.800,0
271,14.876,4978.180,4993.056,0
272,23.724,5010.917,5034.641,0
273,16.987,4980.932,4997.919,0
274,15.691,4982.372,4998.063,0
275,14.651,4970.756,4985.407,0
276,19.947,4983.428,5003.375,0
277,19.995,4983.780,5003.775,0
278,18.122,4995.269,5013.391,0
279,32.058,5028.646,5060.704,0
280,26.282,5054.118,5080.400,0
281,23.418,5036.997,5060.415,0
282,21.993,5019.429,5041.422,0
283,16.505,4984.068,5000.573,0
284,19.241,4986.596,5005.837,0
285,18.232,4980.868,4999.100,0
286,21.480,4993.349,5014.829,0
287,25.592,5019.461,5045.053,0
288,23.752,4995.652,5019.404,0
289,14.935,4979.332,4994.267,0
290,16.199,4980.228,4996.427,0
291,14.295,4971.043,4985.338,0
292,18.406,4989.829,5008.235,0
