token,dur_ns
0,26601856
1,26517087
2,26552895
3,26582688
4,26518078
5,26535775
6,26546815
7,26517983
8,26507646
9,26518782
10,26532799
11,26512766
12,26505950
13,26516382
14,26505279
15,26514110
16,26507230
17,26507582
18,26609377
19,26511646
20,26503678
21,26517790
22,26495038
23,26464829
24,26494526
25,26486077
26,26516991
27,26479581
28,26478269
29,26498814
30,26478301
31,26483998
32,26477341
33,26484158
34,26527070
35,26497758
36,26514462
37,26555104
38,26587104
39,26521502
40,26529375
41,26500862
42,26488349
43,26494046
44,26481214
45,26490141
46,26466717
47,26472637
48,26503614
49,26510495
50,26491293
51,26516254
52,26497214
53,26542303
54,26521631
55,26590688
56,26520606
57,26518303
58,26542591
59,26508638
60,26502942
61,26545567
62,26520478
63,26534367
64,26525535
65,26501470
66,26535999
67,26517886
68,26514622
69,26519967
70,26531294
71,26511998
72,26516767
73,26502942
74,26519678
75,26518527
76,26587680
77,26533662
78,26526686
79,26515646
80,26523103
81,26512254
82,26493246
83,26488349
84,26516703
85,26507966
86,26489725
87,26497406
88,26545695
89,26493790
90,26512574
91,26520063
92,26514750
93,26572320
94,26522718
95,26508926
96,26514014
97,26492446
98,26506206
99,26520639
100,26540607
101,26496253
102,26512863
103,26501629
104,26532863
105,26525023
106,26506558
107,26528190
108,26513279
109,26502398
110,26498237
111,26511199
112,26514750
113,26513022
114,26597153
115,26596096
116,26546975
117,26549471
118,26535775
119,26512350
120,26543519
121,26516255
122,26501981
123,26513279
124,26519326
125,26522687
126,26541951
127,26481597
128,26518622
129,26506174
130,26498782
131,26594561
132,26546719
133,26526430
134,26552351
135,26540543
136,26514239
137,26530878
138,26537151
139,26489086
140,26546911
141,26495678
142,26522398
143,26515070
144,26499006
145,26543999
146,26545791
147,26556032
148,26524510
149,26548351
150,26519103
151,26625633
152,26543679
153,26571904
154,26542751
155,26543999
156,26561055
157,26561376
158,26543295
159,26523166
160,26521535
161,26535678
162,31316862
163,27859970
164,26715235
165,26648642
166,26657250
167,26631201
168,26704196
169,26676130
170,26662754
171,26643330
172,26644130
173,26617249
174,26621633
175,26634529
176,26616961
177,26634466
178,26629665
179,26629409
180,26608929
181,26627777
182,26664514
183,26648930
184,26635042
185,26625825
186,26640769
187,26618465
188,26625698
189,26686114
190,26637794
191,26680131
192,26619041
193,26646625
194,26675715
195,26629729
196,26607297
197,26608129
198,26643873
199,26627489
200,26633026
201,26628545
202,26652226
203,26641442
204,26642241
205,26631586
206,26701219
207,26635585
208,26648162
209,26668770
210,26663042
211,26647426
212,26635554
213,26656386
214,26651938
215,26635713
216,26661794
217,26638658
218,26649313
219,26650626
220,26633474
221,26638529
222,26634754
223,26638209
224,26654882
225,26634594
226,26684386
227,26663938
228,26656802
229,26636834
230,26732324
231,26679139
232,26667554
233,26664610
234,26654146
235,26645570
236,26638209
237,26656898
238,26642050
239,26625025
240,26642946
241,26641345
242,26640066
243,26725732
244,26647649
245,26642882
246,26624065
247,26645730
248,26617729
249,26631169
250,26632193
251,26645090
252,26653026
253,26642370
254,26657666
255,26626497
256,26613665
257,26630849
258,26606241
259,26632833
260,26631969
261,26652578
262,26649826
263,26640706
264,26688259
265,26644353
266,26633890
267,26627169
268,26722404
269,26652865
270,26655042
271,26652642
272,26667811
273,26634881
274,26631681
275,26649154
276,26642306
277,26639169
278,26656962
279,26621249
280,26629698
281,26743140
282,26648034
283,26661826
284,26695011
285,26653698
286,26632417
287,26689027
288,26627489
289,26650146
290,26656066
291,26619137
292,26654242
293,26660098
294,26645794
295,26648673
296,26656130
297,26634370
298,26635841
299,26650658
