cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,28.256,71775.722,71803.978,0
1,26.266,68633.594,68659.860,0
2,19.124,69733.270,69752.394,0
3,19.758,68571.480,68591.238,0
4,15.912,68560.536,68576.448,0
5,18.946,68542.072,68561.018,0
6,23.452,68623.258,68646.710,0
7,15.478,68550.264,68565.742,0
8,18.224,72315.768,72333.992,0
9,18.762,68654.555,68673.317,0
10,19.652,69246.890,69266.542,0
11,15.934,68587.545,68603.479,0
12,12.504,68542.456,68554.960,0
13,15.507,68559.255,68574.762,0
14,14.669,68556.087,68570.756,0
15,20.071,68563.960,68584.031,0
16,17.185,72144.563,72161.748,0
17,19.803,68605.305,68625.108,0
18,19.829,69192.328,69212.157,0
19,18.671,68606.105,68624.776,0
20,16.969,68540.247,68557.216,0
21,23.427,68585.209,68608.636,0
22,15.901,68528.855,68544.756,0
23,17.399,68533.144,68550.543,0
24,12.625,71892.909,71905.534,0
25,16.172,68674.042,68690.214,0
26,17.254,69172.327,69189.581,0
27,25.344,68595.065,68620.409,0
28,16.666,68530.647,68547.313,0
29,24.276,68555.032,68579.308,0
30,13.710,68533.751,68547.461,0
31,16.424,68548.472,68564.896,0
32,11.266,71797.707,71808.973,0
33,18.205,68608.633,68626.838,0
34,21.207,69237.225,69258.432,0
35,17.489,69007.747,69025.236,0
36,14.379,68535.319,68549.698,0
37,23.333,68553.752,68577.085,0
38,19.199,68530.295,68549.494,0
39,12.921,68514.263,68527.184,0
40,10.771,71812.043,71822.814,0
41,21.390,68718.748,68740.138,0
42,22.536,69166.119,69188.655,0
43,17.986,69051.205,69069.191,0
44,14.876,68546.904,68561.780,0
45,16.182,68545.944,68562.126,0
46,14.321,68557.463,68571.784,0
47,12.459,68525.879,68538.338,0
48,14.245,72200.437,72214.682,0
49,17.087,68666.299,68683.386,0
50,17.593,69114.855,69132.448,0
51,21.620,68979.458,69001.078,0
52,13.454,68536.855,68550.309,0
53,21.640,68569.496,68591.136,0
54,14.114,68528.407,68542.521,0
55,17.372,68531.704,68549.076,0
56,13.367,73521.878,73535.245,0
57,16.497,68594.681,68611.178,0
58,16.523,71273.981,71290.504,0
59,18.981,68613.242,68632.223,0
60,17.472,68575.032,68592.504,0
61,26.106,68597.465,68623.571,0
62,16.468,68663.547,68680.015,0
63,10.222,68562.840,68573.062,0
64,12.296,70079.103,70091.399,0
65,24.899,68570.904,68595.803,0
66,18.397,69274.410,69292.807,0
67,20.023,68582.489,68602.512,0
68,21.074,68607.769,68628.843,0
69,24.460,68576.760,68601.220,0
70,24.966,68608.346,68633.312,0
71,13.664,68546.936,68560.600,0
72,18.427,70073.054,70091.481,0
73,24.405,68592.121,68616.526,0
74,25.583,69261.098,69286.681,0
75,20.490,68590.968,68611.458,0
76,13.028,69009.379,69022.407,0
77,23.678,68560.792,68584.470,0
78,11.960,68601.081,68613.041,0
79,13.779,68525.495,68539.274,0
80,11.469,69970.556,69982.025,0
81,16.903,68624.378,68641.281,0
82,22.818,69116.070,69138.888,0
83,26.844,68591.865,68618.709,0
84,14.134,69224.713,69238.847,0
85,37.809,68736.221,68774.030,0
86,17.899,68758.653,68776.552,0
87,20.133,68539.832,68559.965,0
88,12.480,70488.105,70500.585,0
89,21.722,68662.043,68683.765,0
90,20.500,69176.104,69196.604,0
91,19.151,68621.337,68640.488,0
92,20.649,69025.540,69046.189,0
93,28.196,68657.562,68685.758,0
94,13.982,68673.307,68687.289,0
95,15.896,68548.248,68564.144,0
96,15.219,70060.382,70075.601,0
97,23.309,68599.545,68622.854,0
98,20.615,69391.214,69411.829,0
99,20.706,68617.817,68638.523,0
100,14.748,68512.791,68527.539,0
101,46.999,68696.508,68743.507,0
102,24.209,68705.596,68729.805,0
