cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,23.457,42558.497,42581.954,0
1,69.154,44358.928,44428.082,0
2,68.994,43434.456,43503.450,0
3,37.057,43187.154,43224.211,0
4,32.993,43897.060,43930.053,0
5,45.985,43315.445,43361.430,0
6,28.961,43101.199,43130.160,0
7,27.425,43890.147,43917.572,0
8,44.193,43277.524,43321.717,0
9,28.513,43040.846,43069.359,0
10,33.409,43919.460,43952.869,0
11,43.553,43249.108,43292.661,0
12,28.001,43030.862,43058.863,0
13,29.121,44149.162,44178.283,0
14,45.890,43332.917,43378.807,0
15,21.153,42996.749,43017.902,0
16,30.882,44039.911,44070.793,0
17,42.722,43342.710,43385.432,0
18,29.090,43097.519,43126.609,0
19,27.234,43865.219,43892.453,0
20,48.003,43294.004,43342.007,0
21,22.787,43011.373,43034.160,0
22,29.187,44311.438,44340.625,0
23,41.796,43332.341,43374.137,0
24,30.020,43028.589,43058.609,0
25,35.300,44747.770,44783.070,0
26,44.965,43283.348,43328.313,0
27,28.741,43039.853,43068.594,0
28,31.173,43897.732,43928.905,0
29,44.326,43301.492,43345.818,0
30,26.886,43065.070,43091.956,0
31,27.174,43971.462,43998.636,0
32,65.928,43392.151,43458.079,0
33,65.768,43876.515,43942.283,0
34,42.088,44118.825,44160.913,0
35,54.249,43394.647,43448.896,0
36,26.985,43063.534,43090.519,0
37,27.561,43956.293,43983.854,0
38,39.530,43243.891,43283.421,0
39,24.234,43002.509,43026.743,0
40,32.075,43985.990,44018.065,0
41,45.420,43319.221,43364.641,0
42,24.268,43025.485,43049.753,0
43,26.541,44074.440,44100.981,0
44,43.342,43310.484,43353.826,0
45,26.894,43091.279,43118.173,0
46,30.319,43992.550,44022.869,0
47,43.376,43280.756,43324.132,0
48,25.296,43044.718,43070.014,0
49,28.177,43940.197,43968.374,0
50,47.698,43320.117,43367.815,0
51,26.674,43111.184,43137.858,0
52,28.115,43952.837,43980.952,0
53,51.828,43311.573,43363.401,0
54,24.564,43060.975,43085.539,0
55,27.477,43873.315,43900.792,0
56,41.814,43507.034,43548.848,0
57,31.447,43077.967,43109.414,0
58,27.896,43808.801,43836.697,0
59,45.913,43481.241,43527.154,0
60,33.946,43119.024,43152.970,0
61,29.979,43738.047,43768.026,0
62,42.748,43218.930,43261.678,0
63,26.844,43071.023,43097.867,0
64,23.837,44518.612,44542.449,0
65,54.431,43930.085,43984.516,0
66,44.992,43356.118,43401.110,0
67,32.992,43643.838,43676.830,0
68,44.802,43238.451,43283.253,0
69,28.930,43068.239,43097.169,0
70,31.556,43656.093,43687.649,0
71,47.237,43274.900,43322.137,0
72,23.878,43072.654,43096.532,0
73,32.839,43660.606,43693.445,0
74,39.752,43251.764,43291.516,0
75,29.417,43087.535,43116.952,0
76,21.386,44234.861,44256.247,0
77,43.884,43272.180,43316.064,0
78,28.685,43046.254,43074.939,0
79,26.798,43630.173,43656.971,0
80,50.960,43323.541,43374.501,0
81,29.264,43125.392,43154.656,0
82,32.626,43766.560,43799.186,0
83,38.227,43363.542,43401.769,0
84,28.308,43098.991,43127.299,0
85,26.837,43705.119,43731.956,0
86,49.431,43290.837,43340.268,0
87,25.592,43135.984,43161.576,0
88,26.201,43600.477,43626.678,0
89,43.003,43344.278,43387.281,0
90,29.852,43094.895,43124.747,0
91,24.797,43612.701,43637.498,0
92,39.551,43246.579,43286.130,0
93,19.840,43048.878,43068.718,0
94,27.234,43634.045,43661.279,0
95,49.700,43883.715,43933.415,0
96,70.502,44021.543,44092.045,0
97,29.478,43788.193,43817.671,0
98,47.560,43331.702,43379.262,0
99,22.985,43306.101,43329.086,0
100,31.115,43661.406,43692.521,0
101,47.981,43267.892,43315.873,0
102,22.894,43167.505,43190.399,0
103,26.351,43888.484,43914.835,0
104,39.921,43257.492,43297.413,0
105,19.251,43077.454,43096.705,0
106,23.508,43756.385,43779.893,0
107,44.406,43284.053,43328.459,0
108,22.040,43067.438,43089.478,0
109,25.401,43695.103,43720.504,0
110,45.372,43281.652,43327.024,0
111,23.709,43081.071,43104.780,0
112,22.334,43685.951,43708.285,0
113,51.105,43309.717,43360.822,0
114,30.082,43090.191,43120.273,0
115,22.916,43615.261,43638.177,0
116,46.726,43339.446,43386.172,0
117,17.639,43120.752,43138.391,0
118,24.169,43589.564,43613.733,0
119,50.348,43328.085,43378.433,0
120,22.861,43075.055,43097.916,0
121,19.151,43539.226,43558.377,0
122,45.457,43261.588,43307.045,0
123,19.634,43071.631,43091.265,0
124,19.700,43497.338,43517.038,0
125,56.119,43295.573,43351.692,0
126,18.296,43066.223,43084.519,0
127,23.706,44250.733,44274.439,0
128,72.478,43815.746,43888.224,0
129,33.471,43247.379,43280.850,0
130,28.576,43549.052,43577.628,0
131,56.259,43360.950,43417.209,0
132,24.132,43017.358,43041.490,0
133,21.286,43427.640,43448.926,0
134,56.009,43310.165,43366.174,0
135,20.939,43059.246,43080.185,0
136,25.197,43505.178,43530.375,0
137,59.696,43422.680,43482.376,0
138,27.057,43096.272,43123.329,0
139,28.051,43506.138,43534.189,0
140,56.950,43402.776,43459.726,0
141,27.064,43072.495,43099.559,0
142,25.306,43644.157,43669.463,0
143,52.701,43317.173,43369.874,0
144,25.790,43102.384,43128.174,0
