cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,31.265,8662.494,8693.759,0
1,33.407,8882.852,8916.259,0
2,26.557,8782.881,8809.438,0
3,23.643,8744.864,8768.507,0
4,19.449,8705.439,8724.888,0
5,16.951,8670.686,8687.637,0
6,19.189,8694.687,8713.876,0
7,32.244,8850.914,8883.158,0
8,30.162,8846.402,8876.564,0
9,29.936,8770.688,8800.624,0
10,19.086,8680.094,8699.180,0
11,25.932,8701.599,8727.531,0
12,22.986,8705.183,8728.169,0
13,20.936,8653.278,8674.214,0
14,19.910,8665.918,8685.828,0
15,31.365,8839.170,8870.535,0
16,30.787,8795.777,8826.564,0
17,25.889,8761.280,8787.169,0
18,18.111,8676.286,8694.397,0
19,23.549,8710.303,8733.852,0
20,26.971,8722.752,8749.723,0
21,20.153,8680.223,8700.376,0
22,21.688,8658.589,8680.277,0
23,28.630,8873.059,8901.689,0
24,25.236,8779.105,8804.341,0
25,25.234,8755.392,8780.626,0
26,19.632,8666.430,8686.062,0
27,22.479,8705.886,8728.365,0
28,24.173,8678.718,8702.891,0
29,24.299,8673.278,8697.577,0
30,19.945,8643.101,8663.046,0
31,33.543,8886.948,8920.491,0
32,29.766,8805.473,8835.239,0
33,28.452,8763.520,8791.972,0
34,17.954,8717.727,8735.681,0
35,20.768,8700.191,8720.959,0
36,25.086,8702.367,8727.453,0
37,17.148,8663.294,8680.442,0
38,20.122,8657.662,8677.784,0
39,31.129,8883.651,8914.780,0
40,25.911,8783.265,8809.176,0
41,27.157,8736.928,8764.085,0
42,19.283,8685.535,8704.818,0
43,22.802,8682.718,8705.520,0
44,23.440,8700.830,8724.270,0
45,19.310,8649.149,8668.459,0
46,21.708,8638.461,8660.169,0
47,35.147,8920.676,8955.823,0
48,28.617,8809.409,8838.026,0
49,25.575,8865.667,8891.242,0
50,19.877,8682.686,8702.563,0
51,25.700,8714.590,8740.290,0
52,23.714,8702.430,8726.144,0
53,19.680,8676.286,8695.966,0
54,22.334,8649.853,8672.187,0
55,32.573,8922.692,8955.265,0
56,31.195,8888.483,8919.678,0
57,26.777,8786.625,8813.402,0
58,19.639,8712.543,8732.182,0
59,22.485,8733.376,8755.861,0
60,20.148,8661.469,8681.617,0
61,19.442,8659.549,8678.991,0
62,19.216,8682.046,8701.262,0
63,31.407,8898.595,8930.002,0
64,24.813,8815.873,8840.686,0
65,24.011,8744.800,8768.811,0
66,19.593,8678.526,8698.119,0
67,26.440,8714.399,8740.839,0
68,19.174,8674.750,8693.924,0
