cycle,release_jitter_us,compute_us,response_us,deadline_miss
0,17.952,4586.517,4604.469,0
1,18.070,4601.877,4619.947,0
2,16.715,4609.462,4626.177,0
3,19.905,4627.158,4647.063,0
4,16.758,4595.925,4612.683,0
5,15.627,4600.918,4616.545,0
6,20.321,4613.846,4634.167,0
7,38.903,4807.675,4846.578,0
8,24.044,4669.623,4693.667,0
9,25.730,4731.640,4757.370,0
10,19.095,4685.816,4704.911,0
11,24.781,4702.424,4727.205,0
12,15.970,4607.765,4623.735,0
13,17.143,4597.238,4614.381,0
14,16.205,4625.430,4641.635,0
15,29.475,4720.568,4750.043,0
16,19.768,4644.247,4664.015,0
17,17.198,4619.797,4636.995,0
18,14.979,4602.613,4617.592,0
19,18.457,4618.133,4636.590,0
20,16.686,4586.325,4603.011,0
21,16.420,4598.485,4614.905,0
22,20.025,4613.526,4633.551,0
23,21.615,4687.128,4708.743,0
24,21.252,4648.951,4670.203,0
25,19.354,4638.710,4658.064,0
26,14.543,4604.438,4618.981,0
27,20.549,4630.230,4650.779,0
28,16.923,4607.253,4624.176,0
29,22.800,4620.374,4643.174,0
30,14.438,4605.685,4620.123,0
31,20.956,4689.751,4710.707,0
32,21.841,4642.455,4664.296,0
33,19.495,4630.838,4650.333,0
34,15.516,4618.198,4633.714,0
35,22.194,4616.790,4638.984,0
36,16.519,4594.038,4610.557,0
37,19.645,4608.918,4628.563,0
38,16.179,4613.045,4629.224,0
39,22.729,4681.719,4704.448,0
40,21.758,4643.831,4665.589,0
41,21.140,4647.094,4668.234,0
42,16.809,4617.654,4634.463,0
43,23.455,4627.030,4650.485,0
44,20.341,4613.205,4633.546,0
45,20.170,4622.294,4642.464,0
46,16.320,4610.230,4626.550,0
47,23.894,4711.736,4735.630,0
48,19.595,4642.359,4661.954,0
49,19.713,4637.750,4657.463,0
50,18.007,4615.894,4633.901,0
51,19.532,4620.822,4640.354,0
52,15.234,4612.790,4628.024,0
53,21.240,4614.838,4636.078,0
54,20.046,4617.781,4637.827,0
55,26.947,4727.641,4754.588,0
56,19.161,4648.471,4667.632,0
57,20.687,4638.710,4659.397,0
58,14.788,4613.526,4628.314,0
59,20.986,4618.518,4639.504,0
60,15.376,4601.845,4617.221,0
61,15.686,4598.517,4614.203,0
62,16.571,4603.990,4620.561,0
63,22.481,4683.864,4706.345,0
64,22.215,4650.807,4673.022,0
65,21.053,4644.086,4665.139,0
66,14.834,4605.910,4620.744,0
67,20.776,4608.854,4629.630,0
68,19.934,4613.910,4633.844,0
69,16.660,4604.213,4620.873,0
70,16.393,4604.662,4621.055,0
71,24.319,4684.376,4708.695,0
72,18.293,4640.407,4658.700,0
73,14.059,4618.326,4632.385,0
74,16.065,4619.734,4635.799,0
75,20.983,4619.638,4640.621,0
76,16.780,4601.526,4618.306,0
77,21.474,4625.590,4647.064,0
78,22.200,4612.950,4635.150,0
79,26.286,4706.872,4733.158,0
80,20.420,4675.607,4696.027,0
81,19.386,4662.583,4681.969,0
82,16.303,4617.878,4634.181,0
83,22.821,4624.342,4647.163,0
84,17.467,4627.830,4645.297,0
85,20.561,4618.390,4638.951,0
86,13.383,4620.342,4633.725,0
87,27.229,4719.288,4746.517,0
88,17.971,4643.766,4661.737,0
89,21.993,4727.672,4749.665,0
90,18.366,4696.248,4714.614,0
91,27.668,4741.337,4769.005,0
92,20.650,4688.120,4708.770,0
93,20.704,4640.790,4661.494,0
94,19.606,4629.686,4649.292,0
95,22.572,4684.023,4706.595,0
96,22.082,4634.134,4656.216,0
97,19.992,4645.462,4665.454,0
98,15.950,4608.853,4624.803,0
99,20.772,4622.198,4642.970,0
100,17.721,4601.846,4619.567,0
101,15.119,4615.478,4630.597,0
102,19.813,4626.390,4646.203,0
103,25.115,4702.808,4727.923,0
104,20.529,4656.087,4676.616,0
105,19.687,4641.143,4660.830,0
106,18.493,4610.166,4628.659,0
107,23.891,4609.718,4633.609,0
108,20.457,4608.822,4629.279,0
109,21.439,4622.390,4643.829,0
110,16.693,4602.773,4619.466,0
111,22.603,4673.271,4695.874,0
112,24.033,4641.431,4665.464,0
113,20.567,4651.287,4671.854,0
114,18.029,4614.134,4632.163,0
115,20.163,4620.310,4640.473,0
